Author	Title	Publication date	publication place	word count (orig+norm)	line count	genre	form	paratext	Belles-lettres	Sub-corpus	link	file	Wikidata ID of author	image author	author genre	birth date	Death date	BNF ID of author	IdRef ID of author	ISNI of author
Blaise Pascal	Expériences nouvelles touchant le vuide	1647	Paris	8034	174	physique	prose	no	no	5-physique-dev	https://catalogue.bnf.fr/ark:/12148/cb31062878c	Pascal1647_Experiences_btv1b8626186t_numb_seg_replace.tsv	http://www.wikidata.org/entity/Q1290	http://commons.wikimedia.org/wiki/Special:FilePath/Blaise%20pascal.jpg	masculin	1623-06-19T00:00:00Z	1662-08-19T00:00:00Z	11918679x	27059073	0000 0001 2125 8260
Blaise Pascal	Traictez de l'équilibre des liqueurs	1663	Paris	10701	182	physique	prose	no	no	5-physique-test	https://gallica.bnf.fr/ark:/12148/btv1b86221002	Pascal1663_Equilibre_btv1b86221002_numb_seg_replace.tsv	http://www.wikidata.org/entity/Q1290	http://commons.wikimedia.org/wiki/Special:FilePath/Blaise%20pascal.jpg	masculin	1623-06-19T00:00:00Z	1662-08-19T00:00:00Z	11918679x	27059073	0000 0001 2125 8260
Blaise Pascal	Pensées	1669	Paris	14215	367	philosophie	prose	no	yes	1-standard	https://gallica.bnf.fr/ark:/12148/btv1b8601516f	Pascal1669_pensees_btv1b8601516f.tsv	http://www.wikidata.org/entity/Q1290	http://commons.wikimedia.org/wiki/Special:FilePath/Blaise%20pascal.jpg	masculin	1623-06-19T00:00:00Z	1662-08-19T00:00:00Z	11918679x	27059073	0000 0001 2125 8260
Charles Perrault	Belle au bois dormant	1697	Paris	6465	151	conte	prose	no	yes	1-standard	https://gallica.bnf.fr/ark:/12148/bpt6k10545223	Perrault1697_BellesBoisDormant_bpt6k10545223_numb_numb_seg_replace.tsv	http://www.wikidata.org/entity/Q128460	http://commons.wikimedia.org/wiki/Special:FilePath/Charles.Perrault.jpg	masculin	1628-01-12T00:00:00Z	1703-05-16T00:00:00Z	119192165	27066150	0000 0001 2127 2484
Cyrano de Bergerac	Lettres	1676	Paris	15268	329	correspondance	prose	no	yes	1-standard	https://archive.org/details/lesoeuvresdemons01cyra	Cyrano1676_Lettres_lesoeuvresdemons01cyra_numb_seg_convert_replace.tsv	http://www.wikidata.org/entity/Q213614	http://commons.wikimedia.org/wiki/Special:FilePath/Savinien%20de%20Cyrano%20de%20Bergerac.JPG	masculin	1619-03-06T00:00:00Z	1655-07-28T00:00:00Z	11898355k	26808013	0000 0001 1297 2841
Denis Papin	La Manière d'amolir les os	1682	Paris	4999	59	médecine	prose	no	no	4-medecine-dev	https://gallica.bnf.fr/ark:/12148/btv1b8626228q/	Papin1682_Maniere_btv1b8626228q_numb_seg_replace.tsv	http://www.wikidata.org/entity/Q106208	http://commons.wikimedia.org/wiki/Special:FilePath/Denis%20Papin%20%281647-1712%29.jpg	masculin	1647-08-22T00:00:00Z	1713-08-26T00:00:00Z	12087889k	29203368	0000 0001 1478 6743
Jean de La Fontaine	Fables choisies	1668	Paris	7478	573	fables	vers	no	yes	1-standard	https://gallica.bnf.fr/ark:/12148/btv1b8610825d	Fontaine1668_Fables_btv1b8610825d_numb_choice_seg_replace.tsv	http://www.wikidata.org/entity/Q49496	http://commons.wikimedia.org/wiki/Special:FilePath/Jean%20de%20La%20Fontaine.jpg	masculin	1621-07-08T00:00:00Z	1695-04-13T00:00:00Z	11910267w	02695608X	0000 0001 2095 8636
François de Sales	Introduction à la vie devote	1641	Paris	8355	200	théologie	prose	no	yes	1-standard	https://catalogue.bnf.fr/ark:/12148/cb30460001n	Sales1641_introduction_bpt6k1041711s_numb_seg_replace.tsv	http://www.wikidata.org/entity/Q231256	http://commons.wikimedia.org/wiki/Special:FilePath/Ch%C3%A2teau%20de%20Bussy-Rabutin%20-%20Saint%20Fran%C3%A7ois%20de%20Sales%2C%20%C3%A9v%C3%AAque%20de%20Gen%C3%A8ve%20%28bgw19%200375%29%20%28cropped%29.jpg	masculin	1567-08-26T00:00:00Z	1622-12-28T00:00:00Z	11903415q	26872838	0000 0001 2096 5932
François de Sales	Controverses	1672	Paris	11159	315	théologie	prose	no	yes	1-standard	http://www.clerus.org/bibliaclerusonline/fr/bez.htm	Sales1672_controverses.tsv	http://www.wikidata.org/entity/Q231256	http://commons.wikimedia.org/wiki/Special:FilePath/Ch%C3%A2teau%20de%20Bussy-Rabutin%20-%20Saint%20Fran%C3%A7ois%20de%20Sales%2C%20%C3%A9v%C3%AAque%20de%20Gen%C3%A8ve%20%28bgw19%200375%29%20%28cropped%29.jpg	masculin	1567-08-26T00:00:00Z	1622-12-28T00:00:00Z	11903415q	26872838	0000 0001 2096 5932
Honoré d'Urfé	L'Astrée	1607	Paris	17352	306	roman	prose	no	yes	1-standard	http://astree.huma-num.fr	Urfe1607_Astree_bpt6k87078660_numb_choice_replaceInside_numb_seg_replace.tsv	http://www.wikidata.org/entity/Q358491	http://commons.wikimedia.org/wiki/Special:FilePath/Honor%C3%A9%20d%27Urf%C3%A9%2001.jpg	masculin	1568-02-21T00:00:00Z	1625-06-01T00:00:00Z	119273552	27172783	0000 0001 2100 8616
