ENFIN bornant le cours de ses galanteries,	ENFIN bornant le cours de ses galanteries,
Alcippe, il eſt donc vray, dans peu tu te maries.	Alcippe, il est donc vrai, dans peu tu te maries.
Sur l'argent, c'eſt tout dire, on eſt déjà d'accord	Sur l'argent, c'est tout dire, on est déjà d'accord
Ton Beaupere futur vuide ſon coffre fort:	Ton Beau-père futur vide son coffre-fort:
Et déjà le Notaire a, d'un stile energique	Et déjà le Notaire a, d'un style énergique
Griffonné de ton joug l'instrument authentique,	Griffonné de ton joug l'instrument authentique,
C'eſt bien fait. Il eſt temps de fixer tes déſirs.	C'est bien fait. Il est temps de fixer tes désirs.
Ainsi que ſes chagrins l'Hymen a ſes plaiſirs.	Ainsi que ses chagrins l'Hymen a ses plaisirs.
Quelle joye en effet; Quelle douceur extrême!	Quelle joie en effet; Quelle douceur extrême!
De ſe voir careſſer d'une Epousequ'on aime:	De se voir caresser d'une Épouse qu'on aime:
De s'entendre appeller petit Cœur, ou mon Bon;	De s'entendre appeller petit Cœur, ou mon Bon;
De voir autour de ſoi croiſtre dans ſa maiſon,	De voir autour de soi croître dans sa maison,
Sous les paiſibles loix d'une agreable Mere,	Sous les paisibles lois d'une agréable Mère,
De petits citoyens dont on croit eſtre Pere!	De petits citoyens dont on croit être Père!
Quel charme! au moindre mal qui vient menacer,	Quel charme! au moindre mal qui vient menacer,
De la voir auβi-toſt accourir, s'empreſſer,	De la voir aussitôt accourir, s'empresser,
S’effrayer d’un peril qui n'a point d’apparence,	S’effrayer d’un péril qui n'a point d’apparence,
Et ſouvent de douleur ſe paſmer par avance.	Et souvent de douleur se pâmer par avance.
Car tu ne ſeras point de ces Jaloux affreux,	Car tu ne seras point de ces Jaloux affreux,
Habiles à ſe rendre inquiets, malheureux,	Habiles à se rendre inquiets, malheureux,
Qui tandis qu'une Epouſe à leurs yeux ſe deſole,	Qui tandis qu'une Épouse à leurs yeux se désole,
Penſent toûjours qu'un autre en ſecret la conſole.	Pensent toujours qu'un autre en secret la console.
Mais quoy, je voy deja que ce diſcours t’aigrit.	Mais quoi, je vois déjà que ce discours t’aigrit.
Charmé de Juvenal *, & plein de ſon esprit	Charmé de Juvénal *, et plein de son eſprit
Venez-vous, diras-tu, dans une piece outrée,	Venez-vous, diras-tu, dans une pièce outrée,
Comme lui nous chanter: * Que dés le temps de Rhée	Comme lui nous chanter: * Que dès le temps de Rhée
La Chaſteté déja, la rougeur ſur le front,	La Chasteté déjà, la rougeur sur le front,
Avoit chés les Humains receu plus d’un affront:	Avait chez les Humains reçu plus d’un affront:
Qu'on vid avec le fer naiſtre les Injuſtices,	Qu'on vit avec le fer naître les Injustices,
L'Impieté, l’Orgueil,& tous les autres Vices,	L'Impiété, l’Orgueil, et tous les autres vices,
Mais que la Bonne foy dans l’amour conjugal	Mais que la Bonne foi dans l’amour conjugal
N’alla point juſqu’au temps du troiſiéme Metal?	N’alla point jusqu’au temps du troisième Métal?
Ces mots ont dans ſa bouche une emphaze admirable:	Ces mots ont dans sa bouche une emphase admirable:
Mais je vous diray, moi, ſans alleguer la fable:	Mais je vous dirai, moi, sans alléguer la fable:
Que ſi ſous Adam meſme & loin avant Noë,	Que si sous Adam même et loin avant Noé,
Le Vice audacieux des Hommes avoué	Le Vice audacieux des Hommes avoué
Il demeura pourtant de l’honneur ſur la Terre:	Il demeura pourtant de l’honneur sur la Terre:
Qu'aux temps les plus feconds en Phrynés, en Lays	Qu'aux temps les plus féconds en Phrynés, en Laïs
Plus d’une Penelope honora ſon pays,	Plus d’une Pénélope honora son pays,
Et que meſme aujourd'hui, ſur ces fameux modeles,	Et que même aujourd'hui, sur ces fameux modèles,
On peut trouver encor quelques Femmes fideles.	On peut trouver encor quelques femmes fidèles.
Sans doute, & dans Paris, ſi je ſçay bien compter,	Sans doute, et dans Paris, si je sais bien compter,
Il en eſt juſqu'à trois que je pourois citer.	Il en est jusqu'à trois que je pourais citer.
Ton Epouſe dans peu ſera la quatriéme.	Ton Épouse dans peu sera la quatrième.
Je le veux croire ainſi: Mais la Chaſteté meſme	Je le veux croire ainsi: Mais la Chasteté même
Sous ce beau nom d'Epouſe entraſt-elle chés toy,	Sous ce beau nom d'Épouse entrât-t-elle chez toi,
De retour d’un voiage, en arrivant, croy moy,	De retour d’un voyage, en arrivant, crois-moi,
Fais toûjours du logis avertir la maiſtreſſe.	Fais toujours du logis avertir la maîtresse.
Tel partit tout baigné des pleurs de ſa Lucreſſe,	Tel partit tout baigné des pleurs de sa Lucresse,
Qui faute d’avoir pris ce ſoin judicieux,	Qui faute d’avoir pris ce soin judicieux,
Trouva. Tu ſçais... Je ſçay que d’un conte odieux	Trouva. Tu sais... je sais que d’un conte odieux
Vous avés comme moy ſali voſtre memoire.	Vous avez comme moi sali votre mémoire.
Mais laissons-là, dis-tu, Joconde & ſon hiſtoire.	Mais laissons là, dis-tu, Joconde et son histoire.
Du projet d’un Hymen déja fort avancé,	Du projet d’un Hymen déjà fort avancé,
Devant vous aujourd'hui criminel denoncé,	Devant vous aujourd'hui criminel denoncé,
Et mis ſur la ſellette aux piés de la Critique,	Et mis sur la sellette aux pieds de la Critique,
Je voy bien tout de bon qu’il faut que je m'explique.	Je vois bien tout de bon qu’il faut que je m'explique.
Jeune autrefois par vous dans le monde conduit	Jeune autrefois par vous dans le monde conduit
J'ay trop bien profité, pour n'eſtre pas inſtruit	J'ai trop bien profité, pour n'être pas instruit
A quels diſcours malins le Mariage expoze.	À quels discours malins le mariage expose.
Je ſçai, que c’eſt un texte où chacun fait ſa gloze:	Je sais, que c’est un texte où chacun fait sa glose:
Que de Maris trompés tont rit dans l'Univers,	Que de Maris trompés tont rit dans l'Univers,
Epigrammes, Chanſons, Rondeaux, Fables en vers,	>Épigrammes, Chansons, Rondeaux, Fables en vers,
Satire, Comedie, & ſur cette matiere,	Satire, Comédie, et sur cette matière,
J'ay veû tout ce qu’ont fait La Fontaine & Moliere,	J'ai vu tout ce qu’ont fait La Fontaine et Molière,
J'ay leû tout ce qu'ont dit Villon, & Saint Gelais,	J'ai lu tout ce qu'ont dit Villon, et Saint Gelais,
Arioſte, Marot, Bocace, Rabelais,	Arioste, Marot, Boccace, Rabelais,
Et tous ces vieux Recueils de Satires naives	Et tous ces vieux Recueils de Satires naïves
Des malices du Sexe immortelles archives.	Des malices du Sexe immortelles archives.
Mais, tout bien balancé, j’ay pourtant reconnu,	Mais, tout bien balancé, j’ai pourtant reconnu,
