PRÉFACE. 	PRÉFACE. 
ES Inſectes m'ont occupé pendant quelques années. 	ES Insectes m'ont occupé pendant quelques années. 
L’ardeur avec laquelle L je me ſuis livré à cette Etude, a fatigué mes yeux au point que j'ai été forcé de l’interrompre. 	L'ardeur avec laquelle L WARNING je me suis livré à cette Étude, a fatigué mes yeux au point que j'ai été forcé de l'interrompre. 
Privé de ce qui avoit fait jusques là mes plus chères délices, j'ai cherché à me conſoler en changeant d’objet. 	Privé de ce qui avait fait jusques là mes plus chères délices, j'ai cherché à me consoler en changeant d'objet. 
Je me ſuis tourné vers la Phyſique des Plantes, ſujet moins animé, moins fécond en découvertes, mais d’une utilité plus généralement reconnuë. 	Je me suis tourné vers la Physique des Plantes, sujet moins animé, moins fécond en découvertes, mais d'une utilité plus généralement reconnue. 
La Végétation des Plantes dans d’autres matières que la Terre, & principalement dans la Mouſſe, & l'Uſage des Feuilles, ont été les premiers Objets de mes Recherches. 	La Végétation des Plantes dans d'autres matières que la Terre, et principalement dans la Mousse, et l'Usage des Feuilles, ont été les premiers Objets de mes Recherches. 
On a pu voir dans les nouveaux Mémoires publiés par l’ACADÉMIE ROYALE DES SCIENCES (*), les Expériences que j'ai commencées ſur le premier de ces Sujets. 	On a pu voir dans les nouveaux Mémoires publiés par l'ACADÉMIE ROYALE DES SCIENCES (*), les Expériences que j'ai commencées sur le premier de ces Sujets. 
Je donne ici celles que j’ai tentées ſur le ſecond. 	Je donne ici celles que j'ai tentées sur le second. 
Quoique les unes & les autres ne ſoient que de legères ébauches, je me flatte qu’elles ne ſeront pas inutiles à l'Hiſtoire de la Végétation. 	Quoique les unes et les autres ne soient que de legères ébauches, je me flatte qu'elles ne seront pas inutiles à l'Histoire de la Végétation. 
Le goût de la bonne Phyſique eſt aujourd'hui ſi répandu, qu’il ſuffit d’indiquer une route, pour qu’elle ſoit bientôt très fréquentée. 	Le goût de la bonne Physique est aujourd'hui si répandu, qu'il suffit d'indiquer une route, pour qu'elle soit bientôt très fréquentée. 
DES Figures ſont abſolument néceſſaires à un Ouvrage de la nature de celui-ci. 	DES Figures sont absolument nécessaires à un Ouvrage de la nature de celui-ci. 
Quelque clarté que j’aie tâché de donner à mes deſcriptions, j'aurois risqué de n’être pas toujours entendu ſi j’avois été privé de ce ſecours. 	Quelque clarté que j'aie tâché de donner à mes descriptions, j'aurais risqué de n'être pas toujours entendu si j'avais été privé de ce secours. 
Mr. 	Mr. 
SOUBEYRAN, qui joint un Eſprit Philoſophique aux Talens d’un excellent Deſſinateur, a deſſiné toutes les Planches de cet Ouvage, à l'exception de celle qui repréſente les diſſérens Arrangemens des Feuilles. 	SOUBEYRAN, qui joint un Esprit Philosophique aux Talents d'un excellent Dessinateur, a dessiné toutes les Planches de cet Ouvage, WARNING à l'exception de celle qui représente les dissérens WARNING Arrangements des Feuilles. 
Ses Deſſeins, quoique parfaits en leur genre, auroient acquis un nouvel éclat, s’il avoit eu en vuë d’y faire admirer les Merveilles de ſon Crayon. 	Ses Dessins, quoique parfaits en leur genre, auraient acquis un nouvel éclat, s'il avait eu en vuë d'y faire admirer les Merveilles de son Crayon. 
Mais il a penſé comme moi, qu’il ſuffiſoit qu’ils ſatisſisſent au but de chaque Expérience, & il a eu l'eſpèce de courage d’éviter une élégance pittoresque plus diſpendieuſe qu’utile. 	Mais il a pensé comme moi, qu'il suffisait qu'ils satississent au but de chaque Expérience, et il a eu l'espèce de courage d'éviter une élégance pittoresque plus dispendieuse qu'utile. 
LA Planche qui repréſente les cinq Ordres de Diſtributions qu’on obſerve dans les Feuilles, eſt de la main de Mr. 	LA Planche qui représente les cinq Ordres de Distributions qu'on observe dans les Feuilles, est de la main de Mr. 
