ENFIN, Peuples enfin, la Diſcorde eſtonnée	ENFIN, peuples enfin, la Discorde étonnée
Void ſa force captive & ſa rage enchaiſnée,	Voit sa force captive et sa rage enchaînée,
Et ce Monſtre alteré de carnage & d’horreur	Et ce Monstre altéré de carnage et d'horreur
Va porter aux Enfers ſa honte & ſa fureur.	Va porter aux Enfers sa honte et sa fureur.
Lors qu'un triſte aſcendant ſembloit contre la Terre	Lorsqu'un triste ascendant flambait contre la Terre
Armer plus que iamais & le trouble & la Guerre,	Armer plus que jamais et le trouble et la Guerre,
Et qu’un nouveau nuage errant parmy les Airs	Et qu'un nouveau nuage errant parmi les Airs
Eſtoit preſt d’enfanter l’orage & les éclairs:	Était prêt d'enfanter l'orage et les éclairs :
Vn Eſprit auſsi haut que les intelligences	Un esprit aussi haut que les intelligences
Des Aſtres conjurez force les influences,	Des Astres conjurés force les influences,
En un aſpect propice il change leur couroux,	En un aspect propice il change leur courroux,
Et leur regard funeſte en un regard plus doux.	Et leur regard funeste en un regard plus doux.
Oüy, les ſoins genereux de cét Ange viſible	Oui, les soins généreux de cet Ange visible
Se font contre nos maux un rempart invincible:	Se font contre nos maux un rempart invincible :
Ils arreſtent le cours de ces torrens divers,	Ils arrêtent le cours de ces torrents divers
Qu'on alloit voir bien-toſt inonder l’Vnivers;	Qu'on allait voir bientôt inonder l'Univers ;
Le Sort cede ſans honte à ce puiſſant obſtacle,	Le sort cède sans honte à ce puissant obstacle,
Cette force à ſes yeux eſt un pompeux ſpectacle,	Cette force à ses yeux est un pompeux spectacle,
Il void avec plaiſir ce Heros glorieux	Il voit avec plaisir ce Héros glorieux
Mettre la Terre enfin d’accord avec les Cieux.	Mettre la Terre enfin d'accord avec les Cieux.
Ces Globes eternels, qui roulent ſur nos teſtes,	Ces Globes éternels, qui roulent sur nos têtes,
Au gré de ces ſouhaits deſarment les tempeſtes;	Au gré de ces souhaits désarment les tempêtes ;
Au lieu que ſous l’horreur des plus triſtes frimas,	Au lieu que sous l'horreur des plus tristes frimas,
Souvent ils ſe cachoient aux fureurs d’icy bas,	Souvent ils se cachaient aux fureurs d'ici-bas,
Ces flambeaux reveſtus de toute leur lumiere	Ces flambeaux revêtus de toute leur lumière
Semblent en ſa faveur prolonger leur carriere,	Semblent en sa faveur prolonger leur carrière,
Et parez à l’envy de leurs plus purs rayons	Et parés à l'envie de leurs plus purs rayons
Contempler cette Paix qu’il rend aux Nations.	Contempler cette Paix qu'il rend aux Nations.
Grand & ſage Heros, ferme & puiſſant Genie,	Grand et sage Héros, ferme et puissant Génie,
Par qui nous revoyons cette illuſtre Bannie:	Par qui nous revoyons cette illustre Bannie:
IVLE, qui d’entre nous peut meſme concevoir	JULES, qui d'entre nous peut même concevoir
Dans un pouvoir humain un ſi vaſte pouvoir?	Dans un pouvoir humain un si vaste pouvoir?
Quelle eſt cette vigueur, ou quel eſt ce courage,	Quelle est cette vigueur, ou quel est ce courage,
Qui maiſtriſe les Vents & commande à l’orage,	Qui maîtrise les Vents et commande à l'orage,
Qui reduit la Nature à reſpecter tes Loix,	Qui réduit la Nature à respecter tes Lois,
Et force les Deſtins d’obeir à ta Voix?	Et force les Destins d'obéir à ta Voix?
O que l’heureuſe fin qu'ont par Toy nos deſaſtres,	Ô que l'heureuse fin qu'ont par Toi nos désastres,
Fait bien voir que le Sage eſt au deſſus des Aſtres!	Fait bien voir que le Sage est au-dessus des Astres!
Le Ciel que tes Vertus ont ſans doute appaiſe,	Le Ciel que tes vertus ont sans doute apaisé,
Te rend tout favorable, & te rend tout aiſé;	Te rend tout favorable, et te rend tout aisé;
Son amour aux mortels redonnant l’allegreſſe,	Son amour aux mortels redonnant l'allégresse,
Fait paſſer par tes mains ce don de ſa tendreſſe,	Fait passer par tes mains ce don de sa tendresse,
Et ſon pouuoir conſent que le trouble eſtonné	Et son pouvoir consent que le trouble étonné
Diſparoiſſe außi-toſt que ton ordre eſt donné.	Disparaisse aussitôt que ton ordre est donné.
Fais parler ta prudence, il n'eſt plus dans le Monde	Fais parler ta prudence, il n'est plus dans le Monde
Ou de Vent qui menace, ou de Foudre qui gronde:	Ou de vent qui menace, ou de foudre qui gronde:
Fais parler ta ſageſſe, il n'eſt plus dans les Cieux	Fais parler ta sagesse, il n'est plus dans les Cieux
D’aſcendant qui ſoit triſte, ou ſoit pernicieux.	D'ascendant qui soit triste, ou soit pernicieux.
C’eſt ainſi qu’autrefois un Hebreu plein de zele,	C'est ainsi qu'autrefois un Hébreu plein de zèle,
Pour deffaire à loiſir une race infidelle,	Pour défaire à loisir une race infidèle,
Contraignit par ſa voix l’Aſtre qui fait les iours,	Contraignit par sa voix l'Astre qui fait les jours,
De retenir ſon Char au milieu de ſon cours:	De retenir son Char au milieu de son cours:
Il l’oſa diſpenſer de cette loy conſtante,	Il l'osa dispenser de cette loi constante,
Qui rend ſes feux errants, & ſa clarté mouvante,	Qui rend ses feux errants, et sa clarté mouvante,
Et le Maiſtre des Cieux, de la Terre, & des Flots,	Et le Maître des Cieux, de la Terre et des Flots,
Obeït en ce iour à la voix d’un Heros.	Obéit en ce jour à la voix d'un Héros.
C’eſt là d’un Zele ardant, & d’un merite extrême	C'est là d'un Zèle ardant, et d'un mérite extrême
L’eſſor imperieux & le haut ſtratagême;	L'essor impérieux et le haut stratagème ;
Leur pouuoir eſt ſi grand que l’Arbitre du ſort	Leur pouvoir est si grand que l'Arbitre du fort
Ne peut meſme tenir contre tout leur effort.	Ne peut même tenir contre tout leur effort.
Sans doute au vif éclat d’une vertu ſi pure	Sans doute au vif éclat d'une vertu si pure
IVLE doit les reſpects que luy rend la Nature,	JULES doit les respects que lui rend la Nature,
Il doit à l’équité, dont il s’eſt fait l’appuy,	Il doit à l'équité, dont il s'est fait l'appui,
Cét amour ſi fecond, que les Cieux ont pour luy,	Cet amour si second, que les Cieux ont pour lui,
Pourroient-ils refuſer leur plus ample largeſſe	Pourraient-ils refuser leur plus ample largesse
A ces vives ſplendeurs, dont brille ſa ſageſſe?	À ces vives splendeurs, dont brille sa sagesse?
Pourroient-ils ſe reſoudre à ne pas couronner	Pourraient-ils se résoudre à ne pas couronner
Ce grand Art de bien vivre & de bien gouverner,	Ce grand Art de bien vivre et de bien gouverner,
D’aymer leurs intereſts, ſans negliger les noſtres,	D'aimer leurs intérêts, sans négliger les nôtres,
De donner tout aux uns, ſans rien oſter aux autres,	De donner tout aux uns, sans rien ôter aux autres,
Et d’accorder ſi bien des ſoins ſi differens,	Et d'accorder si bien des soins si différents,
Qu'il puiſſe à tous les deux ſuffire en meſme temps?	Qu'il puisse à tous les deux suffire en même temps?
Que ne peut obtenir cette ame grande & belle,	Que ne peut obtenir cette âme grande et belle,
Qui poſſede ſans faſte une gloire immortelle,	Qui possède sans faste une gloire immortelle,
Et qui s’enfle außi peu, pour des biens paſſagers,	Et qui s'enfle aussi peu, pour des biens passagers
Qu'elle ſçait peu s’abbatre au plus fort des dangers?	Qu'elle sait peu s'abattre au plus fort des dangers? 
Sur tout les Cieux ont deu ſignaler leur iuſtice,	Surtout les Cieux ont dû signaler leur justice,
A payer ce beau don, & ce grand Sacrifice,	À payer ce beau don, et ce grand sacrifice,
Que IVLE vient de faire au repos des Humains,	Que JULES vient de faire au repos des Humains,
De cent Lauriers nouveaux, qui s’offroient à ſes mains.	De cent lauriers nouveaux, qui s'offraient à ses mains.
Peuples vous le ſçavez, ſon zele & ſa prudence	Peuples vous le savez, son zèle et sa prudence
Avecque la victoire eſtoient d’intelligence :	Avecque la victoire étaient d'intelligence :
De ſes Sages deſſeins l’inviſible reſſort	De ses sages desseins l'invisible renfort
