IE n’eſtime pas que l'homme ſoit capable de former dans ſon eſprit un projet plus vain &	IE n’estime pas que l’homme soit capable de former dans son esprit un projet plus vain et
plus chimerique, que de prétendre en écrivant de quelque art ou de quelque ſcience que ce ſoit, échaper à toute ſorte de critique, &	plus chimérique, que de prétendre en écrivant de quelque art ou de quelque science que ce soit, échapper à toute sorte de critique, et
enlever les ſuffrages de tous ſes Lecteurs.	enlever les suffrages de tous ses Lecteurs.
Car ſans m'étendre ſur la difference des eſprits des hommes auſſi prodigieuſe en eux que celle de leurs viſages, qui fait goûter aux uns les choſes de ſpeculation, &	Car sans m’étendre sur la différence des esprits des hommes aussi prodigieuse en eux que celle de leurs visages, qui fait goûter aux uns les choses de spéculation, et
aux autres celles de pratique;	aux autres celles de pratique;
qui fait que quelques-uns cherchent dans les Livres à exercer leur imagination, quelques autres à former leur jugement;	qui fait que quelques-uns cherchent dans les Livres à exercer leur imagination, quelques autres à former leur jugement;
qu’entre ceux qui liſent, ceux-cy aiment à eſtre forcez par la demonſtration, &	qu’entre ceux qui lisent, ceux-ci aiment à être forcés par la démonstration, et
ceux-là veulent entendre délicatement, ou former des raiſonnemens &	ceux-là veulent entendre délicatement, ou former des raisonnements et
des conjectures;	des conjectures;
je me renferme ſeulement dans cette ſcience qui décrit les mœurs, qui examine les hommes, &	je me renferme seulement dans cette science qui décrit les mœurs, qui examine les hommes, et
qui développe leurs caracteres;	qui développe leurs caractères;
&	et
j’oſe dire que ſur les ouvrages qui traitent de choſes qui les touchent de ſi prés, &	j’ose dire que sur les ouvrages qui traitent de choses qui les touchent de si près, et
où il ne s’agit que d’eux-meſmes, ils ſont encore extrémement difficiles à contenter.	où il ne s’agit que d’eux-mêmes, ils sont encore extrêmement difficiles à contenter.
Quelques ſçavans ne goûtent que les Apophthegmes des Anciens, &	Quelques Savants ne goûtent que les Apophtegmes des Anciens, et
les exemples tirez des Romains, des Grecs, des Perſes, des Egyptiens;	les exemples tirés des Romains, des Grecs, des Perses, des Egyptiens;
l’hiſtoire du monde preſent leur eſt inſipide;	l’histoire du monde présent leur est insipide;
ils ne ſont point touchez des hommes qui les environnent, &	ils ne sont point touchés des hommes qui les environnent, et
avec qui ils vivent, &	avec qui ils vivent, et
ne font nulle attention à leurs mœurs.	ne font nulle attention à leurs mœurs.
Les femmes au contraire, les gens de la Cour, &	Les femmes au contraire, les gens de la Cour, et
tous ceux qui n'ont que beaucoup d’eſprit ſans érudition, indifferens pour toutes les choſes qui les ont précedé ſont avides de celles qui ſe paſſent à leurs yeux, &	tous ceux qui n’ont que beaucoup d’esprit sans érudition, indifférents pour toutes les choses qui les ont précédé sont avides de celles qui se passent à leurs yeux, et
qui ſont comme ſous leur main;	qui sont comme sous leur main;
ils les examinent, ils les diſcernent, ils ne perdent pas de veuë les perſonnes qui les entourent, ſi charmez des deſcriptions &	ils les examinent, ils les discernent, ils ne perdent pas de vue les personnes qui les entourent, si charmés des descriptions et
des peintures que l'on fait de leurs contemporains, de leurs concitoyens, de ceux enfin qui leur reſſemblent, &	des peintures que l’on fait de leurs contemporains, de leurs concitoyens, de ceux enfin qui leur ressemblent, et
à qui ils ne croyent pas reſſembler;	à qui ils ne croient pas ressembler;
que juſques dans la Chaire l’on ſe croit obligé ſouvent de ſuſpendre l’Evangile pour les prendre par leur foible, &	que jusque dans la Chaire l’on se croit obligé souvent de suspendre l’Evangile pour les prendre par leur faible, et
les ramener à leurs devoirs par des choſes qui ſoient de leur gouſt &	les ramener à leurs devoirs par des choses qui soient de leur goût et
de leur portée.	de leur portée.
La Cour ou ne connoiſt pas la ville, ou par le mépris qu’elle a pour elle neglige d’en relever le ridicule, &	La Cour ou ne connaît pas la ville, ou par le mépris qu’elle a pour elle néglige d’en relever le ridicule, et
n’eſt point frapée des images qu'il peut fournir;	n’est point frappée des images qu’il peut fournir;
&	et
ſi au contraire l’on peint la Cour, comme c’eſt toûjours avec les ménagemens qui luy ſont dûs;	si au contraire l’on peint la Cour, comme c’est toujours avec les ménagements qui lui sont dus;
la ville ne tire pas de cet ébauche de quoy remplir ſa curioſité, &	la ville ne tire pas de cet ébauche de quoi remplir sa curiosité, et
ſe faire une juſte idée d’un pays où il faut meſme avoir vêcu pour le cõnoiſtre.	se faire une juste idée d’un pays où il faut même avoir vécu pour le connaître.
D'autre part il eſt naturel aux hommes de ne point convenir de la beauté ou de la délicateſſe d’un trait de morale qui les peint, qui les déſigne, &	D’autre part il est naturel aux hommes de ne point convenir de la beauté ou de la délicatesse d’un trait de morale qui les peint, qui les désigne, et
où ils ſe reconnoiſſent eux-meſmes;	où ils se reconnaissent eux-mêmes;
ils ſe tirent d’embarras en le condamnant, &	ils se tirent d’embarras en le condamnant, et
tels n’approuvent la ſatyre, que lorſque commençant à lâcher priſe &	tels n’approuvent la satire, que lorsque commençant à lâcher prise et
à s’éloigner de leurs perſonnes, elle va mordre quelque autre.	à s’éloigner de leurs personnes, elle va mordre quelque autre.
Enfin quelle apparence de pouvoir remplir tous les goûts ſi differens des hommes par un ſeul ouvrage de morale? Les uns cherchent des definitions, des diviſions, des tables, &	Enfin quelle apparence de pouvoir remplir tous les goûts si différents des hommes par un seul ouvrage de morale? Les uns cherchent des définitions, des divisions, des tables, et
de la methode;	de la méthode;
ils veulent qu’on leur explique ce que c’eſt que la vertu en general, &	ils veulent qu’on leur explique ce que c’est que la vertu en général, et
cette vertu en particulier;	cette vertu en particulier;
quelle difference ſe trouve entre la valeur, la force &	quelle différence se trouve entre la valeur, la force et
la magnanimité, les vices extrêmes par le defaut ou par l’excés entre leſquels chaque vertu ſe trouve placée, &	la magnanimité, les vices extrêmes par le défaut ou par l’excès entre lesquels chaque vertu se trouve placée, et
duquel de ces deux extrêmes elle emprunte davantage:	duquel de ces deux extrêmes elle emprunte davantage:
toute autre doctrine ne leur plaiſt pas.	toute autre doctrine ne leur plaît pas.
Les autres contents que l'on réduiſe les mœurs aux paſſions, &	Les autres contents que l’on réduise les mœurs aux passions, et
que l’on explique celles-cy par le mouvement du ſang, par celuy des fibres &	que l’on explique celles-ci par le mouvement du sang, par celui des fibres et
des arteres, quittent;	des artères, quittent;
un Auteur de tout, le reſte.	un Auteur de tout, le reste.
Il s’en trouve d’un troiſiéme ordre, qui perſuadez que toute doctrine des mœurs doit tendre à les reformer, à diſcerner les bonnes d’avec les mauvaiſes, &	Il s’en trouve d’un troisième ordre, qui persuadés que toute doctrine des mœurs doit tendre à les reformer, à discerner les bonnes d’avec les mauvaises, et
à démêler dans les hommes ce qu’il y a de vain, de foible &	à démêler dans les hommes ce qu’il y a de vain, de faible et
de ridicule, d’avec ce qu’ils peuvent avoir de bon, de ſain &	de ridicule, d’avec ce qu’ils peuvent avoir de bon, de sain et
de loüable, ſe plaiſent infiniment dans la lecture des livres, qui ſuppoſant les principes phyſiques &	de louable, se plaisent infiniment dans la lecture des livres, qui supposant les principes physiques et
moraux rebatus par les anciens &	moraux rebattus par les anciens et
les modernes, ſe jettent d’abord dans leur application aux mœurs du temps, corrigent les hommes les uns par les autres par ces images de choſes qui leur ſont ſi familieres, &	les modernes, se jettent d’abord dans leur application aux mœurs du temps, corrigent les hommes les uns par les autres par ces images de choses qui leur sont si familières, et
dont neanmoins ils ne s’aviſoient pas de tirer leur inſtruction.	dont néanmoins ils ne s’avisaient pas de tirer leur instruction.
Tel eſt le traité des Caracteres des mœurs que nous a laiſſé Theophraſte;	Tel est le traité des Caractères des mœurs que nous a laissé Théophraste;
il l’a puiſé dans les Ethiques &	il l’a puisé dans les Éthiques et
les grandes Morales d’Ariſtote dont il fut le diſciple:	les grandes Morales d’Aristote dont il fut le disciple:
les excellentes définitions que l’on lit au commencement de chaque Chapitre ſont établies ſur les idées &	les excellentes définitions que l’on lit au commencement de chaque Chapitre sont établies sur les idées et
