LE Theatre repreſente un lieu propre à donner des ſpectacles, & qui peut convenir à la Tragedie & à la Comedie: Ce lieu n’a plus la magnificence qu’il paroiſt avoir eu autrefois, il eſt même preſque détruit & ruiné. On y voit Melpomène, Terpſicoré & Thalie ſans aucune ſuite. Mercure deſcend du Ciel.	LE Théâtre représente un lieu propre à donner des spectacles, et qui peut convenir à la Tragédie et à la Comédie: Ce lieu n’a plus la magnificence qu’il paraît avoir eue autrefois, il est même presque détruit et ruiné. On y voit Melpomène, Terpsicoré et Thalie sans aucune suite. Mercure descend du Ciel.
MERCURE, MELPOMENE, TERPSICORE’, THALIE.	MERCURE, MELPOMÈNE, TERPSICORÉ, THALIE.
Ce lieu deſert & détruit reprend tout d’un coup ſa premiere magnificence.	Ce lieu désert et détruit reprend tout d’un coup sa première magnificence.
Dans ce moment JUPITER paroiſt dans ſon Char.	Dans ce moment JUPITER paraît dans son Char.
Le Theatre repreſente fille de Tenede, où Achille s’eſt retiré auprès de ſes Vaiſſeaux depuis ſa querelle avec Agamemnon.	Le Théâtre représente fille de Ténède, où Achille s’est retiré auprès de ses Vaisseaux depuis sa querelle avec Agamemnon.
Venus paroiſt en l'air avec l’Amour; elle eſt accompagnée des Graces, & des Plaiſirs: le nüage qui les porte deſcend juſques au bas du Theatre, ils en ſortent tous, & le nüage ſe va perdre dans les Airs.	Venus paraît en l’air avec l’Amour; elle est accompagnée des Grâces, et des Plaisirs: le nuage qui les porte descend jusqu'au bas du Théâtre, ils en sortent tous, et le nuage se va perdre dans les Airs.
La Danſe de ce Divertiſſement a eſté faite par Monſieur de Leſtang.	La Danse de ce Divertissement a été faite par Monsieur de Létang.
La Danſe de ce Divertiſſement a eſté faite par Monſieur de Leſtang.	La Danse de ce Divertissement a été faite par Monsieur de Létang.
Fin du premier Acte.	Fin du premier Acte.
Le Theatre repreſente le Camp des Grecs devant Troye; cette ſuperbe Ville paroît dans l'éloignement.	Le Théâtre représente le Camp des Grecs devant Troie; cette superbe Ville paraît dans l’éloignement.
La danſe de ce divertiſſement a eſté faite par Mr Pecourt.	La danse de ce divertissement a été faite par Mr Pécourt.
Fin du ſecond Acte.	Fin du second Acte.
Le Theatre repreſente le Quartier d’Achile.	Le Théâtre représente le Quartier d’Achille.
Junon deſcend ſur ſon Char.	Junon descend sur son Char.
Dans le temps qu’elles ſortent des Enfers, tout le Theatre eſt obſcurcy.	Dans le temps qu’elles sortent des Enfers, tout le Théâtre est obscurci.
Junon remonte dans ſon Char.	Junon remonte dans son Char.
La danſe des Furies a eſté faite par Mr Leſtang	La danse des Furies a été faite par Mr Létang
On entend un bruit de Haut-bois & de Flûtes.	On entend un bruit de Hautbois et de Flûtes.
TROUPE DE BERGERS ET DE BERGERES.	TROUPE DE BERGERS ET DE BERGÈRES.
La danſe de ce divertiſſement a eſté faite par Mr Pecourt.	La danse de ce divertissement a été faite par Mr Pécourt.
Fin du troiſiéme Acte.	Fin du troisième Acte.
Le Theatre repreſente le magnifique Palais de Priam.	Le Théâtre représente le magnifique Palais de Priam.
SCENE TROISIE'ME.	SCENE TROISIÈME.
SCENE QUATRIE'ME.	SCENE QUATRIÈME.
PRIAM, POLIXENE, ARCAS ſuite de PRIAM & d’ARCAS.	PRIAM, POLIXÈNE, ARCAS suite de PRIAM et d’ARCAS.
SCENE CINQUIE’ME.	SCENE CINQUIÈME.
La danſe de ce divertiſſement a eſté faite par Mr Pecourt.	La danse de ce divertissement a été faite par Mr Pécourt.
Fin du quatriéme Acte.	Fin du quatrième Acte.
Le Theatre repreſente l’avenuë & le Temple d’Apollon.	Le Théâtre représente l’avenue et le Temple d’Apollon.
La Danſe de ce Divertiſſement a eſté faite par Monſieur Leſtang.	La Danse de ce Divertissement a été faite par Monsieur Létang.
BRISEIS, Chœur de Grecs qui ſortent en deſordre du Temple d’Apollon, ARCAS.	BRISÉIS, Chœur de Grecs qui sortent en désordre du Temple d’Apollon, ARCAS.
Fin du cinquiéme, & dernier Acte.	Fin du cinquième, et dernier Acte.
