AV LECTEVR. 	AU LECTEUR.
C E n’a iamais eſté mon intention de faire imprimer cecy:	CE n'a jamais été mon intention de faire imprimer ceci:
car il n’a couru & ne court encore que trop de telles fadaiſes. 	car il n'a couru et ne court encore que trop de telles fadaises.
Que ce ne l'ait point eſté, le long temps qu’il y a que la pluſpart en eſt oubliee au fonds d’vn coffre, le peut aſſez faire penſer, y ayant quarante & quatre ans & plus que ces leïpogrammes & la plus-part du reſte ont eſté batis. 	Que ce ne l'ait point été, le long temps qu'il y a que la plupart en est oubliée au fonds d'un coffre, le peut assez faire penser, y ayant quarante et quatre ans et plus que ces lipogrammes et la plupart du reste ont été bâtis.
Et quelques-vns ſans reproche en teſmoigneroient, ſi le fait eſtoit d'importance. 	Et quelques-uns sans reproche en témoigneraient, si le fait était d'importance.
La raiſon donc en eſt, que me trouuant il y a quelque temps chez deffunct monſieur Eſtienne auec quatre ou cinq de mes amis, comme on fut tombé ſur le propos des vers françois, il dit en auoir d’vne ſorte qu’on n'auoit point encore veüe, & les vouloit donner au ſieur Iannon pour les imprimer, & luy eſtant demandé quelle, il dit que c’eſtoient vers leïpogrammes. 	La raison donc en est, que me trouvant il y a quelque temps chez défunt monsieur Estienne avec quatre ou cinq de mes amis, comme on fut tombé sur le propos des vers français, il dit en avoir d'une sorte qu'on n'avait point encore vue, et les voulait donner au sieur Jannon pour les imprimer, et lui étant demandé quelle, il dit que c'étaient vers lipogrammes.
Ie dy lors, qu’il y auoit long temps que ie m’eſtois adonné à ceſte ſorte de vers, & que i'auoy creu que perſonne me l’euſt eſſayee que moy, & ſur le chãp luy en recitay quelques-vns:	Je dis lors, qu'il y avait longtemps que je m'étais adonné à cette sorte de vers, et que j'avais cru que personne me l'eût essayée que moi, et sur le champ lui en récitai quelques-uns:
puis le priant de me monſtrer ceux qu’il auoit, ie trouuay que c’eſtoiẽt les miens meſmes qu’il diſoit auoir eus d’vn que ie ne nommeray pas, pource qu’il eſt mort, auquel il me ſouuint les auoir preſtez il y auoit fort long temps. 	puis le priant de me montrer ceux qu'il avait, je trouvai que c'étaient les miens mêmes qu'il disait avoir eus d'un que je ne nommerai pas, pource qu'il est mort, auquel il me souvint les avoir prêtés il y avait fort long temps.
Et combien que te priaſſe ledict ſieur Eſtienne de ne les publier point, pour le peu de faict que c'estoit, il y perſiſta plus pour la nouueauté, que pour autre raiſon que il euſt (à ce que ie croy) de le faire. 	Et combien que te priasse ledit sieur Estienne de ne les publier point, pour le peu de fait que c'était, il y persista plus pour la nouveauté, que pour autre raison que il eût (à ce que je crois) de le faire.
Ie le preſſay donc de ſuperceder tant que ie les euſſe reueus, auec promeſſe de les luy bailler pour en faire à ſa volonté. 	Je le pressai donc de superséder tant que je les eusse revus, avec promesse de les lui bailler pour en faire à sa volonté.
Ce que i’euſſe fait incontinent apres, ſans ſon decés. 	Ce que j'eusse fait incontinent après, sans son décès.
