ATALA	ATALA
ou	ou
LES AMOURS	LES AMOURS
DE	DE
te DEUX SAUVAGES	te DEUX SAUVAGES
DANS LE DÉSERT.	DANS LE DÉSERT.
PROLOGUE,	PROLOGUE,
LA France possédoit autrefois, dans l’Amérique septentrionale, un vaste empire, qui s’étendoit depuis le Labrador jusqu’aux Florides, et depuis les rivages de l’Atlantique jusqu’aux lacs les plus reculés du haut Canada.	LA France possédait autrefois, dans l’Amérique septentrionale, un vaste empire, qui s’étendait depuis le Labrador jusqu’aux Florides, et depuis les rivages de l’Atlantique jusqu’aux lacs les plus reculés du haut-Canada.
Quatre grands fleuves, ayant leurs	Quatre grands fleuves, ayant leurs
1	1
sources dans les mêmes montagnes, divisoient ces régions immenses:	sources dans les mêmes montagnes, divisaient ces régions immenses:
le fleuve Saint-Laurent, qui se perd à l’Est dans le golfe de son nom;	le fleuve Saint-Laurent, qui se perd à l’Est dans le golfe de son nom;
la rivière de l’Ouest, qui porte ses eaux à des mers inconnues;	la rivière de l’Ouest, qui porte ses eaux à des mers inconnues;
le fleuve Bourbon, qui se précipite du midi au nord dans la baie d’Hudson;	le fleuve Bourbon, qui se précipite du midi au nord dans la baie d’Hudson;
et le Meschacebé (1), qui descendant du nord au midi, s’ensevelit dans le golfe du Mexique.	et le Meschacebé (1), qui descendant du nord au midi, s’ensevelit dans le golfe du Mexique.
Ce dernier fleuve, dans un cours de plus de mille lieues, arrose une délicieuse contrée, que les habitans des Etats-Unis appellent, le nouvel Eden, et à qui les François ont laissé le doux nom de Louisiane.	Ce dernier fleuve, dans un cours de plus de mille lieues, arrose une délicieuse contrée, que les habitants des États-Unis appellent, le nouvel Éden, et à qui les François ont laissé le doux nom de Louisiane.
Mille autres fleuves, tributaires du Meschacebé, le Missouri, l’Illinois, l'Akanza, l’Ohio,	Mille autres fleuves, tributaires du Meschacebé, le Missouri, l’Illinois, l'Arkansas, l’Ohio,
(i) Vrai nom du Mississipi ou Meschassipi.	(i) Vrai nom du Mississippi ou Meschassipi.
ATALA 3	ATALA 3
le Wabache, le Tenase, l’engraissent de leur limon, et la fertilisent de leurs eaux.	le Wabash, le Tennessee, l’engraissent de leur limon, et la fertilisent de leurs eaux.
Quand tous ces fleuves se sont gonflés des déluges de l’hiver; quand les tempêtes ont abattu des pans entiers de forêts;	Quand tous ces fleuves se sont gonflés des déluges de l’hiver; quand les tempêtes ont abattu des pans entiers de forêts;
le Temps assemble, sur toutes les sources, les arbres déracinés.	le Temps assemble, sur toutes les sources, les arbres déracinés.
Il les unit avec des lianes, il les cimente avec des vases, il y plante de jeunes arbrisseaux, et lance son ouvrage sur les ondes.	Il les unit avec des lianes, il les cimente avec des vases, il y plante de jeunes arbrisseaux, et lance son ouvrage sur les ondes.
Chariés par les vagues écumantes, ces radeaux descendent de toutes parts au Meschacebé.	Chariés par les vagues écumantes, ces radeaux descendent de toutes parts au Meschacebé.
Le vieux fleuve s’en empare, et les pousse à son embouchure pour y former une nouvelle branche.	Le vieux fleuve s’en empare, et les pousse à son embouchure pour y former une nouvelle branche.
Par intervalle, il élève sa grande voix, en passant sous les monts, et répand ses eaux débordées autour des colonnades des forêts, et des pyramides des tombeaux indiens:	Par intervalle, il élève sa grande voix, en passant sous les monts, et répand ses eaux débordées autour des colonnades des forêts, et des pyramides des tombeaux indiens:
c’est le Nil des déserts.	c’est le Nil des déserts.
Mais la grâce est toujours unie à la magnificence dans les scènes de la nature:	Mais la grâce est toujours unie à la magnificence dans les scènes de la nature:
et tandis que le courant du milieu entraîne vers la mer les cadavres des pins et des chênes;	et tandis que le courant du milieu entraîne vers la mer les cadavres des pins et des chênes;
on voit sur les deux courans latéraux remonter, le long des rivages, des îles flottantes de Pistia et de Nénuphar, dont les roses jaunes s’élèvent comme de petits pavillons.	on voit sur les deux courants latéraux remonter, le long des rivages, des îles flottantes de Pistia et de Nénuphar, dont les roses jaunes s’élèvent comme de petits pavillons.
Des serpens verds, des hérons bleus, des flammans roses, de jeunes crocodiles s’embarquent passagers sur ces vaisseaux de fleurs, et la colonie, déployant au vent ses voiles d’or, va aborder, endormie, dans quelque anse retirée du fleuve. 	Des serpents verts, des hérons bleus, des flamants roses, de jeunes crocodiles s’embarquent passagers sur ces vaisseaux de fleurs, et la colonie, déployant au vent ses voiles d’or, va aborder, endormie, dans quelque anse retirée du fleuve. 
Depuis l’embouchure du Meschacebé jusqu'a sa jonction avec l’Ohio, le tableau le plus extraordinaire suit le	Depuis l’embouchure du Meschacebé jusqu'à sa jonction avec l’Ohio, le tableau le plus extraordinaire suit le
ATALA 5	ATALA 5
cours de ses ondes.	cours de ses ondes.
Sur le bord occidental, des savanes se déroulent à perte de vue:	Sur le bord occidental, des savanes se déroulent à perte de vue:
leurs flots de verdure, en s’éloignant, semblent monter dans l’azur du ciel, où ils s’évanouissent.	leurs flots de verdure, en s’éloignant, semblent monter dans l’azur du ciel, où ils s’évanouissent.
On voit dans ces prairies sans bornes, errer à l’aventure des troupeaux de trois ou quatre mille buffles sauvages.	On voit dans ces prairies sans bornes, errer à l’aventure des troupeaux de trois ou quatre mille buffles sauvages.
Quelquefois un bison chargé d’années, fendant les flots à la nage, se vient coucher parmi les hautes herbes dans une île du Meschacebé.	Quelquefois un bison chargé d’années, fendant les flots à la nage, se vient coucher parmi les hautes herbes dans une île du Meschacebé.
A son front orné de deux croissans, à sa barbe antique et limoneuse, vous le prendriez pour le dieu mugissant du fleuve, qui jette un œil satisfait sur la grandeur de ses ondes, et la sauvage abondance de ses rives.	À son front orné de deux croissants, à sa barbe antique et limoneuse, vous le prendriez pour le dieu mugissant du fleuve, qui jette un œil satisfait sur la grandeur de ses ondes, et la sauvage abondance de ses rives.
Folle est la scène sur le bord occidental;	Folle est la scène sur le bord occidental;
mais elle change tout-à-coup	mais elle change tout à coup
I.	I.
ATALA 6	ATALA 6
sur la rive opposée, et forme un admirable contraste. Suspendus sur le cours des ondes, grouppés sur les rochers et sur les montagnes, dispersés «dans les vallées, des arbres de toutes les formes, de toutes les couleurs, de tous les parfums, se mêlent, croissent ensemble, montent dans les airs à des hauteurs qui fatiguent les regards.	sur la rive opposée, et forme un admirable contraste. Suspendus sur le cours des ondes, groupés sur les rochers et sur les montagnes, dispersés «dans les vallées, des arbres de toutes les formes, de toutes les couleurs, de tous les parfums, se mêlent, croissent ensemble, montent dans les airs à des hauteurs qui fatiguent les regards.
Les vignes sauvages, les bignonias, les coloquintes s’entrelacent au pied de ces arbres, escaladent leurs rameaux, grimpent à l'extrémité des tranches, s’élancent de l’érable au tulipier, du tulipier à l'alcée, en formant mille grottes, mille voûtes, mille portiques.	Les vignes sauvages, les bignonias, les coloquintes s’entrelacent au pied de ces arbres, escaladent leurs rameaux, grimpent à l'extrémité des tranches, s’élancent de l’érable au tulipier, du tulipier à l'alcée, en formant mille grottes, mille voûtes, mille portiques.
Souvent égarées d'arbre en arbre, ces lianes traversent des bras de rivières, sur lesquels elles jettent des ponts et des arches de fleurs.	Souvent égarées d'arbre en arbre, ces lianes traversent des bras de rivières, sur lesquels elles jettent des ponts et des arches de fleurs.
ATALA 7	ATALA 7
Du sein de ces massifs embaumés, le superbe magnolia élève son cône immobile:	Du sein de ces massifs embaumés, le superbe magnolia élève son cône immobile:
surmonté de ses roses blanches, il domine toute la forêt, et n’a d’autre rival que le palmier, qui balance légèrement auprès de lui ses éventails de verdure.	surmonté de ses roses blanches, il domine toute la forêt, et n’a d’autre rival que le palmier, qui balance légèrement auprès de lui ses éventails de verdure.
Une multitude d’animaux, placés dans ces belles retraites par la main du Créateur, y répandent l’enchantement et la vie.	Une multitude d’animaux, placés dans ces belles retraites par la main du Créateur, y répandent l’enchantement et la vie.
De l’extrémité des avenues, on apperçoit des ours enivrés de raisin, qui chancellent sur les branches des ormeaux;	De l’extrémité des avenues, on aperçoit des ours enivrés de raisin, qui chancellent sur les branches des ormeaux;
des troupes de carriboux se baignent dans un lac, des écureuils noirs se jouent dans l’épaisseur des feuillages;	des troupes de caribous se baignent dans un lac, des écureuils noirs se jouent dans l’épaisseur des feuillages;
des oiseaux moqueurs, des colombes virginiennes, de la grosseur d’un passereau, descendent sur les gazons 	des oiseaux moqueurs, des colombes virginiennes, de la grosseur d’un passereau, descendent sur les gazons 
ATALA 8	ATALA 8
rougis par les fraises; des perroquets verds à tête jaune, des piverts empourprés, des cardinaux de feux, grimpent, en circulant, au haut des cyprès;	rougis par les fraises; des perroquets verts à tête jaune, des piverts empourprés, des cardinaux de feux, grimpent, en circulant, au haut des cyprès;
des colibris étincellent sur le jasmin des Florides, et des serpens -	des colibris étincellent sur le jasmin des Florides, et des serpents -
oiseleurs sifflent suspendus aux dômes des bois, en s’y balançant comme des lianes.	oiseleurs sifflent suspendus aux dômes des bois, en s’y balançant comme des lianes.
Si tout est silence et repos dans les savanes de l’autre côté du fleuve, tout ici, au contraire, est mouvement et murmure:	Si tout est silence et repos dans les savanes de l’autre côté du fleuve, tout ici, au contraire, est mouvement et murmure:
des coups de bec contre le tronc des chênes, des froissemens d’animaux, qui marchent, broutent ou broient entre leurs dents les noyaux des fruits, des bruissemens	des coups de bec contre le tronc des chênes, des froissements d’animaux, qui marchent, broutent ou broient entre leurs dents les noyaux des fruits, des bruissements
d’ondes, de foibles gémissemens, de sourds meuglemens, de doux roucoulemens, remplissent ces déserts d’une	d’ondes, de faibles gémissements, de sourds meuglements, de doux roucoulements, remplissent ces déserts d’une
ATALA 9	ATALA 9
tendre et sauvage harmonie. Mais quand une brise vient à animer toutes ces solitudes, à balancer tous ces corps flottans, à confondre toutes ces masses de blanc, d’azur, de verd, de rose, à mêler toutes les couleurs, à réunir tous les murmures;	tendre et sauvage harmonie. Mais quand une brise vient à animer toutes ces solitudes, à balancer tous ces corps flottants, à confondre toutes ces masses de blanc, d’azur, de vert, de rose, à mêler toutes les couleurs, à réunir tous les murmures;
alors il sort de tels bruits du fond de ces forêts, il se passe de telles choses aux yeux, que j‘essayerois en vain de les décrire à ceux qui n’ont point parcouru ces champs primitifs de la nature.	alors il sort de tels bruits du fond de ces forêts, il se passe de telles choses aux yeux, que j‘essayerais en vain de les décrire à ceux qui n’ont point parcouru ces champs primitifs de la nature.
Après la découverte du Meschacebé par le père Hennepin et par l’infortuné La Salle, les premiers François qui s’établirent au Biloxi, et à la Nouvelle-Orléans, firent alliance avec les Natchez, nation Indienne, dont la puissance étoit redoutable dans ces contrées.	Après la découverte du Meschacebé par le père Hennepin et par l’infortuné La Salle, les premiers Français qui s’établirent au Biloxi, et à la Nouvelle-Orléans, firent alliance avec les Natchez, nation Indienne, dont la puissance était redoutable dans ces contrées.
Des injustices particulières,	Des injustices particulières,
ATALA 10	ATALA 10
la vengeance, l’amour, et toutes les passions, ensanglantèrent dans la suite la terre de l'hospitalité.	la vengeance, l’amour, et toutes les passions, ensanglantèrent dans la suite la terre de l'hospitalité.
Il y avoit parmi ces Sauvages un vieillard nommé Chactas (1), qui par son âge, sa sagesse, et sa science dans les choses de la vie, étoit l’amour et le patriarche des déserts.	Il y avait parmi ces Sauvages un vieillard nommé Chactas (1), qui par son âge, sa sagesse, et sa science dans les choses de la vie, était l’amour et le patriarche des déserts.
Il avoit, comme tous les hommes, acheté la vertu par l’infortune.	Il avait, comme tous les hommes, acheté la vertu par l’infortune.
Non-seulement les forêts furent remplies de ses malheurs, mais il les porta jusque sur les rivages de la France.	Non seulement les forêts furent remplies de ses malheurs, mais il les porta jusque sur les rivages de la France.
Retenu aux galères à Marseille, par une cruelle injustice, rendu à la liberté, et présenté à la cour de Louis XIV, il avoit conversé avec tous les grands hommes de ce siècle fameux, avoit assisté aux fêtes de Versailles, aux tragédies de Racine, aux oraisons funèbres de Bossuet;	Retenu aux galères à Marseille, par une cruelle injustice, rendu à la liberté, et présenté à la cour de Louis XIV, il avait conversé avec tous les grands hommes de ce siècle fameux, avait assisté aux fêtes de Versailles, aux tragédies de Racine, aux oraisons funèbres de Bossuet;
(1) La voix harmonieuse.	(1) La voix harmonieuse.
en un mot, c’étoit-là que le Sauvage avoit contemplé la société, à son plus haut point de splendeur.	en un mot, c’était-là que le Sauvage avait contemplé la société, à son plus haut point de splendeur.
Depuis plusieurs années, rentré dans le sein de sa patrie, Chactas y jouissoit du repos. Toutefois le ciel lui vendoit encore cher cette faveur;	Depuis plusieurs années, rentré dans le sein de sa patrie, Chactas y jouissait du repos. Toutefois le ciel lui vendait encore cher cette faveur;
le vieillard étoit devenu aveugle. Une jeune fille l'accompagnoit dans la solitude, comme Antigone guidoit les pas d’OEdipe sur le Cythéron, ou comme Malvina conduisoit Ossian à la tombe de ses pères.	le vieillard était devenu aveugle. Une jeune fille l'accompagnait dans la solitude, comme Antigone guidait les pas d’Œdipe sur le Cithéron, ou comme Malvina conduisait Ossian à la tombe de ses pères.
Malgré les nombreuses injustices que Chactas avoit éprouvées de la part des François, il les aimoit.	Malgré les nombreuses injustices que Chactas avait éprouvées de la part des Français, il les aimait.
ATALA 12	ATALA 12
Il se souvenoit toujours de Fénélon, dont il avoit été l’hôte, et desiroit pouvoir rendre quelque service aux compatriotes de cet homme vertueux.	Il se souvenait toujours de Fénelon, dont il avait été l’hôte, et désirait pouvoir rendre quelque service aux compatriotes de cet homme vertueux.
Il s’en présenta une occasion favorable.	Il s’en présenta une occasion favorable.
En 1725, un François, nommé René, poussé par des passions et des malheurs, arriva à la Louisiane.	En 1725, un François, nommé René, poussé par des passions et des malheurs, arriva à la Louisiane.
Il remonta le Meschacebé jusqu’au Natchez, et demanda à être reçu guerrier de cette nation.	Il remonta le Meschacebé jusqu’au Natchez, et demanda à être reçu guerrier de cette nation.
Chactas l’ayant interrogé, et le trouvant inébranlable dans sa résolution, l’adopte pour fils et lui donne pour épouse une Indienne, appelée Céluta.	Chactas l’ayant interrogé, et le trouvant inébranlable dans sa résolution, l’adopte pour fils et lui donne pour épouse une Indienne, appelée Céluta.
Peu de temps après ce mariage, les Sauvages se préparèrent à la grande chasse du castor.	Peu de temps après ce mariage, les Sauvages se préparèrent à la grande chasse du castor.
