A MONSIEUR DE MONTORON.	A MONSIEUR DE MONTORON.
ONSIEUR, M Je vous présente un tableau d'une des plus belles actions d'Auguste.	ONSIEUR, M Je vous présente un tableau d'une des plus belles actions d'Auguste.
Ce Monarque était tout généreux, et sa générosité n'a jamais paru avec tant d'esclat que dans les effects de sa clemence et de sa libéralité.	Ce Monarque était tout généreux, et sa générosité n'a jamais paru avec tant d'éclat que dans les effects de sa clémence et de sa libéralité.
Ces deux rares vertus lui étaient si naturelles et si inséparables en lui, qu'il semble qu'en cette Histoire que j'ai mise rage, qu'il a se dignement soutenu dans la profession des Armes à qui vous aveZ donné vos premières années, ce sont des choses trop cogneuës de tout le monde:	Ces deux rares vertus lui étaient si naturelles et si inséparables en lui, qu'il semble qu'en cette Histoire que j'ai mise rage, qu'il a se dignement soutenu dans la profession des Armes à qui vous aveZ donné vos premières années, ce sont des choses trop connues de tout le monde:
Je ne dirai rien de ce prompt et puissant secours que reçoivent chaque jour de votre main tant de bonnes familles ruinées par les desordres de nos guerres, ce sont des choses que vous vouleZ tenir cachées:	Je ne dirai rien de ce prompt et puissant secours que reçoivent chaque jour de votre main tant de bonnes familles ruinées par les désordres de nos guerres, ce sont des choses que vous vouleZ tenir cachées:
Je dirai seulement un mot de ce que vous aveZ particulièrement de commun avec Auguste.	Je dirai seulement un mot de ce que vous aveZ particulièrement de commun avec Auguste.
C'est que cette générosité qui compose la meilleure partie de votre âme, et règne sur l'autre, et qu'à juste titre on peut nommer l'âme de votre âme, puis qu'elle en fait mouvoir toutes les puissances, c'est dis-je que cette générosité à l'exemple de ce grand Empereur prend plaisir à s'estendre sur les gens de lettres, en un temps où beaucoup pensent avoir trop récompensé leurs trauaux quand ils les ont honoreZ d'une louange stérile.	C'est que cette générosité qui compose la meilleure partie de votre âme, et règne sur l'autre, et qu'à juste titre on peut nommer l'âme de votre âme, puis qu'elle en fait mouvoir toutes les puissances, c'est dis-je que cette générosité à l'exemple de ce grand Empereur prend plaisir à s'étendre sur les gens de lettres, en un temps où beaucoup pensent avoir trop récompensé leurs travaux quand ils les ont honoreZ d'une louange stérile.
Et certes, vons aveZ traicté quelques-vnes de nos Muses avec tant de magnanimité, qu'en elles vous aveZ obligé toutes les autres, et qu'il n'en est point qui ne vous en doive un remerciement.	Et certes, vous aveZ traité quelques-unes de nos Muses avec tant de magnanimité, qu'en elles vous aveZ obligé toutes les autres, et qu'il n'en est point qui ne vous en doive un remerciement.
Trouuez donc bon, MONSIEUR, que je m'acquite de celui que je reconnoy vous en devoir, par le present que je vous fais de ce Poëme, que j'ai choisy comme le plus durable des miens, pour apprendre plus longtemps à ceux qui le liront, que le généreux Monsieur de Montoron par une libéralité inoüye en ce siècle s'est rendu toutes les Muses redeuables, et que je prends tant de part aux bien-faits dont vous aveZ surpris quelques-vnes d'elles, que je m'en dirai toute ma vie, MONSIEUR, Vostre très-humble et très-obligé serviteur.	Trouvez donc bon, MONSIEUR, que je m'acquitte de celui que je reconnais vous en devoir, par le present que je vous fais de ce Poème, que j'ai choisi comme le plus durable des miens, pour apprendre plus longtemps à ceux qui le liront, que le généreux Monsieur de Montoron par une libéralité inouïe en ce siècle s'est rendu toutes les Muses redevables, et que je prends tant de part aux bien-faits dont vous aveZ surpris quelques-unes d'elles, que je m'en dirai toute ma vie, MONSIEUR, Votre très-humble et très-obligé serviteur.
CORNEILLE.	CORNEILLE.
SENECA lib.i. de Clementia, cap.9.	SENECA lib.i. de Clementia, cap.9.
