ET bien, Nérine, à quand cés Hyménée?	ET bien, Nérine, à quand ces Hyménéés?
En ont il choiſy l'heure ? en ſçais tu la journée?	En ont-ils choisi l'heure ? en sais-tu la journée?
N'en as tu rien appris? n'as tu point veu Iaſon?	N'en as-tu rien appris? n'as tu point vu Jason?
N'appréhende t'il rien après ſa trahiſon?	NN’appréhende-t-il rien après sa trahison?
Croit-il qu'en cet affrot ie m'amuſe à me plaindre?	Croit-il qu'en cet affront je m'amuse à me plaindre?
S'il ceſſe de m'aymer, qu'il commence a me craindre,	S'il cesse de m'aimer, qu'il commence à me craindre,
Il verra, le perfide, à quel comble d'horreur	Il verra, le perfide, à quel comble d'horreur
de mes reſſentiments peut monter la fureur.	de mes ressentiments peut monter la fureur.
Moderez les bouillons de cette violence,	Modérez les bouillons de cette violence,
Et laiſſez deſguiſer vos douleurs au ſilence.	Et laissez déguiser vos douleurs au silence.
Quoy! Madame, est-ce ainſi qu'il faut diſsimuler?	Quoi! Madame, est-ce ainsi qu'il faut dissimuler?
Et faut il perdre ainſi des menaces en l'air?	Et faut-il perdre ainsi des menaces en l'air?
Les plus ardents tranſports d'une haine cognuë	Les plus ardents transports d'une haine connue
Ne sont qu'autant deſclairs avortés dans la nuë,	Ne sont qu'autant d'éclairs avortés dans la nue,
Qu'autant d'aduis à ceux que vous voulez punir	Qu'autant d'avis à ceux que vous voulez punir
Pour repouſſer vos coups, ou pour les prévenir.	Pour repousser vos coups, ou pour les prévenir.
Qui peut ſans s'émouvoir ſupporter une offence	Qui peut sans s'émouvoir supporter une offense
Peut mieux prendre à ſon point le temps de ſa vangeance,	Peut mieux prendre à son point le temps de sa vangeance,
Et ſa feinte douceur ſoubs un appas mortel,	Et sa feinte douceur sous un appas mortel,
Méne inſenſiblement ſa victime à l'autel.	Mène insensiblement sa victime à l'autel.
Tu veux que ie me taiſe, & que ie diſsimule!	Tu veux que je me taise, et que je dissimule!
Nerine, porte ailleurs ce conſeil ridicule,	Nérine, porte ailleurs ce conseil ridicule,
L'ame en eſt incapable en de moindres malheurs,	L'âme en est incapable en de moindres malheurs,
Et n'a point ou cacher de ſi grandes douleurs.	Et n'a point ou cacher de si grandes douleurs.
Iaſon m'a fait trahir mon pays & mon pere,	Jason m'a fait trahir mon pays et mon père,
Et me laiſſe au milieu d'une terre eſtrangere,	Et me laisse au milieu d'une terre étrangère,
Sans ſupport, ſans amis, ſans retraite, ſans bien,	Sans support, sans amis, sans retraite, sans bien,
La fable de ſon peuple, & la haine du mien,	La fable de son peuple, et la haine du mien
Nerine, après cela, tu veux que je me taiſe!	Nérine, après cela, tu veux que je me taise!
Ne doiſ-ie point encor en teſmoigner de l'aiſe,	Ne dois-je point encore en témoigner de l'aise,
De ce Royal Hymen ſouhaiter l'heureux iour,	De ce Royal Hymen souhaiter l'heureux jour,
Et m'offrir pour ſervante à ſon amour?	Et m'offrir pour ſervante à son amour?
Madame, penſés mieux à l'eſclat que vous faites,	Madame, pensez mieux à l'éclat que vous faites,
Quelque iuſte qu'il ſoit, regardez où vous eſtes,	Quelque injuste qu'il soit, regardez où vous êtes,
Et ſongez qu'a grand peine un eſprit plus remis	Et songez qu'à grand peine un esprit plus remis
Vous tient en ſeureté parmy vos ennemis.	Vous tient en sûreté parmi vos ennemis.
L'ame doibt ſe roidir plus elle est menacée,	L'âme doit se roidir plus elle est menacée,
Et contre la fortune aller teſte baiſſée,	Et contre la fortune aller tête baissée,
La choquer hardiment, & ſans craindre la mort	Le choquer hardiment, et sans craindre la mort
Se présenter de front a ſon plus rude effort,	Se présenter de front à son plus rude effort,
Cette laſche ennemie a peur des grands courages,	Cette lâche ennemie a peur des grands courages,
Et sur ceux qu'elle abat redouble ſes outrages.	Et sur ceux qu'elle abat redouble ses outrages.
Que ſert ce grand courage ou l'on eſt ſans pouvoir?	Que sert ce grand courage où l'on est sans pouvoir?
Il trouuve touſiours lieus de ſe faire valoir.	Il trouve toujours lieu se se faire valoir.
Forcés l'aveuglement dont vous eſtes ſéduite,	Forcez l'aveuglement dont vous êtes séduite,
Pour voir en quel eſtat le ſort vous a reduite;	Pour voir en quel état le sort vous a réduite;
Voſtre pays vous hait, voſtre eſpoux eſt ſans foy,	Votre pays vous hait, votre époux est sans foi,
Dans vn ſi grand reuers que vous reſte t'il?	Dans un si grand revers que vous reste-t-il?
Moy,	Moi,
Moy diſie, & c'eſt aſſez.	Moi dis-je, et c'est assez.
Quoy? vous ſeule, Madame?	Quoi? vous seule, Madame?
Ouy tu vois en moy ſeule, & le fer, & et le flame,	Oui tu vois en moi seule, et le fer, et la flamme,
Et la terre, & et la mer, & et l'Enfer, & les Cieux,	Et la terre, et la mer, et l'Enfer, et les Cieux,
Et le ſceptre des rois, & la foudre des Dieux.	Et le sceptre des rois, et la foudre des Dieux.
L'impetueuſe ardeur d'un courage ſenſible	L'impétueuse ardeur d'un courage sensible
A vos reſſentiments figure tout poſsible,	À vos ressentiments figure tout possible,
