Si ce diſcours ſemble trop long pour eſtre tout leu en vne fois, on le pourra diſtinguer en ſix parties.	Si ce discours semble trop long pour être tout lu en une fois, on le pourra distinguer en six parties.
Et en la premiere on trouvera diuerſes conſiderations touchant les ſciences.	Et en la première on trouvera diverses considérations touchant les sciences.
En la ſeconde, les principales regles de la Methode que l'Autheur a cherchée.	En la seconde, les principales règles de la Méthode que l’Auteur a cherchée.
En la 3, quelques vues de celles de la Morale qu'il a tirée, de cete Methode.	En la 3, quelques vues de celles de la Morale qu’il a tirée, de cette Méthode.
En la 4, les raiſons par leſquelles il prouue l'exiſtence de Dieu, & de l'ame humaine, qui ſont les fondemens de ſa Metaphyſique.	En la 4, les raisons par lesquelles il prouve l’existence de Dieu, et de l’âme humaine, qui sont les fondements de sa Métaphysique.
En la 5, l'ordre des queſtions de Phyſique qu'il a cherchées, & particulierement l'explication du mouuement du cœur, & de quelques autres difficulteZ qui appartienent a la Medecine, puis auſſy la difference qui eſt entre noſtre ame & celle des beſtes.	En la 5, l’ordre des questions de Physique qu’il a cherchées, et particulièrement l’explication du mouvement du cœur, et de quelques autres difficultés qui appartiennent à la Médecine, puis aussi la différence qui est entre notre âme et celle des bêtes.
Et en la derniere, quelles choſes il croit eſtre requiſes pour aller plus auant en la recherche de la Nature qu'il n'a eſté, & quelles raiſons l'ont fait eſcrire.	Et en la dernière, quelles choses il croit être requises pour aller plus avant en la recherche de la Nature qu’il n’a été, et quelles raisons l’ont fait écrire.
LE bon ſens eſt la choſe du monde la mieux partagée:	LE bon sens est la chose du monde la mieux partagée:
car chaſcun penſe en eſtre ſi bien pouruû, que ceux meſme qui ſont les plus difficiles a contenter en toute autre choſe, n’ont point couſtume d’en deſirer plus qu’ils en ont.	car chacun pense en être si bien pourvu, que ceux même qui sont les plus difficiles à contenter en toute autre chose, n’ont point coutume d’en désirer plus qu’ils en ont.
En quoy il n’eſt pas vray ſemblable que tous ſe trõpent:	En quoi il n’est pas vraisemblable que tous se trompent:
Mais plutoſt cela teſmoigne que la puiſſance de bien iuger, & distinguer le vray d’auec le faux, qui eſt proprement ce qu'on nomme le bon sens, ou la raiſon, eſt naturellement eſgale en tous les hommes; Et ainſi que la diuerſité de nos opinions ne vient pas de ce que les vns ſont plus raiſonnables que les autres, mais ſeulement de ce que nous conduiſons nos penſées par diuerſes voyes, & ne conſiderons pas les meſmes choſes.	Mais plutôt cela témoigne que la puissance de bien juger, et distinguer le vrai d’avec le faux, qui est proprement ce qu’on nomme le bon sens, ou la raison, est naturellement égale en tous les hommes; Et ainsi que la diversité de nos opinions ne vient pas de ce que les uns sont plus raisonnables que les autres, mais seulement de ce que nous conduisons nos pensées par diverses voies, et ne considérons pas les mêmes choses.
Car ce n’eſt pas aſſez d’auoir l’eſprit bon, mais le principal eſt de l’appliquer bien.	Car ce n’est pas assez d’avoir l’esprit bon, mais le principal est de l’appliquer bien.
Les plus grandes ames ſont capables des plus grans vices, auſſy bien que des plus grandes vertus:	Les plus grandes ^mes sont capables des plus grands vices, aussi bien que des plus grandes vertus:
Et ceux qui ne marchent que fort lentement peuuent auancer beaucoup d’auantage, s’ils ſuiuent touſiours le droit chemin, que ne font ceux qui courent, & qui s'en eſloignent.	Et ceux qui ne marchent que fort lentement peuvent avancer beaucoup d’avantage, s’ils suivent toujours le droit chemin, que ne font ceux qui courent, et qui s’en éloignent.
Pour moy ie n'ay iamais preſumé que mon eſprit fuſt en rien plus parfait que ceux du commun:	Pour moi je n’ai jamais présumé que mon esprit fût en rien plus parfait que ceux du commun:
