PREMIERE PARTIE, DES PASSIONS EN GENERAL: Et par occaſion de toute la nature de l’homme.	PREMIÈRE PARTIE, DES PASSIONS EN GÉNÉRAL: Et par occasion de toute la nature de l’homme.
IL n’y a rien en quoy paroiſſe mieux combien les ſciences que nous avons des anciens ſont defectueuſes qu’en ce qu’ils ont eſcrit des Paſſions.	IL n’y a rien en quoi paraisse mieux combien les sciences que nous avons des anciens sont défectueuses qu’en ce qu’ils ont écrit des Passions.
Car bien que ce ſoit une matière dont la connoiſſance a touſiours eſté fort recherchée;	Car bien que ce soit une matière dont la connaissance a toujours été fort recherchée;
& qu’elle ne ſemble pas eſtre des plus difficiles, à cauſe que chacun les ſentant en ſoy-meſme, on n’a point beſoin d’emprunter d’ailleurs aucune obſervation pour en découvrir la nature:	et qu’elle ne semble pas être des plus difficiles, à cause que chacun les sentant en soi-même, on n’a point besoin d’emprunter d’ailleurs aucune observation pour en découvrir la nature:
toutesfois ce que les Anciens en ont enſeigné eſt ſi peu de choſe, & pour la plus part ſi peu croyable, que je ne puis avoir aucune eſperance d’approcher de la vérité, qu’en m’éloignant des chemins qu’ils ont ſuivis.	toutefois ce que les Anciens en ont enseigné est si peu de chose, et pour la plupart si peu croyable, que je ne puis avoir aucune espérance d’approcher de la vérité, qu’en m’éloignant des chemins qu’ils ont suivis.
C’eſt pourquoy je ſeray obligé d’eſcrire ici en meſme façon, que ſi je traitois d’une matiere que jamais perſonne avant moy n’euſt touchée.	C’est pourquoi je serai obligé d’écrire ici en même façon, que si je traitais d’une matière que jamais personne avant moi n’eût touchée.
Et pour commencer, je conſidere que tout ce qui ſe fait, ou qui arrive de nouveau, eſt generalement appellé par les Philoſophes une Paſſion au regard du ſujet auquel il arrive, & une Action au regard de celuy qui fait qu’il arrive.	Et pour commencer, je considère que tout ce qui se fait, ou qui arrive de nouveau, est généralement appelé par les Philosophes une Passion au regard du sujet auquel il arrive, et une Action au regard de celui qui fait qu’il arrive.
En ſorte que bien que l’agent & le patient ſoient ſouvent fort differens, l’Action & la Paſſion ne laiſſent pas d’eſtre tousjours une meſme choſe, qui a ces deux noms, à raiſon des deux divers ſujets auſquels on la peut rapporter.	En sorte que bien que l’agent et le patient soient souvent fort différents, l’Action et la Passion ne laissent pas d’être toujours une même chose, qui à ces deux noms, à raison des deux divers sujets auxquels on la peut rapporter.
Que pour connoiſtre les Paſſions de l’ame, il faut diſtinguer ſes fonctions d’avec celles du corps.	Que pour connaître les Passions de l’âme, il faut distinguer ses fonctions d’avec celles du corps.
PVis auſſi je considere que nous ne remarquons point qu’il y ait aucun ſujet qui agiſſe plus immediatement contre noſtre ame, que le corps auquel elle eſt jointe;	PUis aussi je considère que nous ne remarquons point qu’il y ait aucun sujet qui agisse plus immédiatement contre notre âme, que le corps auquel elle est jointe;
& que par conſéquent nous devons penſer que ce qui eſt en elle une Paſſion, eſt communement en luy une Action;	et que par conséquent nous devons penser que ce qui est en elle une Passion, est communément en lui une Action;
en ſorte qu’il ny a point de meilleur chemin pour venir à la connoiſſance de nos Paſſions, que d’examiner la difference qui eſt entre l’ame & le corps, affin de connoiſtre auquel des deux on doit attribuër chacune des fonctions qui ſont en nous.	en sorte qu’il ni a point de meilleur chemin pour venir à la connaissance de nos Passions, que d’examiner la différence qui est entre l’âme et le corps, affin de connaître auquel des deux on doit attribuer chacune des fonctions qui sont en nous.
Quelle regle on doit ſuivre pour cet effect.	Quelle règle on doit suivre pour cet effet.
A Quoy on ne trouvera pas grande difficulté, ſi on prend garde que tout ce que nous experimentons eſtre en nous, & que nous voyons auſſy pouvoir eſtre en des corps tout à fait inanimés, ne doit eſtre attribué qu’à noſtre corps;	À Quoi on ne trouvera pas grande difficulté, si on prend garde que tout ce que nous expérimentons être en nous, et que nous voyons aussi pouvoir être en des corps tout à fait inanimés, ne doit être attribué qu’à notre corps;
Et au contraire que tout ce qui eſt en nous, & que nous ne concevons en aucune façon pouvoir appartenir à un corps, doit être attribué à noſtre ame.	Et au contraire que tout ce qui est en nous, et que nous ne concevons en aucune façon pouvoir appartenir à un corps, doit être attribué à notre âme.
Que la chaleur & le mouvement des membres procedent du corps, & les penſées de l’ame.	Que la chaleur et le mouvement des membres procèdent du corps, et les pensées de l’âme.
AInſy à cauſe que nous ne concevons point que le corps penſe en aucune façon, nous avons raiſon de croire que toutes les ſortes de pensées qui ſont en nous appartienent à l’ame;	AInsi à cause que nous ne concevons point que le corps pense en aucune façon, nous avons raison de croire que toutes les sortes de pensées qui sont en nous appartiennent à l’âme;
Et à cauſe que nous ne doutons point qu’il y ait des corps inanimez, qui ſe peuvent mouvoir en autant ou plus de diverſes façons que les noſtres, & qui ont autant ou plus de chaleur (ce que l’experience fait voir en la flamme, qui ſeule a beaucoup plus de chaleur & de mouvement qu’aucun de nos membres) nous devons croire que toute la chaleur, & tous les mouvemens qui ſont en nous, en tant qu’ils ne dépendent point de la penſée, n’appartiennent qu’au corps.	Et à cause que nous ne doutons point qu’il y ait des corps inanimés, qui se peuvent mouvoir en autant ou plus de diverses façons que les nôtres, et qui ont autant ou plus de chaleur (ce que l’expérience fait voir en la flamme, qui seule a beaucoup plus de chaleur et de mouvement qu’aucun de nos membres) nous devons croire que toute la chaleur, et tous les mouvements qui sont en nous, en tant qu’ils ne dépendent point de la pensée, n’appartiennent qu’au corps.
Que c’eſt erreur de croire que l’ame donne le mouvement & la chaleur au corps.	Que c’est erreur de croire que l’âme donne le mouvement et la chaleur au corps.
AV moyen de quoy nous eviterons une erreur tres-considerable, & en laquelle pluſieurs ſont tombez, en ſorte que j’eſtime qu’elle eſt la premiere cauſe qui a empeſché qu’on n’ait pû bien expliquer juſques icy les Paſſions, & les autres choſes qui appartienent à l’ame.	AU moyen de quoi nous éviterons une erreur très-considérable, et en laquelle plusieurs sont tombés, en sorte que j’estime qu’elle est la première cause qui a empêché qu’on n’ait pu bien expliquer jusqu'ici les Passions, et les autres choses qui appartiennent à l’âme.
Elle consiſte en ce que voyant que tous les corps morts ſont privez de chaleur, & en ſuite de mouvement, on s’eſt imaginé que c’eſtoit l’abſence de l’ame qui faiſoit ceſſer ces mouvemens & cette chaleur;	Elle consiste en ce que voyant que tous les corps morts sont privés de chaleur, et ensuite de mouvement, on s’est imaginé que c’était l’absence de l’âme qui faisait cesser ces mouvements et cette chaleur;
Et ainſy on a creu ſans raiſon, que noſtre chaleur naturelle & tous les mouvemens de nos corps dépendent de l’ame:	Et ainsi on a cru sans raison, que notre chaleur naturelle et tous les mouvements de nos corps dépendent de l’âme:
Au lieu qu’on devoit penſer au contraire, que l’ame ne s’abſente lors qu’on meurt, qu’à cauſe que cette chaleur ceſſe, & que les organes qui ſervent à mouvoir le corps ſe corrompent.	Au lieu qu’on devait penser au contraire, que l’âme ne s’absente lorsqu’on meurt, qu’à cause que cette chaleur cesse, et que les organes qui servent à mouvoir le corps se corrompent.
Quelle difference il y a entre un corps vivant & un corps mort.	Quelle différence il y a entre un corps vivant et un corps mort.
AFfin donc que nous evitions ceſte erreur, conſiderons que la mort n’arrive jamais par la faute de l’ame, mais ſeulement parce que quelcune des principales parties du corps ſe corrompt;	AFfin donc que nous évitions cette erreur, considérons que la mort n’arrive jamais par la faute de l’âme, mais seulement parce que quelqu'une des principales parties du corps se corrompt;
& jugeons que le corps d’un homme vivant differe autant de celuy d’un homme mort, que fait une montre, ou autre automate (c’eſt à dire, autre machine qui ſe meut de ſoy-meſme), lors qu’elle eſt montée, & qu’elle a en ſoy le principe corporel des mouvemens pour leſquels elle eſt inſtituée, avec tout ce qui eſt requis pour ſon action, & la meſme montre, ou autre machine, lors qu’elle eſt rompuë & que le principe de ſon mouvement ceſſe d’agir.	et jugeons que le corps d’un homme vivant diffère autant de celui d’un homme mort, que fait une montre, ou autre automate (c’est à dire, autre machine qui se meut de soi-même), lorsqu’elle est montée, et qu’elle a en soi le principe corporel des mouvements pour lesquels elle est instituée, avec tout ce qui est requis pour son action, et la même montre, ou autre machine, lorsqu’elle est rompue et que le principe de son mouvement cesse d’agir.
Brève explication des parties du corps, & de quelques unes de ſes fonctions.	Brève explication des parties du corps, et de quelques unes de ses fonctions.
Pour rendre cela plus intelligible, j’expliqueray icy en peu de mots toute la façon dont la machine de noſtre corps eſt compoſée.	Pour rendre cela plus intelligible, j’expliquerai ici en peu de mots toute la façon dont la machine de notre corps est composée.
Il n’y a perſonne qui ne ſçache deja qu’il y a en nous un cœur, un cerveau, un eſtomac, des muſcles, des nerfs, des arteres, des venes, & choſes ſemblables.	Il n’y a personne qui ne sache déjà qu’il y a en nous un cœur, un cerveau, un estomac, des muscles, des nerfs, des artères, des veines, et choses semblables.
On ſçait auſſi que les viandes qu’on mange deſcendent dans l’eſtomac & dans les boyaux, d’où leur ſuc, coulant dans le foye, & dans toutes les venes, ſe meſle avec le ſang qu’elles contienent, & par ce moyen en augmente la quantité.	On sait aussi que les viandes qu’on mange descendent dans l’estomac et dans les boyaux, d’où leur suc, coulant dans le foie, et dans toutes les veines, se mêle avec le sang qu’elles contiennent, et par ce moyen en augmente la quantité.
Ceux qui ont tant ſoit peu ouy parler de la Medecine, ſçavent outre cela comment le cœur eſt compoſé, & comment tout le ſang des venes peut facilement couler de la vene cave en ſon coſté droit, & de là paſſer dans le poumon, par le vaiſſeau qu’on nomme la vene arterieuſe, puis retourner du poumon dans le coſté gauche du cœur, par le vaiſſeau nommé l’artere veneuſe, & en fin paſſer de là dans la grande artere, dont les branches ſe reſpandent par tout le corps.	Ceux qui ont tant soit peu ouï parler de la Médecine, savent outre cela comment le cœur est composé, et comment tout le sang des veines peut facilement couler de la veine cave en son côté droit, et de là passer dans le poumon, par le vaisseau qu’on nomme la veine artérieuse, puis retourner du poumon dans le côté gauche du cœur, par le vaisseau nommé l’artère veineuse, et enfin passer de là dans la grande artère, dont les branches se répandent par tout le corps.
