Gibier de potence	Gibier de potence
Un salon octogone, chez Plumard, mobilier élégant.	Un salon octogone, chez Plumard, mobilier élégant.
— Porte au fond donnant sur le vestibule.	— Porte au fond donnant sur le vestibule.
— À gauche, premier plan, une cheminée.	— À gauche, premier plan, une cheminée.
— À droite, premier plan, une porte donnant dans les appartements de Plumard. Dans le pan coupé de gauche, une porte donnant sur un cabinet noir.	— À droite, premier plan, une porte donnant dans les appartements de Plumard. Dans le pan coupé de gauche, une porte donnant sur un cabinet noir.
— Dans le pan coupé de droite, une porte donnant dans les appartements de Pépita.	— Dans le pan coupé de droite, une porte donnant dans les appartements de Pépita.
— Entre la porte du fond et le pan coupé de droite, une petite console.	— Entre la porte du fond et le pan coupé de droite, une petite console.
— À droite, premier plan, sur le devant de la scène, une table avec un tapis et ce qu’il faut pour écrire.	— À droite, premier plan, sur le devant de la scène, une table avec un tapis et ce qu’il faut pour écrire.
— À droite et à gauche de la table, une chaise.	— À droite et à gauche de la table, une chaise.
— Au premier plan à gauche, sur le devant de la scène, une autre chaise.	— Au premier plan à gauche, sur le devant de la scène, une autre chaise.
— Au fond, de chaque côté de la porte d’entrée, une chaise.	— Au fond, de chaque côté de la porte d’entrée, une chaise.
— Sur la cheminée un mètre impliable en bois ;	— Sur la cheminée un mètre impliable en bois ;
contre la cheminée, un petit cerceau à sonnettes pour enfant.	contre la cheminée, un petit cerceau à sonnettes pour enfant.
Scène première	Scène première
PEPITA, PLUMARD.	PÉPITA, PLUMARD.
Plumard, [1] écrivant à la table de droite…	Plumard, [1] écrivant à la table de droite…
…	…
Vous le reconnaîtrez facilement à son air de profond crétinisme. Signé :	Vous le reconnaîtrez facilement à son air de profond crétinisme. Signé:
un anonyme…	un anonyme…
qui ne dit pas son nom.	qui ne dit pas son nom.
( Parlé. )	(Parlé.)
Là !	Là!
voilà qui est fait…	voilà qui est fait…
Et maintenant à nous deux, mon bonhomme.	Et maintenant à nous deux, mon bonhomme.
Plumard, Pépita.	Plumard, Pépita.
2	2
Pépita, lisant le journal	Pépita, lisant le journal
Ah !	Ah!
mon Dieu !	mon Dieu!
Plumard, sursautant.	Plumard, sursautant.
Qu’est-ce qu’il y a ?	Qu’est-ce qu’il y a?
Pépita.	Pépita.
Elle est morte.	Elle est morte.
Plumard.	Plumard.
Qui ça ?	Qui ça?
Pépita.	Pépita.
La victime du crime de Suresnes.	La victime du crime de Suresnes.
Plumard.	Plumard.
Oui ?…	Oui?…
Eh bien !	Eh bien!
qu’est-ce que ça me fait à moi ?	qu’est-ce que ça me fait à moi?
Pépita, avec dédain.	Pépita, avec dédain.
Monsieur Plumard !	Monsieur Plumard!
vous n’avez pas de cœur…	vous n’avez pas de cœur…
Toutes les fois que ce n’est pas vous qui mourez, ça vous est égal.	Toutes les fois que ce n’est pas vous qui mourez, ça vous est égal.
Plumard.	Plumard.
Ah !	Ah!
tu sais, c’est le mépris de la vie qu’avaient nos pères…	tu sais, c’est le mépris de la vie qu’avaient nos pères…
le mépris de la vie des autres.	le mépris de la vie des autres.
Pépita.	Pépita.
Tenez !	Tenez!
vous !	vous!
vous êtes trempé comme un Curiace.	vous êtes trempé comme un Curiace.
Plumard.	Plumard.
Ma bonne amie, on dit « cuirasse…	Ma bonne amie, on dit «cuirasse…
» Tu ne dis pas un « curiassier !» 	Tu ne dis pas un «curiassier!»
mais un « cuirassier…» 	mais un «cuirassier…»
il ne faut pas confondre cur et cuir…	il ne faut pas confondre cur et cuir…
Pépita.	Pépita.
Oh !	Oh!
vous ne les confondez pas, vous, les cuirs…	vous ne les confondez pas, vous, les cuirs…
Quel ignare !	Quel ignare!
( À part. ) 	(À part.)
Et dire que c’est mon mari…	Et dire que c’est mon mari…
Ah !	Ah!
pourquoi faut-il que moi, la Lamballe…	pourquoi faut-il que moi, la Lamballe…
une étoile d’opérette à la mode, j’aie épousé cet ancien herboriste…	une étoile d’opérette à la mode, j’aie épousé cet ancien herboriste…
Elle se plonge dans son journal.	Elle se plonge dans son journal.
Plumard.	Plumard.
C’est étonnant comme la femme est ignorante sur certaines choses.	C’est étonnant comme la femme est ignorante sur certaines choses.
3	3
Pépita, lisant.…	Pépita, lisant.…
Après une nuit d’agonie…	Après une nuit d’agonie…
pendant laquelle le sang de la jeune femme s’était complètement tourné…	pendant laquelle le sang de la jeune femme s’était complètement tourné…
Plumard.	Plumard.
Quand le sang tourne on doit prendre des dépuratifs…	Quand le sang tourne on doit prendre des dépuratifs…
trois sous de chicorée amère, quatre sous de cresson…	trois sous de chicorée amère, quatre sous de cresson…
Si elle avait vu un herboriste…	Si elle avait vu un herboriste…
Pépita.	Pépita.
Mon ami !	Mon ami!
on ne vous demande pas de consultation.	on ne vous demande pas de consultation.
Plumard.	Plumard.
Je ne dis pas non !	Je ne dis pas non!
mais tu sais, nous autres, dans la médecine…	mais tu sais, nous autres, dans la médecine…
Pépita.	Pépita.
Où ça !	Où ça!
La médecine !	La médecine!
je vous demande un peu !	je vous demande un peu!
un ancien herboriste !	un ancien herboriste!
Ce n’est pas de la médecine, c’est tout au plus du médicament.	Ce n’est pas de la médecine, c’est tout au plus du médicament.
Plumard.	Plumard.
Les médecines sont des médicaments, ma bonne amie.	Les médecines sont des médicaments, ma bonne amie.
Pépita.	Pépita.
Oui, c’est bon !	Oui, c’est bon!
La malheureuse est morte…	La malheureuse est morte…
(Lisant.) 	(Lisant.)
On a même profité de cela pour l’enterrer…	On a même profité de cela pour l’enterrer…
C’est horrible !	C’est horrible!
( Parlé. ) 	(Parlé.)
Plumard.	Plumard.
Ah !	Ah!
qu’est-ce que tu veux…	qu’est-ce que tu veux…
la mort, c’est la vie !	la mort, c’est la vie!
Pépita.	Pépita.
Et cet assassin qu’on ne retrouve toujours pas…	Et cet assassin qu’on ne retrouve toujours pas…
C’est égal, à l’heure qu’il est, on doit le tenir…	C’est égal, à l’heure qu’il est, on doit le tenir…
Nous verrons ça dans un journal du soir…	Nous verrons ça dans un journal du soir…
Quand Taupinier sera là, je l’enverrai…	Quand Taupinier sera là, je l’enverrai…
Plumard.	Plumard.
Ah !	Ah!
M. Taupinier va venir !	M. Taupinier va venir!
Pépita, se levant.	Pépita, se levant.
Ça vous fâche…	Ça vous fâche…
Mais qu’est-ce que vous avez donc contre lui ?…	Mais qu’est-ce que vous avez donc contre lui?…
4	4
Plumard, sèchement.	Plumard, sèchement.
Moi !	Moi!
rien !	rien!
( Pépita lève les épaules et se replonge dans sa lecture.	(Pépita lève les épaules et se replonge dans sa lecture.
 Il fait la cour à ma femme, voilà tout ;	 Il fait la cour à ma femme, voilà tout ;
— Au public. )	— Au public.)
et ça me vexe…	et ça me vexe…
quand il vient, on m’envoie faire jouer Bébé…	quand il vient, on m’envoie faire jouer Bébé…
avec ce cerceau. 	avec ce cerceau.
Voilà six mois que ça dure !	Voilà six mois que ça dure!
heureusement je ne suis pas un de ces maris aveugles…	heureusement je ne suis pas un de ces maris aveugles…
j’ai tout compris…	j’ai tout compris…
depuis hier soir…	depuis hier soir…
Ah !	Ah!
c’est que j’ai lu Othello…	c’est que j’ai lu Othello…
Un drame d’un Anglais,…	Un drame d’un Anglais,…
qui écrit même très bien le français pour un étranger…	qui écrit même très bien le français pour un étranger…
Ça m’a ouvert les yeux !	Ça m’a ouvert les yeux!
J’ai pensé tout de suite aux oreillers…	J’ai pensé tout de suite aux oreillers…
mais j’ai trouvé ça un peu anglais pour moi…	mais j’ai trouvé ça un peu anglais pour moi…
J’ai préféré quelque chose de plus gascon…	J’ai préféré quelque chose de plus gascon…
J’ai pris une plume et j’ai écrit au commissaire de police :	J’ai pris une plume et j’ai écrit au commissaire de police:
(Tirant sa lettre de sa poche et lisant.) Monsieur le commissaire, soyez chez M. Plumard, 7 rue aux ânes, ce soir à cinq heures !	(Tirant sa lettre de sa poche et lisant.) Monsieur le commissaire, soyez chez M. Plumard, 7 rue aux ânes, ce soir à cinq heures!
vous trouverez dans son salon un malfaiteur de la pire espèce !	vous trouverez dans son salon un malfaiteur de la pire espèce!
vous le reconnaîtrez facilement à son air de profond crétinisme.	vous le reconnaîtrez facilement à son air de profond crétinisme.
— Entre nous je n’étais pas fâché de le bêcher un peu !…	 — Entre nous je n’étais pas fâché de le bêcher un peu!…
Il est quatre heures moins cinq et dans une heure cinq…	Il est quatre heures moins cinq et dans une heure cinq…
Ah !	Ah!
nous allons bien rire.	nous allons bien rire.
On sonne.	On sonne.
Scène II	Scène II
Les Mêmes, TAUPINIER.	Les Mêmes, TAUPINIER.
Taupinier.	Taupinier.
C’est moi.	C’est moi.
Pépita.	Pépita.
Ah !	Ah!
vous arrivez bien !	vous arrivez bien!
Vous allez retourner me chercher un journal du soir et puis vous passerez à la Préfecture de police…	Vous allez retourner me chercher un journal du soir et puis vous passerez à la Préfecture de police…
Taupinier.	Taupinier.
Encore !	Encore!
Quelle existence !	Quelle existence!
C’est bon !	C’est bon!
je m’envole et je reviens rapide comme l’oiseau.	je m’envole et je reviens rapide comme l’oiseau.
Fausse sortie.	Fausse sortie.
Plumard, entre les dents.	Plumard, entre les dents.
Va donc pierrot !	Va donc pierrot!
5	5
Taupinier.	Taupinier.
Qu’est-ce qu’il faudra faire à la préfecture ?	Qu’est-ce qu’il faudra faire à la préfecture?
Pépita.	Pépita.
Demander si l’on n’a pas retrouvé ma petite broche…	Demander si l’on n’a pas retrouvé ma petite broche…
ma tête de chien en diamant…	ma tête de chien en diamant…
vous savez.	vous savez.
Plumard.	Plumard.
Ah !	Ah!
ton petit Médor.	ton petit Médor.
Taupinier.	Taupinier.
Oui !	Oui!
Auquel madame tenait tant…	Auquel madame tenait tant…
parce que c’était un souvenir.	parce que c’était un souvenir.
Plumard, brusquement.	Plumard, brusquement.
Un souvenir !	Un souvenir!
Ah !	Ah!
de qui donc ?	de qui donc?
Pépita, vivement.	Pépita, vivement.
Eh !	Eh!
bien, de chose…	bien, de chose…
machin…	machin…
mon père…	mon père…
qui l’avait porté toute sa vie…	qui l’avait porté toute sa vie…
vous comprenez si j’y tiens ?	vous comprenez si j’y tiens?
Plumard.	Plumard.
Une relique paternelle, c’est sacré…	Une relique paternelle, c’est sacré…
Ainsi comme cela, votre père portait des broches en diamant ?	Ainsi comme cela, votre père portait des broches en diamant?
Pépita, balbutiant.	Pépita, balbutiant.
Oui, dans les bals officiels !	Oui, dans les bals officiels!
Comme il n’était pas décoré, alors pour ne pas avoir l’air d’un domestique…	Comme il n’était pas décoré, alors pour ne pas avoir l’air d’un domestique…
Plumard.	Plumard.
Oui…	Oui…
on prenait cela pour un ordre étranger…	on prenait cela pour un ordre étranger…
Taupinier.	Taupinier.
C’est très ingénieux !…	C’est très ingénieux!…
Allons !	Allons!
je me sauve…	je me sauve…
Plumard, le rattrapant par le pan de son vêtement.	Plumard, le rattrapant par le pan de son vêtement.
Ah !	Ah!
dites donc !…	dites donc!…
pas pour longtemps au moins…	pas pour longtemps au moins…
Oh !	Oh!
mais vous avez le temps, vous savez…	mais vous avez le temps, vous savez…
