LA Cigale ayant chanté	LA Cigale ayant chanté
Tout l’Eſté,	Tout l’Été,
Se trouva fort dépourvuë	Se trouva fort dépourvue
Quand la biſe fut venuë.	Quand la bise fut venue.
Pas un ſeul petit morceau	Pas un seul petit morceau
De mouche ou de vermiſſeau.	De mouche ou de vermisseau.
Elle alla crier famine	Elle alla crier famine
Chez la Fourmy ſa voiſine;	Chez la Fourmi sa voisine;
La priant de luy preſter	La priant de lui prêter
Quelque grain pour ſubſiſter	Quelque grain pour subsister
Juſqu’à la ſaiſon nouvelle.	Jusqu’à la saison nouvelle.
Je vous payray, luy dit-elle,	Je vous paierai, lui dit-elle,
Avant l’Ouſt, foy d’animal,	Avant l’Août, foi d’animal,
Intereſt & principal.	Intérêt et principal.
La Fourmy n’eſt pas preſteuſe;	La Fourmi n’est pas prêteuse;
C’eſt là ſon moindre défaut.	C’est là son moindre défaut.
Que faiſiez-vous au temps chaud?	Que faisiez-vous au temps chaud?
Dit-elle à cette emprunteuſe.	Dit-elle à cette emprunteuse.
Nuit & jour à tout venant	Nuit et jour à tout venant
Je chantois, ne vous déplaiſe.	Je chantais, ne vous déplaise.
Vous chantiez? j’en ſuis fort aiſe.	Vous chantiez? j’en suis fort aise.
Et bien, danſez maintenant.	Et bien, dansez maintenant.
Le Corbeau & le Renard.	Le Corbeau et le Renard.
MAiſtre Corbeau ſur un arbre perché,	MAître Corbeau sur un arbre perché,
Tenoit en ſon bec un fromage.	Tenait en son bec un fromage.
Maiſtre Renard par l’odeur alleché	Maître Renard par l’odeur alléché
Luy tint à peu prés ce langage:	Lui tint à peu près ce langage:
Et bon jour, Monſieur du Corbeau.	Et bonjour, Monsieur du Corbeau.
Que vous eſtes joly! que vous me ſemblez beau!	Que vous êtes joli! que vous me semblez beau!
Sans mentir, ſi voſtre ramage	Sans mentir, si votre ramage
Se rapporte à voſtre plumage,	Se rapporte à votre plumage,
Vous eſtes le Phenix des hoſtes de ces bois.	Vous êtes le Phénix des hôtes de ces bois.
A ces mots le Corbeau ne ſe ſent pas de joye:	À ces mots le Corbeau ne se sent pas de joie:
Et pour monſtrer ſa belle voix,	Et pour montrer sa belle voix,
Il ouvre un large bec, laiſſe tomber ſa proye.	Il ouvre un large bec, laisse tomber sa proie.
Le Renard s’en ſaiſit, & dit: Mon bon Monſieur,	Le Renard s’en saisit, et dit: Mon bon Monsieur,
Apprenez que tout flateur	Apprenez que tout flatteur
Vit aux dépens de celuy qui l’écoute.	Vit aux dépens de celui qui l’écoute.
Cette leçon vaut bien un fromage ſans doute.	Cette leçon vaut bien un fromage sans doute.
Le Corbeau honteux & confus	Le Corbeau honteux et confus
Jura, mais un peu tard, qu’on ne l’y prendroit plus.	Jura, mais un peu tard, qu’on ne l’y prendrait plus.
La Grenoüille qui ſe veut faire auſſi groſſe que le Bœuf.	La Grenouille qui se veut faire aussi grosse que le Bœuf.
UNe Grenoüille vid un Bœuf,	UNe Grenouille vit un Bœuf,
Qui luy ſembla de belle taille.	Qui lui sembla de belle taille.
Elle qui n’eſtoit pas groſſe en tout comme un œuf,	Elle qui n’était pas grosse en tout comme un œuf,
Envieuſe s’étend, & s’enfle & ſe travaille,	Envieuse s’étend, et s’enfle et se travaille,
Pour égaler l’animal en groſſeur;	Pour égaler l’animal en grosseur;
Diſant: Regardez bien, ma ſœur,	Disant: Regardez bien, ma sœur,
Eſt-ce aſſez? dites-moy? n’y ſuis-je point encore?	Est-ce assez? dites-moi? n’y suis-je point encore?
Nenny. M’y voicy donc? Point du tout. M’y voila?	Nenni. M’y voici donc? Point du tout. M’y voilà?
Vous n’en approchez point. La chetive pecore	Vous n’en approchez point. La chétive pécore
S’enfla ſi bien qu’elle creva.	S’enfla si bien qu’elle creva.
Le monde eſt plein de gens qui ne ſont pas plus ſages:	Le monde est plein de gens qui ne sont pas plus sages:
Tout Bourgeois veut baſtir comme les grands Seigneurs;	Tout Bourgeois veut bâtir comme les grands Seigneurs;
Tout petit Prince a des Ambaſſadeurs:	Tout petit Prince a des Ambassadeurs:
Tout Marquis veut avoir des Pages.	Tout Marquis veut avoir des Pages.
Les deux Mulets.	Les deux Mulets.
Deux Mulets cheminoient; l’un d’avoine chargé:	Deux Mulets cheminaient; l’un d’avoine chargé:
L’autre portant l’argent de la Gabelle.	L’autre portant l’argent de la Gabelle.
Celuy-cy glorieux d’une charge ſi belle,	Celui-ci glorieux d’une charge si belle,
N’eût voulu pour beaucoup en eſtre ſoulagé.	N’eût voulu pour beaucoup en être soulagé.
Il marchoit d’un pas relevé,	Il marchait d’un pas relevé,
Et faiſoit ſonner ſa ſonnette:	Et faisait sonner sa sonnette:
Quand l’ennemi ſe preſentant,	Quand l’ennemi se présentant,
Comme il en vouloit à l’argent,	Comme il en voulait à l’argent,
Sur le Mulet du fiſc une troupe ſe jette,	Sur le Mulet du fisc une troupe se jette,
Le ſaiſit au frein, & l’arreſte.	Le saisit au frein, et l’arrête.
Le Mulet en ſe défendant,	Le Mulet en se défendant,
Se ſent percer de coups, il gemit, il ſoûpire.	Se sent percer de coups, il gémit, il soupire.
Eſt-ce donc là, dit-il, ce qu’on m’avoit promis?	Est-ce donc là, dit-il, ce qu’on m’avait promis?
Ce Mulet qui me ſuit, du danger ſe retire,	Ce Mulet qui me suit, du danger se retire,
Et moy j’y tombe, & je peris.	Et moi j’y tombe, et je péris.
Ami, luy dit ſon camarade,	Ami, lui dit son camarade,
Il n’eſt pas toujours bon d’avoir un haut Employ.	Il n’est pas toujours bon d’avoir un haut Emploi.
Si tu n’avois ſervi qu’un Meuſnier, comme moy,	Si tu n’avais servi qu’un Meunier, comme moi,
Tu ne ſerois pas ſi malade.	Tu ne serais pas si malade.
Le Loup & le Chien.	Le Loup et le Chien.
UN Loup n’avoit que les os & la peau,	UN Loup n’avait que les os et la peau,
Tant les Chiens faiſoient bonne garde.	Tant les Chiens faisaient bonne garde.
Ce Loup rencontre un Dogue auſſi puiſſant que beau;	Ce Loup rencontre un Dogue aussi puissant que beau;
Gras, poli, qui s’eſtoit fourvoyé par mégarde.	Gras, poli, qui s’était fourvoyé par mégarde.
L’attaquer, le mettre en quartiers,	L’attaquer, le mettre en quartiers,
Sire Loup l’euſt fait volontiers.	Sire Loup l’eût fait volontiers.
Mais il falloit livrer bataille;	Mais il fallait livrer bataille;
Et le Mâtin eſtoit de taille	Et le Mâtin était de taille
A ſe défendre hardiment.	A se défendre hardiment.
Le Loup donc l’aborde humblement,	Le Loup donc l’aborde humblement,
Entre en propos, & luy fait compliment	Entre en propos, et lui fait compliment
Sur ſon embonpoint qu’il admire:	Sur son embonpoint qu’il admire:
Il ne tiendra qu’à vous, beau Sire,	Il ne tiendra qu’à vous, beau Sire,
D’eſtre auſſi gras que moy, luy repartit le Chien.	D’être aussi gras que moi, lui répartit le Chien.
Quittez les bois, vous ferez bien:	Quittez les bois, vous ferez bien:
Vos pareils y ſont miſerables,	Vos pareils y sont misérables,
Cancres, haires, & pauvres diables,	Cancres, hères, et pauvres diables,
Dont la condition eſt de mourir de faim.	Dont la condition est de mourir de faim.
Car quoy? Rien d’aſſuré; point de franche lipée;	Car quoi? Rien d’assuré; point de franche lippée;
Tout à la pointe de l’épée.	Tout à la pointe de l’épée.
Suivez-moy; vous aurez bien un meilleur deſtin.	Suivez-moi; vous aurez bien un meilleur destin.
Le Loup reprit: Que me faudra-t-il faire?	Le Loup reprit: Que me faudra-t-il faire?
Preſque rien, dit le Chien, donner la chaſſe aux gens	Presque rien, dit le Chien, donner la chasse aux gens
Portans baſtons, & mendians;	Portants bâtons, et mendiants;
Flater ceux du logis; à ſon Maiſtre complaire;	Flatter ceux du logis; à son Maître complaire;
Moyennant quoy voſtre ſalaire	Moyennant quoi votre salaire
Sera force reliefs de toutes les façons;	Sera force reliefs de toutes les façons;
Os de poulets, os de pigeons:	Os de poulets, os de pigeons:
Sans parler de mainte careſſe.	Sans parler de mainte caresse.
Le Loup déja ſe forge une felicité	Le Loup déjà se forge une félicité
Qui le fait pleurer de tendreſſe.	Qui le fait pleurer de tendresse.
Chemin faiſant il vid le col du Chien pelé.	Chemin faisant il vit le col du Chien pelé.
