LE voile n'eſt le rempart le plus ſur	LE voile n'est le rempart le plus sûr
Contre l’amour, ny le moins acceſſible,	Contre l'amour, ni le moins accessible,
Un bon mary mieux que grille ny mur,	Un bon mari mieux que grille ni mur,
Y pourvoira, ſi pourvoir eſt poſſible.	Y pourvoira, si pourvoir est possible.
C’eſt à mon ſens une erreur trop viſible	C'est à mon sens une erreur trop visible
A des Parens, pour ne dire autrement,	À des Parents, pour ne dire autrement,
De preſumer, aprés qu’une perſonne,	De présumer, après qu'une personne,
Bon gré, mal gré, s’eſt miſe en un Convent,	Bon gré, mal gré, s'est mise en un Couvent,
Que Dieu prendra ce qu’ainſi l’on luy donne.	Que Dieu prendra ce qu'ainsi l'on lui donne.
Abus, abus, je tiens que le malin,	Abus, abus, je tiens que le malin,
N’a revenu plus clair & plus certain.	N'a revenu plus clair et plus certain.
( Sauf toutefois l’assistance Divine.	(Sauf toutefois l'assistance Divine.
Encore un coup ne faut qu’on s’imagine,	Encore un coup ne faut qu'on s'imagine,
Que d’eſtre pure & nette de peché,	Que d'être pure et nette de péché,
Soit privilege à la guimpe attaché.	Soit privilège à la guimpe attaché.
Nenny da, non; je pretens qu’au contraire,	Nenni da, non; je prétends qu'au contraire,
Filles du monde ont toûjours plus de peur,	Filles du monde ont toujours plus de peur,
Que l’on ne donne atteinte à leur honneur,	Que l'on ne donne atteinte à leur honneur,
La raiſon eſt, qu’elles en ont à faire,	La raison est, qu'elles en ont à faire,
Moins d’ennemis attaquent leur pudeur.	Moins d'ennemis attaquent leur pudeur.
Les autres n’ont pour un ſeul adverſaire.	Les autres n'ont pour un seul adversaire.
Tentation, fille d’oiſiveté,	Tentation, fille d'oisiveté,
Ne manque pas d’agir de ſon coſté,	Ne manque pas d'agir de son côté,
Puis le deſir, enfant de la contrainte:	Puis le désir, enfant de la contrainte:
Ma fille eſt Nonne, Ergo, c’eſt une Sainte,	Ma fille est Nonne, Ergo, c'est une Sainte,
Mal raiſonner. Des quatre parts les trois,	Mal raisonner. Des quatre parts les trois,
En ont regret & ſe mordent les doigts;	En ont regret et se mordent les doigts;
Font ſouvent pis, au moins l’ay-je ouy dire,	Font souvent pis, au moins l'ai-je ouï dire,
Car pour ce point je parle ſans ſçavoir,	Car pour ce point je parle sans savoir,
Bocace en fait certain conte pour rire,	Boccace en fait certain conte pour rire,
Que j’ay rimé comme vousallez voir.	Que j'ai rimé comme vous allez voir.
Un bon Vieillard en un Convent de filles	Un bon Vieillard en un Couvent de filles
Autrefois fut, labouroit le jardin,	Autrefois fut, labourait le jardin,
Elles eſtoient toutes aſſez gentilles,	Elles étaient toutes assez gentilles,
Et volontiers jaſoient dés le matin.	Et volontiers jasaient dès le matin.
Tant ne ſongeoient au ſervice divin,	Tant ne songeaient au service divin,
Qu’à ſe montrer au Parloir aguimpées,	Qu'à se montrer au Parloir aguimpées,
Bien blanchement comme droites poupées.	Bien blanchement comme droites poupées.
Preſte chacune à tenir coup aux gens;	Prêtes chacune à tenir coup aux gens;
Et n’eſtoit jour qu’on ne trouvât leans	Et n'était jour qu'on ne trouvât léans
Fille qui n’eût dequoy rendre le change	Fille qui n'eût de quoi rendre le change
Sans s’envoyer l’une à l’autre l’éteuf.	Sans s'envoyer l'une à l'autre l'éteuf.
Huit Sœurs eſtoient & l’Abeſſe ſont neuf,	Huit Sœurs étaient et l'Abbesse sont neuf,
Si mal d’accord que c’eſtoit choſe étrange.	Si mal d'accord que c'était chose étrange.
De la beauté la pluſpart en avoient,	De la beauté la plupart en avaient,
De la jeuneſſe elles en avoient toutes:	De la jeunesse elles en avaient toutes:
En cettuy lieu beaux peres frequentoient	En cettui lieu beaux pères fréquentaient
Comme on peut croire; &tant bien ſupputoient	Comme on peut croire; &tant bien supputaient
Qu’ils ne manquoient à tomber ſur leurs routes	Qu'ils ne manquaient à tomber sur leurs routes
Le bon hommeau jardinier deſſus dit,	Le bon hommeau jardinier dessus dit,
Prés de ces Sœurs perdoit preſque l’eſprit,	Près de ces Sœurs perdait presque l'esprit,
A leur caprice il ne pouvoit ſuffire.	À leur caprice il ne pouvait suffire.
Toutes vouloient au vieillard commander,	Toutes voulaient au vieillard commander,
Dont ne pouvant entre elles s’accorder,	Dont ne pouvant entre elles s'accorder,
Il ſouffroit plus que l'on ne ſçauroit dire	Il souffrait plus que l'on ne saurait dire
Force luy fut de quitter la maiſon,	Force lui fut de quitter la maison,
Il en ſortit de la meſme façon	Il en sortit de la même façon
Qu’eſtoit entré là dedans le pauvre homme,	Qu'était entré là-dedans le pauvre homme,
Sans croix ny pile & n’ayant rien en ſomme	Sans croix ni pile & n'ayant rien en somme
Qu’un vieil habit. Certain jeune garçon	Qu'un vieil habit. Certain jeune garçon
De Lamporech, ſi j’ay bonne memoire,	De Lamporech, si j'ai bonne mémoire,
Dit au vieillard un beau jour aprés boire,	Dit au vieillard un beau jour après boire,
Et raiſonnant ſur le fait des Nonnains.	Et raisonnant sur le fait des Nonnains.
Qu’il paſſeroit bien volontiers ſa vie	Qu'il passerait bien volontiers sa vie
Prés de ces Soeurs; & qu’il avoit envie	Près de ces Sœurs; & qu'il avait envie
De leur offrir ſon travail & ſes mains,	De leur offrir son travail et ses mains,
Sans demander recompenſe ny gages.	Sans demander récompenses ni gages.
Le compagnon ne viſoit à l’argent,	Le compagnon ne visait à l'argent,
