A MONSEIGNEVR LE DVC D’ESPERNON.	A MONSEIGNEUR LE DUC D’ÉPERNON.
Lettre I.	Lettre I.
Monseignevr, Quand ie ne ſerois pas nay cõme ie ſuis, voſtre tres-humble ſeruiteur, il faudroit que ie fuſſe mauuais François pour ne me reſioüir pas des contẽtemens de voſtre maiſon, puis que ce ſont des felicités publiques.	Monseigneur, Quand je ne serais pas né comme je suis, votre très humble serviteur, il faudrait que je fusse mauvais Français pour ne me réjouir pas des contentements de votre maison, puisque ce sont des félicités publiques.
Nous auõs ſçeu l’heureux ſuccés du voyage que vous auez fait en Bearn, & les grands commencemens que vous auez donnez à tout ce que le Roy voudra entreprendre :	Nous avons su l’heureux succès du voyage que vous avez fait en Béarn, et les grands commencements que vous avez donnez à tout ce que le Roi voudra entreprendre:
Et certes le choix qu’il a fait de vous pour le ſeruir en vne occaſion de telle importance a eſté ſi generalement approuué, que ſi on remarquoit auparauant quelques deffaux en la conduite de nos affaires, il faut auoüer que cette derniere action a iuſtifié toutes les autres, & qu’on voit bien que ce n’eſt pas la ſeule faueur qui met de la difference entre les hõmes.	Et certes le choix qu’il a fait de vous pour le servir en une occasion de telle importance a été si généralement approuvé, que si on remarquait auparavant quelques défauts en la conduite de nos affaires, il faut avouer que cette dernière action a justifié toutes les autres, et qu’on voit bien que ce n’est pas la seule faveur qui met de la différence entre les hommes.
Ie ne doute point que le bon droit & la puiſſance ſe rencontrant du meſme coſté, l’euenement des choſes ne soit celuy que nous deſirons ;	Je ne doute point que le bon droit et la puissance se rencontrant du même côté, l’événement des choses ne soit celui que nous désirons;
mais quoy qu’il arriue, vous auez deſia la gloire d’auoir rendu la victoire ayſée, & fait voir que les ennemis de l’Eſtat n’ont pas eſté iuſques icy ſi conſiderables par leurs propres forces, que par l’opinion que nous en auions conceuë[.] Maintenãt Monſeigneur, il eſt temps Lettres dv sievr que vous recognoiſſiez les auantages que Dieu vous a donnés par deſſus le reſte des hommes ;	mais quoi qu’il arrive, vous avez déjà la gloire d’avoir rendu la victoire aisée, et fait voir que les ennemis de l’État n’ont pas été jusques ici si considérables par leurs propres forces, que par l’opinion que nous en avions conçue[.] Maintenant Monseigneur, il est temps Lettres du sieur que vous reconnaissiez les avantages que Dieu vous a donnés par dessus le reste des hommes;
Au moins vous deuez vous ſouuenir, qu’eſtant las des choſes du monde, & eſloigné de la Cour, la neceſſité publique ne vous eût pas eſté chercher dans le repos de voſtre maiſon pour vous mettre entre les mains les armes du Roy ſi vous n’eſtiez celuy-là dont tout le monde attẽd le reſtabliſſement de ſes affaires.	Au moins vous devez vous souvenir, qu’étant las des choses du monde, et éloigné de la Cour, la nécessité publique ne vous eût pas été chercher dans le repos de votre maison pour vous mettre entre les mains les armes du Roi si vous n’étiez celui-là dont tout le monde attend le rétablissement de ses affaires.
Ie ne me fie pas tant en mon opiniõ, que ie veuille reſpondre de l’auenir :	Je ne me fie pas tant en mon opinion, que je veuille répondre de l’avenir:
Toutesfois quand ie conſidere les actiõs de voſtre vie qui ſont telles, que nous auons de la peine à les croire apres les auoir veuës, & en tel nombre, qu’il ſemble aux eſtrangers que vous viuiez dés le commencement de noſtre Monarchie, ie penſe pouuoir dire auec verité, que s’il y a encore quelque choſe de grand à faire dans le monde, il ne faut pas que ce ſoit vn autre que vous qui l’entreprene.	Toutefois quand je considère les actions de votre vie qui sont telles, que nous avons de la peine à les croire après les avoir vues, et en tel nombre, qu’il semble aux étrangers que vous viviez dès le commencement de notre Monarchie, je pense pouvoir dire avec vérité, que s’il y a encore quelque chose de grand à faire dans le monde, il ne faut pas que ce soit un autre que vous qui l’entreprenne.
Vous auez poſſedé les bonnes graces des Roys comme des biens qui ſe peuuent perdre, & n’auez pas craint que leur paſſiõ deuſt plus durer que voſtre innocence ;	Vous avez possédé les bonnes grâces des Rois comme des biens qui se peuvent perdre, et n’avez pas craint que leur passion dût plus durer que votre innocence;
