Un bureau d’homme qui sert de salon, ou plus exactement un salon qui sert de bureau à un homme :	Un bureau d'homme qui sert de salon, ou plus exactement un salon qui sert de bureau à un homme:
Une porte au fond :	Une porte au fond:
Une porte vitrée s’ouvrant sur la salle à manger, à gauche:	Une porte vitrée s'ouvrant sur la salle à manger, à gauche:
Une porte à droite au premier plan	Une porte à droite au premier plan
Des livres — des tableaux — des photographies :	Des livres — des tableaux — des photographies:
( Au lever du rideau :	(Au lever du rideau:
Pelletier est seul en scène :	Pelletier est seul en scène:
Il se promène de long en large :	Il se promène de long en large:
Il regarde sa montre: )	Il regarde sa montre:)
PELLETIER	PELLETIER
Six heures et demie !	Six heures et demie!
Je n’y comprends rien !	Je n'y comprends rien!
( Il s’assied à son bureau ) :	(Il s'assied à son bureau):
Il ne me semble pas possible qu’on l’ait fait attendre plus d’une heure:	Il ne me semble pas possible qu'on l'ait fait attendre plus d'une heure:
Oui, mais soyons juste…	Oui, mais soyons juste…
s’il a attendu une heure, il ne pourra pas être là avant dix minutes !	s'il a attendu une heure, il ne pourra pas être là avant dix minutes!
C’est extrêmement difficile d’attendre !…	C'est extrêmement difficile d'attendre!…
Lire…	Lire…
écrire…	écrire…
non:	non:
Il devrait y avoir une chose à faire quand on attend…	Il devrait y avoir une chose à faire quand on attend…
la même pour tout le monde…	la même pour tout le monde…
et qui ne servirait qu’à cela ! …	et qui ne servirait qu'à cela!…
(Il regarde sa montre:	(Il regarde sa montre:
) Que c’est long une minute !	) Que c'est long une minute!
(Il sonne:	(Il sonne:
) Et dire que les années passent si vite !	) Et dire que les années passent si vite!
( Un instant après, le valet de chambre entre : )	(Un instant après, le valet de chambre entre:)
PELLETIER	PELLETIER
Demandez à Marie qu’elle vous donne le menu du dîner:	Demandez à Marie qu'elle vous donne le menu du dîner:
ÉMILE	ÉMILE
Bien, monsieur:	Bien, monsieur:
( Le valet de chambre sort : )	(Le valet de chambre sort:)
PELLETIER ( fouillant dans sa poche : )	PELLETIER (fouillant dans sa poche:)
S’il est reçu…	S'il est reçu…
je lui donne cent francs…	je lui donne cent francs…
s’il est refusé, je…	s'il est refusé, je…
les lui donne tout de même !	les lui donne tout de même!
(Le valet de chambre rentre et présente à Pelletier le menu:)	(Le valet de chambre rentre et présente à Pelletier le menu:)
PELLETIER (l’ayant parcouru:)	PELLETIER (l'ayant parcouru:)
Merci…	Merci…
