I.	I.
La Grand'Salle.	La Grand'Salle.
IL y a aujourd'hui trois cent quarante-huit ans six mois et dix-neuf jours, que les Parisiens s'éveillèrent au bruit de toutes les cloches sonnant à grande volée dans la triple enceinte	IL y a aujourd'hui trois cent quarante-huit ans six mois et dix-neuf jours, que les Parisiens s'éveillèrent au bruit de toutes les cloches sonnant à grande volée dans la triple enceinte
de la Cité, de l'Université et de la Ville.	de la Cité, de l'Université et de la Ville.
Ce n'est cependant pas un jour dont l'histoire ait gardé souvenir, que le 6 janvier 1482.	Ce n'est cependant pas un jour dont l'histoire ait gardé souvenir, que le 6 janvier 1482.
4 NOTRE-DAME DE PARIS.	4 NOTRE-DAME DE PARIS.
Rien de notable dans l'événement qui mettait ainsi en branle, dès le matin, les cloches et les bourgeois de Paris.	Rien de notable dans l'événement qui mettait ainsi en branle, dès le matin, les cloches et les bourgeois de Paris.
Ce n'était ni un assaut de Picards ou de Bourguignons, ni une châsse menée en procession, ni une révolte d'écoliers dans la vigne de Laas, ni une entrée de notre dit très-redouté seigneur monsieur le roi, ni même une belle pendaison de larrons et de larronnesses à la Justice de Paris.	Ce n'était ni un assaut de Picards ou de Bourguignons, ni une châsse menée en procession, ni une révolte d'écoliers dans la vigne de Laas, ni une entrée de notre dit très-redouté seigneur monsieur le roi, ni même une belle pendaison de larrons et de larronnesses à la Justice de Paris.
Ce n'était pas non plus la survenue, si fréquente au quinzième siècle, de quelque ambassade chamarrée et empanachée.	Ce n'était pas non plus la survenue, si fréquente au quinzième siècle, de quelque ambassade chamarrée et empanachée.
Il y avait à peine deux jours que la dernière cavalcade de ce genre, celle des ambassadeurs flamands chargés de conclure le mariage entre le dauphin et Marguerite de Flandre, avait fait son entrée à Paris, au grand ennui de monsieur le cardinal de Bourbon qui, pour plaire au roi, avait dû faire bonne mine à toute cette rustique cohue de bourgmestres flamands, et les régaler, en son hôtel de Bourbon, d'une moult belle moralité, sottie et farce, tandis qu'une pluie battante inondait à sa porte ses magnifiques tapisseries.	Il y avait à peine deux jours que la dernière cavalcade de ce genre, celle des ambassadeurs flamands chargés de conclure le mariage entre le dauphin et Marguerite de Flandre, avait fait son entrée à Paris, au grand ennui de monsieur le cardinal de Bourbon qui, pour plaire au roi, avait dû faire bonne mine à toute cette rustique cohue de bourgmestres flamands, et les régaler, en son hôtel de Bourbon, d'une moult belle moralité, sottie et farce, tandis qu'une pluie battante inondait à sa porte ses magnifiques tapisseries.
LA GRAND'SALLE. 5	LA GRAND'SALLE. 5
