ACTE Premier	ACTE Premier
Scène Première	Scène Première
PÈRE UBU, MÈRE UBU.	PÈRE UBU, MÈRE UBU.
Père Ubu.	Père Ubu.
— Merdre.	— Merdre.
Mère Ubu.	Mère Ubu.
— Oh !	— Oh!
voilà du joli, Père Ubu, vous eſtes un fort grand voyou.	voilà du joli, Père Ubu, vous estes un fort grand voyou.
Père Ubu.	Père Ubu.
— Que ne vous aſſom’je, Mère Ubu !	— Que ne vous assom'je, Mère Ubu!
Mère Ubu.	Mère Ubu.
— Ce n’eſt pas moi, Père Ubu, c’eſt un autre qu’il faudrait aſſaſſiner.	— Ce n'est pas moi, Père Ubu, c'est un autre qu'il faudrait assassiner.
Père Ubu.	Père Ubu.
— De par ma chandelle verte, je ne comprends pas.	— De par ma chandelle verte, je ne comprends pas.
Mère Ubu.	Mère Ubu.
— Comment, Père Ubu, vous eſtes content de votre sort ?	— Comment, Père Ubu, vous êtes content de votre sort?
Père Ubu.	Père Ubu.
— De par ma	— De par ma
17	17
chandelle verte, merdre, madame, certes oui, je suis content.	chandelle verte, merdre, madame, certes oui, je suis content.
On le serait à moins :	On le serait à moins:
 capitaine de dragons, officier de confiance du roi Venceſlas, décoré de l’ordre de l’Aigle Rouge de Pologne et ancien roi d’Aragon, que voulez-vous de mieux ?	capitaine de dragons, officier de confiance du roi Venceslas, décoré de l'ordre de l'Aigle Rouge de Pologne et ancien roi d'Aragon, que voulez-vous de mieux?
Mère Ubu.	Mère Ubu.
— Comment !	— Comment!
Après avoir été roi d’Aragon vous vous contentez de mener aux revues une cinquantaine d’eſtafiers armés de coupe-choux, quand vous pourriez faire ſuccéder sur votre fiole la couronne de Pologne à celle d’Aragon ?	Après avoir été roi d'Aragon vous vous contentez de mener aux revues une cinquantaine d'estafiers armés de coupe-choux, quand vous pourriez faire succéder sur votre fiole la couronne de Pologne à celle d'Aragon?
Père Ubu.	Père Ubu.
— Ah !	— Ah!
Mère Ubu, je ne comprends rien de ce que tu dis.	Mère Ubu, je ne comprends rien de ce que tu dis.
18	18
Mère Ubu.	Mère Ubu.
— Tu es si bête !	— Tu es si bête!
 Père Ubu. 	Père Ubu.
— De par ma chandelle verte, le roi Venceſlas eſt encore bien vivant ; et même en admettant qu’il meure, n’a-t-il pas des légions d’enfants ?	— De par ma chandelle verte, le roi Venceslas est encore bien vivant; et même en admettant qu'il meure, n'a-t-il pas des légions d'enfants?
Mère Ubu.	Mère Ubu.
— Qui t’empêche de maſſacrer toute la famille et de te mettre à leur place ?	— Qui t'empêche de massacrer toute la famille et de te mettre à leur place?
Père Ubu.	Père Ubu.
— Ah ! 	— Ah!
Mère Ubu, vous me faites injure et vous allez paſſer tout à l’heure par la caſſerole.	Mère Ubu, vous me faites injure et vous allez passer tout à l'heure par la casserole.
Mère Ubu.	Mère Ubu.
— Eh !	— Eh!
pauvre malheureux, ſi je paſſais par la caſſerole, qui te raccommoderait tes fonds de culotte ?	pauvre malheureux, si je passais par la casserole, qui te raccommoderait tes fonds de culotte?
Père Ubu.	Père Ubu.
— Eh vraiment !	— Eh vraiment!
19	19
et puis après ?	et puis après?
N’ai-je pas un cul comme les autres ?	N'ai-je pas un cul comme les autres?
Mère Ubu.	Mère Ubu.
— À ta place, ce cul, je voudrais l’inſtaller sur un trône.	— À ta place, ce cul, je voudrais l'installer sur un trône.
 Tu pourrais augmenter indéfiniment tes richeſſes, manger fort ſouvent de l’andouille et rouler carroſſe par les rues.	Tu pourrais augmenter indéfiniment tes richesses, manger fort souvent de l'andouille et rouler carrosse par les rues.
Père Ubu.	Père Ubu.
— Si j’étais roi, je me ferais conſtruire une grande capeline comme celle que j’avais en Aragon et que ces gredins d’Eſpagnols m’ont impudemment volée.	— Si j'étais roi, je me ferais construire une grande capeline comme celle que j'avais en Aragon et que ces gredins d'Espagnols m'ont impudemment volée.
Mère Ubu.	Mère Ubu.
— Tu pourrais auſſi te procurer un parapluie et un grand caban qui te tomberait sur les talons.	— Tu pourrais aussi te procurer un parapluie et un grand caban qui te tomberait sur les talons.
Père Ubu.	Père Ubu.
— Ah !	— Ah!
 je cède à 	je cède à
20	20
la tentation.	la tentation.
Bougre de merdre, merdre de bougre, si jamais je le rencontre au coin d’un bois, il paſſera un mauvais quart d’heure.	Bougre de merdre, merdre de bougre, si jamais je le rencontre au coin d'un bois, il passera un mauvais quart d'heure.
Mère Ubu.	Mère Ubu.
— Ah !	— Ah!
bien, Père Ubu, te voilà devenu un véritable homme.	bien, Père Ubu, te voilà devenu un véritable homme.
Père Ubu.	Père Ubu.
— Oh non ! 	— Oh non!
moi, capitaine de dragons, maſſacrer le roi de Pologne !	moi, capitaine de dragons, massacrer le roi de Pologne!
 plutôt mourir !	plutôt mourir!
Mère Ubu ( à part ).	Mère Ubu (à part).
— Oh !	— Oh!
merdre !	merdre!
(Haut) Ainsi, tu vas rester gueux comme un rat, Père Ubu.	(Haut) Ainsi, tu vas rester gueux comme un rat, Père Ubu.
Père Ubu.	Père Ubu.
— Ventrebleu, de par ma chandelle verte, j’aime mieux être gueux comme un maigre et brave rat que riche	— Ventrebleu, de par ma chandelle verte, j'aime mieux être gueux comme un maigre et brave rat que riche
21	21
comme un méchant et gras chat.	comme un méchant et gras chat.
Mère Ubu.	Mère Ubu.
— Et la capeline ?	— Et la capeline?
 et le parapluie ?	et le parapluie?
et le grand caban ?	et le grand caban?
Père Ubu.	Père Ubu.
— Eh bien, après, Mère Ubu ?	— Eh bien, après, Mère Ubu?
( Il s’en va en claquant la porte. )	(Il s'en va en claquant la porte.)
Mère Ubu ( seule ).	Mère Ubu (seule).
— Vrout, merdre, il a été dur à la détente, mais vrout, merdre, je crois pourtant l’avoir ébranlé.	— Vrout, merdre, il a été dur à la détente, mais vrout, merdre, je crois pourtant l'avoir ébranlé.
Grâce à Dieu et à moi-même, peut-être dans huit jours serai-je reine de Pologne.	Grâce à Dieu et à moi-même, peut-être dans huit jours serai-je reine de Pologne.
22	22
Scène II	Scène II
(La scène représente une chambre de la maison du Père Ubu où une table splendide est dressée.)	(La scène représente une chambre de la maison du Père Ubu où une table splendide est dressée.)
PÈRE UBU, MÈRE UBU	PÈRE UBU, MÈRE UBU
Mère Ubu.	Mère Ubu.
— Eh !	— Eh!
nos invités sont bien en retard.	nos invités sont bien en retard.
 Père Ubu.	Père Ubu.
— Oui, de par ma chandelle verte.	— Oui, de par ma chandelle verte.
Je crève de faim.	Je crève de faim.
Mère Ubu, tu es bien laide aujourd’hui.	Mère Ubu, tu es bien laide aujourd'hui.
Eſt-ce parce que nous avons du monde ?	Est-ce parce que nous avons du monde?
Mère Ubu (haussant les épaules).	Mère Ubu (haussant les épaules).
— Merdre.	— Merdre.
Père Ubu, ( saisissant un poulet rôti ).	Père Ubu, (saisissant un poulet rôti).
— Tiens, j’ai faim.	— Tiens, j'ai faim.
Je vais mordre dans cet oiseau.	Je vais mordre dans cet oiseau.
 C’est un poulet, je crois.	C'est un poulet, je crois.
Il n’est pas mauvais.	Il n'est pas mauvais.
Mère Ubu.	Mère Ubu.
— Que fais-tu,	— Que fais-tu,
23	23
malheureux ?	malheureux?
Que mangeront nos invités ?	Que mangeront nos invités?
Père Ubu.	Père Ubu.
— Ils en auront encore bien assez.	— Ils en auront encore bien assez.
Je ne toucherai plus à rien. 	Je ne toucherai plus à rien.
Mère Ubu, va donc voir à la fenêtre si nos invités arrivent.	Mère Ubu, va donc voir à la fenêtre si nos invités arrivent.
Mère Ubu ( y allant ).	Mère Ubu (y allant).
— Je ne vois rien.	— Je ne vois rien.
(Pendant ce temps, le Père Ubu dérobe une rouelle de veau.)	(Pendant ce temps, le Père Ubu dérobe une rouelle de veau.)
Mère Ubu.	Mère Ubu.
— Ah !	— Ah!
voilà le capitaine Bordure et ſes partiſans qui arrivent. 	voilà le capitaine Bordure et ses partisans qui arrivent.
Que manges-tu donc, Père Ubu ?  	Que manges-tu donc, Père Ubu?
Père Ubu.	Père Ubu.
— Rien, un peu de veau.	— Rien, un peu de veau.
Mère Ubu. 	Mère Ubu.
— Ah !	— Ah!
le veau !	le veau!
le veau !	le veau!
veau !	veau!
Il a mangé le veau !	Il a mangé le veau!
Au ſecours !	Au secours!
Père Ubu. 	Père Ubu.
— De par ma	— De par ma
24	24
chandelle verte, je te vais arracher les yeux.	chandelle verte, je te vais arracher les yeux.
(La porte s’ouvre.)	(La porte s'ouvre.)
Scène III	Scène III
PÈRE UBU, MÈRE UBU, CAPITAINE BORDURE et ſes partiſans.	PÈRE UBU, MÈRE UBU, CAPITAINE BORDURE et ses partisans.
Mère Ubu.	Mère Ubu.
— Bonjour, meſſieurs, nous vous attendons avec impatience.	— Bonjour, messieurs, nous vous attendons avec impatience.
Asseyez-vous.	Asseyez-vous.
Capitaine Bordure.	Capitaine Bordure.
— Bonjour, madame.	— Bonjour, madame.
Mais où eſt donc le Père Ubu ?	Mais où est donc le Père Ubu?
Père Ubu.	Père Ubu.
— Me voilà !	— Me voilà!
me voilà !	me voilà!
Sapriſti, de par ma chandelle verte, je suis pourtant aſſez gros.	Sapristi, de par ma chandelle verte, je suis pourtant assez gros.
25	25
Capitaine Bordure.	Capitaine Bordure.
— Bonjour, Père Ubu.	— Bonjour, Père Ubu.
Aſſeyez-vous, mes hommes.	Asseyez-vous, mes hommes.
(Ils s’asseyent tous.)	(Ils s'asseyent tous.)
Père Ubu.	Père Ubu.
— Ouf, un peu plus, j’enfonçais ma chaise.	— Ouf, un peu plus, j'enfonçais ma chaise.
Capitaine Bordure.	Capitaine Bordure.
— Eh !	— Eh!
Mère Ubu !	Mère Ubu!
que nous donnez-vous de bon aujourd’hui ?	que nous donnez-vous de bon aujourd'hui?
Mère Ubu.	Mère Ubu.
— Voici le menu.	— Voici le menu.
Père Ubu.	Père Ubu.
— Oh !	— Oh!
ceci m’intéreſſe.	ceci m'intéresse.
Mère Ubu.	Mère Ubu.
— Soupe polonaiſe, côtes de raſtron, veau, poulet, pâté de chien, croupion de dinde, charlotte ruſſe…	— Soupe polonaise, côtes de rastron, veau, poulet, pâté de chien, croupion de dinde, charlotte russe…
Père Ubu.	Père Ubu.
— Eh !	— Eh!
en voilà aſſez, je suppoſe.	en voilà assez, je suppose.
Y en a-t-il encore ?	Y en a-t-il encore?
Mère Ubu (continuant).	Mère Ubu (continuant).
— Bombe, ſalade, fruits, deſſert,	— Bombe, salade, fruits, dessert,
26	26
bouilli, topinambours, choux-fleurs à la merdre.	bouilli, topinambours, choux-fleurs à la merdre.
Père Ubu.	Père Ubu.
— Eh !	— Eh!
me crois-tu empereur d’Orient pour faire de telles dépenſes ?	me crois-tu empereur d'Orient pour faire de telles dépenses?
Mère Ubu.	Mère Ubu.
— Ne l’écoutez pas, il est imbécile.	— Ne l'écoutez pas, il est imbécile.
Père Ubu.	Père Ubu.
— Ah !	— Ah!
je vais aiguiſer mes dents contre vos mollets.	je vais aiguiser mes dents contre vos mollets.
Mère Ubu.	Mère Ubu.
— Dîne plutôt, Père Ubu.	— Dîne plutôt, Père Ubu.
Voilà de la polonaiſe.	Voilà de la polonaise.
Père Ubu.	Père Ubu.
— Bougre, que c’eſt mauvais.	— Bougre, que c'est mauvais.
Capitaine Bordure.	Capitaine Bordure.
— Ce n’eſt pas bon, en effet.	— Ce n'est pas bon, en effet.
Mère Ubu.	Mère Ubu.
— Tas d’Arabes, que vous faut-il ?	— Tas d'Arabes, que vous faut-il?
Père Ubu (se frappant le front).	Père Ubu (se frappant le front).
27	27
— Oh !	— Oh!
j’ai une idée.	j'ai une idée.
Je vais revenir tout à l’heure.	Je vais revenir tout à l'heure.
(Il s’en va.)	(Il s'en va.)
Mère Ubu.	Mère Ubu.
— Meſſieurs, nous allons goûter du veau.	— Messieurs, nous allons goûter du veau.
Capitaine Bordure.	Capitaine Bordure.
— Il eſt très bon, j’ai fini.	— Il est très bon, j'ai fini.
Mère Ubu.	Mère Ubu.
— Aux croupions, maintenant.	— Aux croupions, maintenant.
Capitaine Bordure.	Capitaine Bordure.
— Exquis, exquis !	— Exquis, exquis!
Vive la Mère Ubu !	Vive la Mère Ubu!
Tous.	Tous.
— Vive la Mère Ubu !	— Vive la Mère Ubu!
Père Ubu (rentrant).	Père Ubu (rentrant).
— Et vous allez bientôt crier vive le Père Ubu.	— Et vous allez bientôt crier vive le Père Ubu.
(Il tient un balai innommable à la main et le lance sur le festin.)	(Il tient un balai innommable à la main et le lance sur le festin.)
Mère Ubu.	Mère Ubu.
— Miſérable, que fais-tu ?	— Misérable, que fais-tu?
Père Ubu.	Père Ubu.
— Goûtez un peu.	— Goûtez un peu.
(Plusieurs goûtent et tombent empoisonnés.)	(Plusieurs goûtent et tombent empoisonnés.)
28	28
Père Ubu.	Père Ubu.
— Mère Ubu, paſſe-moi les côtelettes de raſtron, que je ſerve.	— Mère Ubu, passe-moi les côtelettes de rastron, que je serve.
Mère Ubu.	Mère Ubu.
— Les voici.	— Les voici.
Père Ubu.	Père Ubu.
— À la porte tout le monde !	— À la porte tout le monde!
Capitaine Bordure, j’ai à vous parler.	Capitaine Bordure, j'ai à vous parler.
Les Autres.	Les Autres.
— Eh !	— Eh!
nous n’avons pas dîné !	nous n'avons pas dîné!
Père Ubu.	Père Ubu.
— Comment, vous n’avez pas dîné !	— Comment, vous n'avez pas dîné!
À la porte, tout le monde !	À la porte, tout le monde!
Reſtez, Bordure.	Restez, Bordure.
(Personne ne bouge.)	(Personne ne bouge.)
Père Ubu.	Père Ubu.
— Vous n’êtes pas partis ?	— Vous n'êtes pas partis?
De par ma chandelle verte, je vais vous aſſommer de côtes de raſtron.	De par ma chandelle verte, je vais vous assommer de côtes de rastron.
(Il commence à en jeter.)	(Il commence à en jeter.)
Tous.	Tous.
— Oh !	— Oh!
Aïe !	Aïe!
Au	Au
29	29
secours !	secours!
Défendons-nous !	Défendons-nous!
malheur !	malheur!
je ſuis mort !	je suis mort!
Père Ubu.	Père Ubu.
— Merdre, merdre, merdre.	— Merdre, merdre, merdre.
À la porte !	À la porte!
je fais mon effet.	je fais mon effet.
Tous.	Tous.
— Sauve qui peut !	— Sauve qui peut!
Miſérable Père Ubu !	Misérable Père Ubu!
traître et gueux voyou !	traître et gueux voyou!
Père Ubu.	Père Ubu.
— Ah !	— Ah!
les voilà partis.	les voilà partis.
Je reſpire, mais j’ai fort mal dîné.	Je respire, mais j'ai fort mal dîné.
Venez, Bordure.	Venez, Bordure.
(Ils sortent avec la Mère Ubu.)	(Ils sortent avec la Mère Ubu.)
Scène IV	Scène IV
PÈRE UBU, MÈRE UBU, CAPITAINE BORDURE	PÈRE UBU, MÈRE UBU, CAPITAINE BORDURE
Père Ubu.	Père Ubu.
— Eh bien, capitaine, avez-vous bien dîné ?	— Eh bien, capitaine, avez-vous bien dîné?
30	30
Capitaine Bordure.	Capitaine Bordure.
— Fort bien, monſieur, ſauf la merdre.	— Fort bien, monsieur, sauf la merdre.
Père Ubu.	Père Ubu.
— Eh !	— Eh!
la merdre n’était pas mauvaiſe.	la merdre n'était pas mauvaise.
Mère Ubu.	Mère Ubu.
— Chacun ſon goût.	— Chacun son goût.
Père Ubu.	Père Ubu.
— Capitaine Bordure, je ſuis décidé à vous faire duc de Lithuanie.	— Capitaine Bordure, je suis décidé à vous faire duc de Lithuanie.
Capitaine Bordure.	Capitaine Bordure.
— Comment, je vous croyais fort gueux, Père Ubu.	— Comment, je vous croyais fort gueux, Père Ubu.
Père Ubu.	Père Ubu.
— Dans quelques jours, ſi vous voulez, je règne en Pologne.	— Dans quelques jours, si vous voulez, je règne en Pologne.
Capitaine Bordure.	Capitaine Bordure.
— Vous allez tuer Venceſlas ?	— Vous allez tuer Venceslas?
Père Ubu.	Père Ubu.
— Il n’eſt pas bête, ce bougre, il a deviné.	— Il n'est pas bête, ce bougre, il a deviné.
Capitaine Bordure.	Capitaine Bordure.
— S’il	— S'il
31	31
ſ’agit de tuer Venceſlas, j’en ſuis.	s'agit de tuer Venceslas, j'en suis.
Je ſuis ſon mortel ennemi et je réponds de mes hommes.	Je suis son mortel ennemi et je réponds de mes hommes.
Père Ubu (se jetant sur lui pour l’embrasser).	Père Ubu (se jetant sur lui pour l'embrasser).
— Oh !	— Oh!
oh !	oh!
je vous aime beaucoup, Bordure.	je vous aime beaucoup, Bordure.
Capitaine Bordure.	Capitaine Bordure.
— Eh !	— Eh!
vous empeſtez, Père Ubu.	vous empestez, Père Ubu.
Vous ne vous lavez donc jamais ?	Vous ne vous lavez donc jamais?
Père Ubu.	Père Ubu.
— Rarement.	— Rarement.
Mère Ubu.	Mère Ubu.
— Jamais !	— Jamais!
Père Ubu.	Père Ubu.
— Je vais te marcher ſur les pieds.	— Je vais te marcher sur les pieds.
Mère Ubu.	Mère Ubu.
— Groſſe merdre !	— Grosse merdre!
Père Ubu.	Père Ubu.
— Allez, Bordure, j’en ai fini avec vous.	— Allez, Bordure, j'en ai fini avec vous.
Mais par ma chandelle verte, je jure ſur la Mère Ubu de vous faire duc de Lithuanie.	Mais par ma chandelle verte, je jure sur la Mère Ubu de vous faire duc de Lithuanie.
32	32
Mère Ubu.	Mère Ubu.
— Mais…	— Mais…
Père Ubu.	Père Ubu.
— Tais-toi, ma douce enfant.	— Tais-toi, ma douce enfant.
(Ils sortent.)	(Ils sortent.)
Scène V	Scène V
PÈRE UBU, MÈRE UBU, UN MESSAGER	PÈRE UBU, MÈRE UBU, UN MESSAGER
Père Ubu.	Père Ubu.
— Monſieur, que voulez-vous ?	— Monsieur, que voulez-vous?
fichez le camp, vous me fatiguez.	fichez le camp, vous me fatiguez.
Le Meſſager.	Le Messager.
— Monſieur, vous êtes appelé de par le roi.	— Monsieur, vous êtes appelé de par le roi.
(Il sort.)	(Il sort.)
Père Ubu.	Père Ubu.
— Oh !	— Oh!
merdre, jarnicotonbleu, de par ma chandelle verte, je ſuis découvert, je vais être décapité !	merdre, jarnicotonbleu, de par ma chandelle verte, je suis découvert, je vais être décapité!
hélas !	hélas!
hélas !	hélas!
33	33
Mère Ubu.	Mère Ubu.
— Quel homme mou !	— Quel homme mou!
