VOVS venez, dites-vous, pour luy donner la main?	VOUS venez, dites-vous, pour lui donner la main?
Oüy, ie veux terminer la choſe dans demain.	Oui, je veux terminer la chose dans demain.
Nous ſommes icy ſeuls, & l'on peut, ce me ſemble,	Nous sommes ici seuls, et l’on peut, ce me semble,
Sans craindre d’eſtre oüis, y diſcourir enſemble.	Sans craindre d’être ouïs, y discourir ensemble.
Voulez-vous qu’en Amy ie vous ouure mon cœur?	Voulez-vous qu’en Ami je vous ouvre mon cœur?
Voſtre deſſein, pour vous, me fait trembler de peur;	Votre dessein, pour vous, me fait trembler de peur;
Et de quelque façon que vous tourniez l’affaire,	Et de quelque façon que vous tourniez l’affaire,
Prendre Femme, eſt à vous vn coup bien temeraire.	Prendre Femme, est à vous un coup bien téméraire.
Il eſt vray, noſtre Amy. Peut-eſtre que chez vous	Il est vrai, notre Ami. Peut-être que chez vous
Vous trouuez des ſujets de craindre pour chez nous;	Vous trouvez des sujets de craindre pour chez nous;
Et voſtre front, ie croy, veut que du Mariage,	Et votre front, je crois, veut que du Mariage,
Les Cornes ſoient par tout l'infaillible apanage.	Les Cornes soient par tout l’infaillible apanage.
Ce ſont coups du Hazard, dõt on n’eſt point garand;	Ce sont coups du Hasard, dont on n’est point garant;
Et bien ſot, ce me ſemble, eſt le ſoin qu'on en prend.	Et bien sot, ce me semble, est le soin qu’on en prend.
Mais quand ie crains pour vous, c’eſt cette raillerie	Mais quand je crains pour vous, c’est cette raillerie
Dont cent pauures Maris ont ſouffert la furie:	Dont cent pauvres Maris ont souffert la furie:
Car enfin vous ſçauez, qu’il n'eſt grands, ny petits,	Car enfin vous savez, qu’il n’est grands, ni petits,
Que de voſtre critique on ait veus garantis;	Que de votre critique on ait vus garantis;
Car vos plus grãds plaiſirs sõt, par tout où vous eſtes,	Car vos plus grands plaisirs sont, partout où vous êtes,
De faire cent éclats des intrigues ſecrettes....	De faire cent éclats des intrigues secrètes…
Fort bien: Eſt-il au Monde vne autre Ville auſſi,	Fort bien: Est-il au Monde une autre Ville, aussi,
Où l’on ait des Maris ſi patients qu’icy?	Où l’on ait des Maris si patients qu’ici?
Eſt-ce qu’on n’en voit pas de toutes les eſpeces.	Est-ce qu’on n’en voit pas de toutes les espèces,
Qui ſont accommodez chez eux de toutes pieces?	Qui sont accommodés chez eux de toutes pièces?
L’vn amaſſe du bien, dont ſa Femme fait part	L’un amasse du bien, dont sa Femme fait part
A ceux qui prennent ſoin de le faire Cornard.	À ceux qui prennent soin de le faire Cornard.
L’autre vn peu plus heureux, mais non pas moins infame,	L’autre un peu plus heureux, mais non pas moins infâme,
Voit faire tous les jours des presẽs à ſa Fẽme,	Voit faire tous les jours des présents à sa Femme,
Et d’aucun ſoin jaloux n'a l’eſprit combattu,	Et d’aucun soin jaloux n’a l’esprit combattu,
Parce qu’elle luy dit que c'eſt pour ſa vertu.	Parce qu’elle lui dit que c’est pour sa vertu.
L’vn fait beaucoup de bruit, qui ne luy ſert de gueres;	L’un fait beaucoup de bruit, qui ne lui sert de guères;
L'autre, en toute douceur, laiſſe aller les affaires,	L’autre, en toute douceur, laisse aller les affaires,
Et voyant arriuer chez luy le Damoiſeau,	Et voyant arriver chez lui le Damoiseau,
Prend fort honneſtement ſes gands, & ſon manteau.	Prend fort honnêtement ses gants, et son manteau.
L'vne de ſon Galant, en adroite Femelle,	L’une de son Galant, en adroite Femelle,
Fait fauſſe confidence à ſon Eſpoux fidelle,	Fait fausse confidence à son Époux fidèle,
Qui dort en ſeureté ſur vn pareil appas,	Qui dort en sureté sur un pareil appas,
Et le plaint, ce Galant, des ſoins qu il ne perd pas.	Et le plaint, ce Galant, des soins qu’il ne perd pas.
L'autre, pour ſe purger de ſa magnificence,	L’autre, pour se purger de sa magnificence,
Dit qu'elle gagne au jeu l'argent qu'elle depenſe;	Dit qu’elle gagne au jeu l’argent qu’elle dépense;
Et le Mary beneſt, ſans ſonger à quel jeu,	Et le Mari benêt, sans songer à quel jeu,
Sur les gains qu'elle fait, rend des graces à Dieu,	Sur les gains qu’elle fait, rend des grâces à Dieu.
Enfin ce ſont par tout des ſujets de Satyre,	Enfin ce sont partout des sujets de Satire,
Et comme Spectateur, ne puis-je pas en rire?	Et comme Spectateur, ne puis-je pas en rire?
Puis-je pas de nos Sots....	Puis-je pas de nos Sots…
Oüy: mais qui rit d’autruy,	Oui: mais qui rit d'autrui,
Doit craindre, qu’en reuanche, on rie auſſi de luy.	Doit craindre, qu’en revanche, on rie aussi de lui.
I'entens parler le monde, & des gens ſe délaſſent	J’entends parler le monde, et des gens se délassent
A venir debiter les choſes qui ſe paſſent:	À venir débiter les choses qui se passent:
Mais quoy que l’on diuulgue aux endroits ou ie ſuis,	Mais quoi que l’on divulgue aux endroits où je suis,
Iamais on ne m’a veu triompher de ces bruits;	Jamais on ne m’a vu triompher de ces bruits;
I’y ſuis aſſez modeſte; & bien qu’aux occurences	J’y suis assez modeste; et bien qu’aux occurrences
Ie puiſſe condamner certaines tolerances;	Je puisse condamner certaines tolérances;
Que mon deſſein ne ſoit de ſouffrir nullement,	Que mon dessein ne soit de souffrir nullement,
Ce que d'aucuns Maris ſouffrent paiſiblement,	Ce que d’aucuns Maris souffrent paisiblement,
Pourtant ie n’ay iamais affecté de le dire;	Pourtant je n’ai jamais affecté de le dire;
Car enfin il faut craindre vn reuers de Satyre,	Car enfin il faut craindre un revers de Satire,
Et l'on ne doit iamais jurer, ſur de tels cas,	Et l’on ne doit jamais jurer, sur de tels cas,
De ce qu’on pourra faire, ou bien ne faire pas.	De ce qu’on pourra faire, ou bien ne faire pas.
Ainſi quand à mon front, par vn ſort qui tout meine,	Ainsi quand à mon front, par un sort qui tout mène,
Il ſeroit arriué quelque diſgrace humaine;	Il serait arrivé quelque disgrâce humaine;
Apres mon procedé, ie ſuis preſque certain	Après mon procédé, je suis presque certain
Qu'on ſe contentera de s’en rire ſous-main;	Qu’on se contentera de s’en rire sous-main;
Et peut-eſtre qu’encor i’auray cet auautage,	Et peut-être qu’encor j’aurai cet avantage,
Que quelques bonnes gens diront, que c’eſt dõmage!	Que quelques bonnes gens diront, que c’est dommage!
Mais de vous, cher Compere, il en eſt autrement;	Mais de vous, cher Compère, il en est autrement;
Ie vous le dis encor, vous riſquez diablement.	Je vous le dis encor, vous risquez diablement.
Comme ſur les Maris accuſez de ſouffrance,	Comme sur les Maris accusés de souffrance,
De tout temps voſtre langue a daubé d’importance,	De tout temps votre langue a daubé d’importance,
Qu’on vous a veu contr’eux vn Diable déchainé;	Qu’on vous a vu contre eux un Diable déchaîné;
Vous deuez marcher droit, pour n’eſtre point berné;	Vous devez marcher droit, pour n’être point berné;
Et s’il faut que ſur vous on ait la moindre priſe,	Et s’il faut que sur vous on ait la moindre prise,
Gare qu’aux Carrefours on ne vous tympaniſe,	Gare qu’aux Carrefours on ne vous tympanise,
Et....	Et…
Mon Dieu, noſtre Amy,ne vous tourmẽtez point;	Mon Dieu, notre Ami, ne vous tourmentez point;
Bien hupé qui pourra m’attraper ſur ce poinct.	Bien huppé qui pourra m’attraper sur ce point.
Ie ſçay les tours ruſez, & les ſubtiles trames,	Je sais les tours rusés, et les subtiles trames,
Dont, pour nous en plãter, ſçauent vſer les Femmes,	Dont, pour nous en planter, savent user les Femmes,
Et comme on eſt dupé par leurs dexteritez;	Et comme on est dupé par leurs dextérités;
Contre cet accident i'ay pris mes ſeuretez,	Contre cet accident j’ai pris mes sûretés,
Et celle que i'épouſe, a toute l’innocence	Et celle que j’épouse, a toute l’innocence
Qui peut ſauuer mon front de maligne influence.	Qui peut sauver mon front de maligne influence.
Et que pretendez-vous qu’vne Sotte en vn mot...	Et que prétendez-vous qu’une Sotte en un mot…
Epouſer vne Sotte, eſt pour n’eſtre point Sot:	Épouser une Sotte, est pour n’être point Sot:
