PAr grace & priuilege du Roy, donné   à Paris le dernier iour de Septembre   1668.	PAr grâce et privilège du Roi, donné à Paris le dernier jour de Septembre 1668.
ſigné par le Roy en ſon Conſeil GVITONNEAV.	signé par le Roi en son Conseil GUITONNEAU.
Il eſt permis au Sieur de MOLIERE de faire imprimer, vendre & debiter   vne Comedie par luy composée intitulée George Dandin, ou le mary confondu, pendant   ſept années, & defenſes ſont faites à tous   autres de l’imprimer, ny d’autre édition   que celle de l’Expoſant, ou de ceux qui   auront droit de luy, à peine de trois mille   liures d’amende, confiſcation des exemplaires contrefaits, & de tous dépens,   dommages, & intereſts, comme il eſt plus   amplement porté par leſdites lettres.	Il est permis au Sieur de MOLIÈRE de faire imprimer, vendre et débiter une Comédie par lui composée intitulée George Dandin, ou le mari confondu, pendant sept années, et défenses sont faites à tous autres de l’imprimer, ni d’autre édition que celle de l’Exposant, ou de ceux qui auront droit de lui, à peine de trois mille livres d’amende, confiscation des exemplaires contrefaits, et de tous dépens, dommages, et intérêts, comme il est plus amplement porté par lesdites lettres.
Ledit Sieur de MOLIERE a cedé ſon droit   de Priuilege à IEAN RIBOV Marchand   Libraire à Paris, ſuiuant l’accord fait entre eux.	Ledit Sieur de MOLIÈRE a cédé son droit de Privilège à JEAN RIBOU Marchand Libraire à Paris, suivant l’accord fait entre eux.
AH!	AH!
qu’vne femme Demoiſelle eſt vne étrange affaire, & que mon mariage eſt vne leçon bien parlante à tous les Payſans qui veulent s’éleuer au deſſus de leur condition, & s’allier cõme i’ay fait à la maisõ d’vn Gentilhomme.	qu’une femme Demoiselle est une étrange affaire, et que mon mariage est une leçon bien parlante à tous les Paysans qui veulent s’élever au-dessus de leur condition, et s’allier comme j’ai fait à la maison d’un Gentilhomme.
La nobleſſe de foy eſt bõne:	La noblesse de foi est bonne:
c’eſt vne choſe conſiderable aſſurement, mais elle eſt acõpagnée de tant de mauuaiſes circonſtances, qu’il eſt tres-bon de ne s'y point froter.	c’est une chose considérable assurément, mais elle est accompagnée de tant de mauvaises circonstances, qu’il est très bon de ne s’y point frotter.
Ie ſuis deuenu là-deſſus ſçauant à mes dépens, & connois le ſtyle des Nobles lors qu’ils nous font nous autres entrer dans leur famille.	Je suis devenu là-dessus savant à mes dépens, et connais le style des Nobles lorsqu’ils nous font nous autres entrer dans leur famille.
L’alliance qu’ils font eſt petite auec nos perſonnes.	L’alliance qu’ils font est petite avec nos personnes.
C’eſt noſtre bien ſeul qu’ils épouſent, & i’aurois bien mieux fait, tout riche que ie ſuis, de m’allier en bonne &  franche payſanerie, que de prẽdre vne femme qui ſe tient au deſſus de moy, s’offence de porter mon nom, & penſe qu’auec tout mon bien ie n’ay pas aſſez acheté la qualité de sõ mary.	C’est notre bien seul qu’ils épousent, et j’aurais bien mieux fait, tout riche que je suis, de m’allier en bonne et franche paysannerie, que de prendre une femme qui se tient au dessus de moi, s’offense de porter mon nom, et pense qu’avec tout mon bien je n’ai pas assez acheté la qualité de son mari.
George Dandin, George Dandin, vous auez fait vne ſotiſe la plus grande du monde.	George Dandin, George Dandin, vous avez fait une sottise la plus grande du monde.
Ma maiſon m’eſt effroyable maintenant, & ie n’y rentre point ſans y trouuer quelque chagrin.	Ma maison m’est effroyable maintenant, et je n’y rentre point sans y trouver quelque chagrin.
Voyant ſortir Lubin de cheZ luy.	Voyant sortir Lubin de chez lui.
QVe diantre ce drôle-là vient-il faire chez moi.	QUe diantre ce drôle-là vient-il faire chez moi.
Voila vn homme qui me regarde.	Voilà un homme qui me regarde.
Il ne me connoiſt pas.	Il ne me connaît pas.
Il ſe doute de quelque choſe.	Il se doute de quelque chose.
Oüais!	Ouais!
il a grand’ peine à ſalüer.	il a grand’ peine à saluer.
I’ay peur qu’il n’aille dire qu’il m’a veu ſortir de là dedans.	J’ai peur qu’il n’aille dire qu’il m’a vu sortir de là dedans.
Bonjour.	Bonjour.
Seruiteur.	Serviteur.
Vous n'eſtes pas d’icy que ie croy.	Vous n’êtes pas d’ici que je crois.
Non, ie n’y ſuis venu que pour voir la Feſte de demain.	Non, je n’y suis venu que pour voir la Fête de demain.
Hé dites-moy vn peu, s’il vous plaiſt, vous venez de là dedans.	Hé dites-moi un peu, s’il vous plaît, vous venez de là-dedans.
Chut.	Chut.
Comment.	Comment.
Paix.	Paix.
Quoy donc?	Quoi donc?
Motus, il ne faut pas dire que vous m’ayez veu ſortir de là.	Motus, il ne faut pas dire que vous m’ayez vu sortir de là.
Pourquoy?	Pourquoi?
Mon Dieu parce.	Mon Dieu parce.
Mais encor?	Mais encor?
Doucement.	Doucement.
I’ay peur qu’on ne nous écoute.	J’ai peur qu’on ne nous écoute.
Point, point.	Point, point.
C’eſt que ie viens de parler à la Maiſtreſſe du logis de la part d’vn certain Monſieur qui luy fait les doux yeux, & il ne faut pas qu’on ſçache cela.	C’est que je viens de parler à la Maîtresse du logis de la part d’un certain Monsieur qui lui fait les doux yeux, et il ne faut pas qu’on sache cela.
Entendez-vous?	Entendez-vous?
Oüy.	Oui.
Voila la raiſon.	Voilà la raison.
On m’a enchargé de prendre garde que perſonne ne me viſt, & ie vous prie au moins de ne pas dire que vous m’ayez veu.	On m’a enchargé de prendre garde que personne ne me vît, et je vous prie au moins de ne pas dire que vous m’ayez vu.
Ie n’ay garde.	Je n’ai garde.
Ie ſuis bien aiſe de faire les choſes ſecretement comme on m’a recommandé.	Je suis bien aise de faire les choses secrètement comme on m’a recommandé.
C’eſt bien fait.	C’est bien fait.
Le mary, à ce qu’ils diſent, eſt vn ialoux qui ne veut pas qu’on faſſe l’amour à ſa femme, & il feroit le diable à quatre ſi cela venoit à ſes oreilles.	Le mari, à ce qu’ils disent, est un jaloux qui ne veut pas qu’on fasse l’amour à sa femme, et il ferait le diable à quatre si cela venait à ses oreilles.
Vous comprenez bien.	Vous comprenez bien.
Fort bien.	Fort bien.
Il ne faut pas qu’il ſçache rien de tout cecy.	Il ne faut pas qu’il sache rien de tout ceci.
Sans doute.	Sans doute.
On le veut tromper tout doucement.	On le veut tromper tout doucement.
Vous entendez bien.	Vous entendez bien.
Le mieux du monde.	Le mieux du monde.
Si vous alliez dire que vous m’auez veu ſortir de chez luy, vous gaſteriez toute l’affaire.	Si vous alliez dire que vous m’avez vu sortir de chez lui, vous gâteriez toute l’affaire.
Vous comprenez bien.	Vous comprenez bien.
Aſſurement.	Assurément.
Hé comment nommez vous celuy qui vous a enuoyé là dedans.	Hé comment nommez-vous celui qui vous a envoyé là-dedans.
C’eſt le Seigneur de noſtre pays, Monſieur le Vicomte de choſe...	C’est le Seigneur de notre pays, Monsieur le Vicomte de chose…
foin ie ne me ſouuiens iamais comment diantre ils baragouynent ce nom là, Monſieur Cli...Clitande.	foin je ne me souviens jamais comment diantre ils baragouinent ce nom là, Monsieur Cli…Clitande.
Eſt-ce ce ieune Courtiſan qui demeure...	Est-ce ce jeune Courtisan qui demeure…
Oüy.	Oui.
Auprés de ces arbres.	Auprès de ces arbres.
à part.	à part.
C’eſt pour cela que depuis peu ce Damoiſeau poly s’eſt venu loger contre moy, i’auois bon nez ſans doute, & ſon voiſinage déja m'auoit donné quelque ſoupçon.	C’est pour cela que depuis peu ce Damoiseau poli s’est venu loger contre moi, j’avais bon nez sans doute, et son voisinage déjà m’avait donné quelque soupçon.
Teſtigué, c’eſt le plus honneſte homme que vous ayez iamais veu.	Testigué, c’est le plus honnête homme que vous ayez jamais vu.
Il m’a donné trois pieces d’or pour aller dire ſeulement à la femme qu’il eſt amoureux d’elle, & qu’il ſouhaite fort l’honneur de pouvoir luy parler.	Il m’a donné trois pièces d’or pour aller dire seulement à la femme qu’il est amoureux d’elle, et qu’il souhaite fort l’honneur de pouvoir lui parler.
Voyez s'il y a là vne grande fatigue pour me payer ſi bien, & ce qu’eſt au prix de cela vne iournée de trauail où ie ne gagne que dix ſols.	Voyez s’il y a là une grande fatigue pour me payer si bien, et ce qu’est au prix de cela une journée de travail où je ne gagne que dix sols.
Hé bien auez-vous fait voſtre meſſage.	Hé bien avez-vous fait votre message.
Oüy, i’ay trouué là dedans vne certaine Claudine, qui tout du premier coup a compris ce que ie voulois, & qui m'a fait parler à ſa Maiſtreſſe.	Oui, j’ai trouvé là-dedans une certaine Claudine, qui tout du premier coup a compris ce que je voulais, et qui m’a fait parler à sa Maîtresse.
à part. Ah coquine de ſeruante.	à part. Ah coquine de servante.
Morguéne cette Claudine là eſt tout à fait iolie, elle a gagné mon amitié, & il ne tiendra qu’à elle que nous ne ſoyõs mariez enſemble.	Morguène cette Claudine-là est tout à fait jolie, elle a gagné mon amitié, et il ne tiendra qu’à elle que nous ne soyons mariés ensemble.
Mais quelle réponſe a fait la Maiſtreſſe à ce Monsieur le Courtiſan.	Mais quelle réponse a fait la Maîtresse à ce Monsieur le Courtisan.
Elle m’a dit de luy dire...attendez, ie ne ſçay ſi ie me ſouviendrez bien de tout cela.	Elle m’a dit de lui dire… attendez, je ne sais si je me souviendrez bien de tout cela.
Qu’elle luy eſt tout à fait obligée de l’affection qu’il a pour elle, & qu’à cauſe de ſon mary qui eſt fantaſque, il garde d’en rien faire paroiſtre, &  qu’il faudra ſonger à chercher quelque invention pour ſe pouuoir entretenir tous deux.	Qu’elle lui est tout à fait obligée de l’affection qu’il a pour elle, et qu’à cause de son mari qui est fantasque, il garde d’en rien faire paraître, et qu’il faudra songer à chercher quelque invention pour se pouvoir entretenir tous deux.
à part.	à part.
Ah!	Ah!
pendarde de femme.	pendarde de femme.
Teſtiguiene cela ſera drôle, car le mary ne ſe doutera point de la manigance, voila ce qui eſt de bon.	Testiguiène cela sera drôle, car le mari ne se doutera point de la manigance, voilà ce qui est de bon.
Et il aura vn pied de nez auec ſa ialouſie.	Et il aura un pied de nez avec sa jalousie.
Eſt ce pas?	Est-ce pas?
Cela eſt vray.	Cela est vrai.
Adieu.	Adieu.
Bouche couſuë au moins.	Bouche cousue au moins.
Gardez bien le ſecret, afin que le mary ne le ſçache pas.	Gardez bien le secret, afin que le mari ne le sache pas.
Oüy, oüy.	Oui, oui.
Pour moy ie vais faire ſemblant de rien, ie ſuis vn fin matois, & l’on ne diroit pas que i'y touche.	Pour moi je vais faire semblant de rien, je suis un fin matois, et l’on ne dirait pas que j’y touche.
HE bien, George Dandin, vous voyez de quel air voſtre femme vous traitte.	HÉ bien, George Dandin, vous voyez de quel air votre femme vous traite.
Voila ce que c’eſt d’auoir voulu épouſer vne Demoiſelle, l’on vous accommode de toutes pièces, ſans que vous puiſſiez vous vanger, & la Gentilhommerie vous tient les bras liez.	Voilà ce que c’est d’avoir voulu épouser une Demoiselle, l’on vous accommode de toutes pièces, sans que vous puissiez vous venger, et la Gentilhommerie vous tient les bras liés.
L’égalité de condition laiſſe du moins à l’honneur d’vn mary liberté de reſſentiment, & ſi c’eſtoit vne Païſanne, vous auriez maintenant toutes vos coudées franches à vous en faire la iuſtice à bons coups de baſton.	L’égalité de condition laisse du moins à l’honneur d’un mari liberté de ressentiment, et si c’était une Paysanne, vous auriez maintenant toutes vos coudées franches à vous en faire la justice à bons coups de bâton.
Mais vous auez voulu taſter de la Nobleſſe, & il vous ennuyoit d’eſtre maiſtre chez vous.	Mais vous avez voulu tâter de la Noblesse, et il vous ennuyait d’être maître chez vous.
Ah!	Ah!
i'enrage de tout mon coeur, & ie me donnerois volontiers des ſoufflets.	j’enrage de tout mon cœur, et je me donnerais volontiers des soufflets.
Quoy écouter impudemment l’amour d’vn Damoiſeau, & y promettre en meſme temps de la correspondance!	Quoi écouter impudemment l’amour d’un Damoiseau, et y promettre en même temps de la correspondance!
Morbleu ie ne veux point laiſſer paſſer vne occaſion de la ſorte.	Morbleu je ne veux point laisser passer une occasion de la sorte.
Il me faut de ce pas aller faire mes plaintes au pere &  à la mere, & les rendre témoins à telle fin que de raiſon, des ſujets de chagrin & de reſſentiment que leur fille me donne.	Il me faut de ce pas aller faire mes plaintes au père et à la mère, et les rendre témoins à telle fin que de raison, des sujets de chagrin et de ressentiment que leur fille me donne.
Mais les voicy l'vn & l’autre fort à propos.	Mais les voici l’un et l’autre fort à propos.
QV'eſt ce, mon gendre?	QU’est-ce, mon gendre?
vous me paroiſſez tout troublé.	vous me paraissez tout troublé.
Auſſi en ay-ie du ſuiet, &....	Aussi en ai-je du sujet, et…
Mon Dieu, noſtre gendre, que vous auez peu de ciuilité de ne pas ſalüer les gens quand vous les approchez.	Mon Dieu, notre gendre, que vous avez peu de civilité de ne pas saluer les gens quand vous les approchez.
Ma foy, ma belle-mere, c’eſt que i’ay d’autres choſes en teſte, & ..	Ma foi, ma belle-mère, c’est que j’ai d’autres choses en tête, et…
Encor!	Encor!
eſt il poſſible, noſtre gendre, que vous ſçachiez ſi peu voſtre monde, & qu’il n’y ait pas moyen de vous inſtruire de la maniere qu'il faut viure parmy les perſonnes de qualité.	est-il possible, notre gendre, que vous sachiez si peu votre monde, et qu’il n’y ait pas moyen de vous instruire de la manière qu’il faut vivre parmi les personnes de qualité.
Comment.	Comment.
Ne vous déferez-vous iamais auec moy de la familiarité de ce mot de ma belle mere, & ne ſçauriez-vous vous accouſtumer à me dire Madame.	Ne vous déferez-vous jamais avec moi de la familiarité de ce mot de ma belle-mère, et ne sauriez-vous vous accoutumer à me dire Madame.
Parbleu, ſi vous m'appellez voſtre gendre, il me ſemble que ie puis vous appeller ma belle-mere.	Parbleu, si vous m’appelez votre gendre, il me semble que je puis vous appeler ma belle-mère.
Il y a fort à dire, & les choſes ne ſont pas égales.	Il y a fort à dire, et les choses ne sont pas égales.
Apprenez, s'il vous plaiſt, que ce n’eſt pas à vous à vous ſeruir de ce mot là auec vne perſonne de ma condition;	Apprenez, s’il vous plaît, que ce n’est pas à vous à vous servir de ce mot là avec une personne de ma condition;
