NOn, ce n’eſt point un choix, qui pour ces deux Amans,	Non, ce n'est point un choix, qui pour ces deux Amants,
Sceut régler de mon cœur les ſecrets ſentimens;	Sut régler de mon cœur les secrets sentiments;
Et le Prince n’a point dans tout ce qu’il peut étre:	Et le Prince n'a point dans tout ce qu'il peut être:
Ce qui fit preferer l’amour qu'il fait paroître.	Ce qui fit préférer l'amour qu'il fait paraître.
D. Sylve comme lui fit briller à mes yeux	D. Sylve comme lui, fit briller à mes yeux
Toutes les qualitez d’un Heros glorieux;	Toutes les qualités d'un Héros glorieux;
Même éclat de vertus, joint à même naiſſance,	Même éclat de vertus, joint à même naissance,
Me parloit en tous deux pour cette preference;	Me parlait en tous deux pour cette préférence;
Et je ſerois encor à nommer le vainqueur,	Et je serais encore à nommer le vainqueur,
Si le merite ſeul prenoit droit ſur un cœur.	Si le mérite seul prenait droit sur un cœur.
Mais ces chaînes du Ciel, qui tombent ſur nos ames,	Mais ces chaînes du Ciel qui tombent sur nos âmes,
Deciderent en moi le deſtin de leurs flâmes;	Décidèrent en moi le destin de leurs flammes;
Et toute mon eſtime égale entre les deux,	Et toute mon estime, égale entre les deux,
Laiſſa vers D. Garcie entraîner tous mes voeux.	Laissa vers D. Garcie entraîner tous mes vœux.
Cet amour que pour lui vôtre aſtre vous inſpire,	Cet amour que pour lui votre astre vous inspire,
N’a ſur vos actions pris que bien peu d’empire;	N'a sur vos actions pris que bien peu d'empire;
Puiſque nos yeux. Madame, ont pû long-tems douter	Puisque nos yeux, Madame, ont pu longtemps douter
Qui de ces deux Amans vous vouliez mieux traiter.	Qui de ces deux Amants vous vouliez mieux traiter.
De ces nobles Rivaux l’amoureuſe pourſuite,	De ces nobles Rivaux l'amoureuse poursuite,
A de fâcheux combats, Eliſe, m’a reduite.	À de fâcheux combats, Élise, m'a réduite.
Quand je regardois l’un, rien ne me reprochoit	Quand je regardais l'un, rien ne me reprochait
Le tendre mouvement où mon ame panchoit;	Le tendre mouvement où mon âme penchait;
Mais je me l’imputois à beaucoup d’injuſtice,	Mais je me l'imputais à beaucoup d'injustice,
Quand de l’autre à mes yeux s’offroit le ſacrifice.	Quand de l'autre à mes yeux s'offrait le sacrifice.
Et Dom Silve, aprés tout, dans les ſoins amoureux	Et Dom Sylve, après tout, dans ses soins amoureux
Me ſembloit meriter un deſtin plus heureux.	Me semblait mériter un destin plus heureux.
Je m'oppoſois encor, ce qu’au ſang de Caſtille,	Je m'opposais encore ce qu'au sang de Castille
Du feu Roi de Leon, ſemble devoir la Fille;	Du feu Roi de Léon semble devoir la Fille;
Et la longue amité, qui d’un étroit lien	Et la longue amitié qui d'un étroit lien
Joignit les interéts, de ſon Pere & du mien.	Joignit les intérêts de son père et du mien.
Ainſi plus dans mon ame un autre prenoit place.	Ainsi plus dans mon âme un autre prenait place.
Plus de tous ſes reſpects je plaignois la diſgrace:	Plus de tous ses respects je plaignais la disgrâce:
Ma pitié complaiſante à ſes brulans ſoupirs,	Ma pitié complaisante à ses brûlants soupirs,
D’un dehors favorable amuſoit ſes deſirs;	D'un dehors favorable amusait ses désirs;
Et vouloit reparer par ce foible avantage,	Et voulait réparer, par ce faible avantage,
Ce qu’au fond de mon cœur je lui faiſois d’outrage.	Ce qu'au fond de mon cœur je lui faisais d'outrage.
Mais ſon premier amour que vous avez appris,	Mais son premier amour, que vous avez appris,
Doit de cette contrainte affranchir vos eſprits.	Doit de cette contrainte affranchir vos esprits.
Et puis qu’avant ſes ſoins, où pour vous il s’engage,	Et puisqu'avant ses soins, où pour vous il s'engage,
Done Ignés de ſon cœur avoir receu l’hommage;	Done Ignès de son cœur avait reçu l'hommage;
Et que par des liens auſſi fermes que doux	Et que par des liens aussi fermes que doux
L’amitié vous unit cette Comteſſe & vous.	L'amitié vous unit, cette Comtesse et vous.
Son ſecret revelé vous eſt une matiere	Son secret révélé vous est une matière
A donner à vos vœux liberté toute entière;	À donner à vos vœux liberté toute entière;
Et vous pouvez ſans crainte à cet Amant confus	Et vous pouvez sans crainte à cet Amant confus
