A MONSEIGNEUR Mᵍⁿᵉᵘʳ. 	À MONSEIGNEUR MONSEIGNEUR. 
COLBERT, CHEVALIER, BARON DE SEIGNELAY, CONSEILLER ORDINAIRE DU ROY, MINISTRE D'ESTAT, SURINTENDANT DES MAISONS ROYALES, INTENDANT GENERAL DES FINANCES, ET DU COMMERCE DE FRANCE, &c. 	COLBERT, CHEVALIER, BARON DE SEIGNELAY, CONSEILLER ORDINAIRE DU ROI, MINISTRE D'ÉTAT, SURINTENDANT DES MAISONS ROYALES, INTENDANT GÉNÉRAL DES FINANCES, ET DU COMMERCE DE FRANCE, etc. 
M ONSEIGNEUR, Puis-que vous faites les proſperités de ce Siecle, & que toutes vos occupations ſont un Bien Public, il eſt juſte que tout le monde les reſſente, & que toutes les Mers, voire les plus éloignées s’en rejoüiſſent auſſi bien que les campagnes de l’Univers. 	MONSEIGNEUR, Puisque vous faites les prospérités de ce Siècle, et que toutes vos occupations sont un Bien Public, il est juste que tout le monde les ressente, et que toutes les Mers, voire les plus éloignées s'en réjouissent aussi bien que les campagnes de l'Univers. 
J’en amene une de celles-là à vos pieds dans cét Ouvrage, pour vous témoigner la joye qu’elle a de vos genereuſes Entrepriſes. 	J'en amène une de celles-là à vos pieds dans cet Ouvrage, pour vous témoigner la joie qu'elle a de vos généreuses Entreprises. 
Elle n’a jamais deu à aucun Miniſtre d’Eſtat ce qu'elle vous doit, & n’a jamais eſperé tant de Richeſſes, ni tant de Gloire, que ſous voſtre conduite. 	Elle n'a jamais dû à aucun Ministre d'État ce qu'elle vous doit, et n'a jamais espéré tant de Richesses, ni tant de Gloire, que sous votre conduite. 
On reprocha autres-fois à la France, le peu de ſoin qu’elle apportoit aux Equipages des Armées navalles, à la commodité & ſeureté de ſes Havres, aux Navigations de long cours, & à l’avancement du Commerce. 	On reprocha autrefois à la France, le peu de soin qu'elle apportait aux Équipages des Armées navales, à la commodité et sûreté de ses Havres, aux Navigations de long cours, et à l'avancement du Commerce. 
C’eſt avec l’admiration de toute l’Europe, qu’elle ſe trouve aujourd’huy ſignalée par vos travaux, qu’elle ſe voit pourveuë de bons Vaiſſeaux, qu’elle a des Ports aſſurés, & qu’elle a des Magazins auſſi utiles aux Affaires du Negoce qu’aux appareils de la Guerre. 	C'est avec l'admiration de toute l'Europe, qu'elle se trouve aujourd'hui signalée par vos travaux, qu'elle se voit pourvue de bons Vaisseaux, qu'elle a des Ports assurés, et qu'elle a des Magasins aussi utiles aux Affaires du Négoce qu'aux appareils de la Guerre. 
Ce changement, MONSEIGNEUR, nous marque que voſtre Cœur eſt un des meilleurs que l’étude de la Sageſſe ait jamais formés:	Ce changement, MONSEIGNEUR, nous marque que votre Cœur est un des meilleurs que l'étude de la Sagesse ait jamais formés:
que vous avez un Eſprit également grand & adroit, fort & delicat, ſolide & ſubtil, penetrant & impenetrable;	que vous avez un Esprit également grand et adroit, fort et délicat, solide et subtil, pénétrant et impénétrable;
& qu’enfin il n’eſt point d’ardeur plus noble, plus vive, & plus agiſſante, que celle que vous conſervez pour le Salut de la Patrie, & le ſervice de Voſtre Souverain. 	et qu'enfin il n'est point d'ardeur plus noble, plus vive, et plus agissante, que celle que vous conservez pour le Salut de la Patrie, et le service de Votre Souverain. 
Mais de plus, MONGEIGNEUR, ce changement eſt un effét de la Providence Divine, qui s’intereſſant dans vos Deſſeins, fait voir en nos jours des merveilles accomplies, que les Bons François ont ſouhaité ſi long-temps, mais qu’ils n’ont jamais oſé eſperer, & auſquelles les plus Vaillans Hommes de Mer n’ont pû arriver depuis deux Siecles, qu’ils ont employé les forces de leur induſtrie, & fait joüer tous les reſſorts de leur puiſſance, pour ſe faire reconnêtre les Arbitres du Trafic, & les Monarques de l’Ocean. 	Mais de plus, MONGEIGNEUR, ce changement est un effet de la Providence Divine, qui s'intéressant dans vos Desseins, fait voir en nos jours des merveilles accomplies, que les Bons Français ont souhaité si longtemps, mais qu'ils n'ont jamais osé espérer, et auxquelles les plus Vaillants Hommes de Mer n'ont pu arriver depuis deux Siècles, qu'ils ont employé les forces de leur industrie, et fait jouer tous les ressorts de leur puissance, pour se faire reconnaître les Arbitres du Trafic, et les Monarques de l'Océan. 
Sans doute, MONSEIGNEUR, c’eſt ce concert & ce temperament merveilleux, à qui la France doit attribuer les actions de graces, que SA MAJESTE' a receuës de toute la Cour & méme des Provinces les plus éloignées, ſur le ſujet de voſtre Promotion. 	Sans doute, MONSEIGNEUR, c'est ce concert et ce tempérament merveilleux, à qui la France doit attribuer les actions de grâces, que SA MAJESTÉ a reçues de toute la Cour et même des Provinces les plus éloignées, sur le sujet de votre Promotion. 
Il ſembloit que vous fuſſiez de toutes les Familles indifferemment. 	Il semblait que vous fussiez de toutes les Familles indifféremment. 
Il n’y avoit point d’honneſte perſonne, qui ne regardât voſtre Elevation, comme une Felicité domeſtique, & je puis aſſurer, ſans m'avancer trop, que le Roy par une action ſi favorablement receuë, ne fera pas moins de progrés dans les cœurs de ſes bons Sujets , que ſes Armes triomphantes en ont fait ces dernieres Guerres ſur ſes Ennemis. 	Il n'y avait point d'honnête personne, qui ne regardât votre Élévation, comme une Félicité domestique, et je puis assurer, sans m'avancer trop, que le Roi par une action si favorablement reçue, ne fera pas moins de progrès dans les cœurs de ses bons Sujets, que ses Armes triomphantes en ont fait ces dernières Guerres sur ses Ennemis. 
Et à vray dire, MONSEIGNEUR, le Commerce que vous pouſſez tous les jours avec tant de zele, ſuivant l’obligation de voſtre Charge, ne ſert-il pas de clef pour ouvrir la porte à des Threſors infinis ?	Et à vrai dire, MONSEIGNEUR, le Commerce que vous poussez tous les jours avec tant de zèle, suivant l'obligation de votre Charge, ne sert-il pas de clef pour ouvrir la porte à des Trésors infinis?
ne ſert-il pas d’appas pour attirer les eſprits les plus intraittables, & pour reveiller les cœurs les plus abbatus?	ne sert-il pas d'appas pour attirer les esprits les plus intraitables, et pour réveiller les cœurs les plus abattus?
