TABLEAU DE L'HISTOIRE DES PRINCES ET PRINCIPAVTÉ D'ORANGE. 	TABLEAU DE L'HISTOIRE DES PRINCES ET PRINCIPAUTÉ D'ORANGE.
Diviſé en quatre Parties Selon les quatre Races qui y ont regné Souverainement depuis l'an 793. 	Divisé en quatre Parties Selon les quatre Races qui y ont régné Souverainement depuis l'an 793.
COMMENÇANT A GVILLAVME AV CORNET Premier Prince d'Orange. 	COMMENÇANT À GUILLAUME AU CORNET Premier Prince d'Orange.
JUSQUES A FREDERICH HENRY DE NASSAV à preſent Regnant. 	JUSQUES À FREDERICH HENRY DE NASSAU à présent Regnant.
Illustré de ſes Genealogies & enrichi de pluſieurs belles Antiquités avec leurs Tailles douces. 	Illustré de ses Généalogies et enrichi de plusieurs belles Antiquités avec leurs Tailles douces.
Par joseph de la Rise A LA HAYE. 	Par joseph de la Rise A LA HAYE.
De l'Imprimerie de THEODORE MAIRE. 	De l'Imprimerie de THÉODORE MAIRE.
M. 	M.
DC. 	DC.
XXXIX. 	XXXIX.
Avec Privilege de Meſſieurs les Estats Generaux des Provinces Vnies, Pour dix Ans. 	Avec Privilège de Messieurs les États Généraux des Provinces Unies, Pour dix Ans.
AU SERENNISSIME, TRES-PVISSANT E T TRES-VICTORIEVX PRINCE FREDERICH-HENRY Par la grace de Dieu PRINCE D’ORANGE , Comte de Naſſau, Catzenelleboghen, Vianden, Dietz, Lingen, Mœurs, Tonnerre, Pont-Yevre, Charny, Bueren, Leerdam, &c. 	AU SÉRENNISSIME, TRÈS-PUISSANT E T TRÈS-VICTORIEUX PRINCE FREDERICH-HENRY Par la grâce de Dieu PRINCE D'ORANGE, Comte de Nassau, Katzenelnbogen, Vianden, Dietz, Lingen, Mœurs, Tonnerre, Pont-Yèvre, Charny, Bueren, Leerdam, etc.
Marquis de la Vere & de Fleſſingues. 	Marquis de la Vere et de Flessingues.
