POVRQVOY tant balancer, quand pour vous tout conſpire?	POURQUOI tant balancer, quand pour vous tout conspire?
Vous devez vous ſaiſir des reſnes de l’Empire,	Vous devez vous saisir des rênes de l’Empire,
Babylone eſt pour vous; Aléxandre en mourant,	Babylone est pour vous; Alexandre en mourant,
Vous a donné du Trône un illuſtre Garant,	Vous a donné du trône un illustre Garant,
Seigneur, & ſur vous ſeul remetant ſa Couronne,	Seigneur, et sur vous seul remettant sa Couronne,
C’eſt avec ſon Anneau l'Univers qu’il vous donne.	C’est avec son anneau l’Univers qu’il vous donne.
Ce jour doit décider de tant de diférens,	Ce jour doit décider de tant de différends,
La Terre veut un Maiſtre, & non pas des Tyrans.	La Terre veut un maître, et non pas des tyrans.
Le fier Leonatus, Cratere, & Ptolomée,	Le fier Léonatus, Cratère, Ptolomée,
Ont mis dans leur party la moitié de l'Armée,	Ont mis dans leur parti la moitié de l’Armée,
On veut nous aſſieger, mais on voit Seleucus,	On veut nous assiéger, mais on voit Seleucus,
Eumenes, Alcetas, Python, Antigonus,	Eumenes, Alcetas, Python, Antigonus,
Qui ſoûtenant le droit où voſtre eſpoir ſe fonde,	Qui soutenant le droit où votre espoir se fonde,
Veulent vous élever à l'Empire du Monde;	Veulent vous élever à l’Empire du Monde;
L’imbécille Philipe eſt-il né pour régner?	L’imbécile Philipe est-il né pour régner?
Les Macédoniens ont ſçeu le dédaigner.	Les Macédoniens ont su le dédaigner.
Bien que Fils de Philipe & Frere d'Aléxandre,	Bien que fils de Philipe et Frère d’Alexandre,
Eſt-il digne du ſang dont on l’a veu deſcendre?	Est-il digne du sang dont on l’a vu descendre?
Peut-il ſeul commander à cent Peuples vaincus,	Peut-il seul commander à cent Peuples vaincus,
Et Frere d'Aléxandre en a t-il les vertus?	Et Frère d’Alexandre en a-t-il les vertus?
Ce n’eſt point luy qu’au Trône Aléxandre déſigne,	Ce n’est point lui qu’au trône Alexandre désigne,
Ce Monarque en mourant le remet au plus digne,	Ce Monarque en mourant le remet au plus digne,
Par là ſans vous nommer il vous nomme en effet,	Par là sans vous nommer il vous nomme en effet,
Et ſcelle de ſa main le don qu'il vous en fait.	Et scelle de sa main le don qu’il vous en fait.
Je ſçais trop d’Aléxandre honorer la mémoire,	Je sais trop d’Alexandre honorer la mémoire,
Seigneur, pour me flater de tant de vaine gloire;	Seigneur, pour me flatter de tant de vaine gloire;
Il eſt vray que ſon choix ſemble tomber ſur moy,	Il est vrai que son choix semble tomber sur moi,
Mais apres ce Héros peut-on élire un Roy?	Mais après ce Héros peut-on élire un Roi?
Quand la Terre a perdu ſon Vainqueur & ſon Maître,	Quand la Terre a perdu son vainqueur et son Naître,
Eſt-il un Sueceſſeur qu'elle puiſſe connoître?	Est-il un Successeur qu’elle puisse connaître?
Le préſent qu'il m’a fait n'a point dû m'ébloüir,	Le présent qu’il m’a fait n’a point dû m’éblouir,
Il peut eſtre fatal à qui veut en joüir;	Il peut être fatal à qui veut en jouir;
Quand de la Macédoine Alexandre eut l’élite,	Quand de la Macédoine Alexandre eut l’élite,
Il avoit moins de Chefs que de Roys à ſa ſuite,	Il avait moins de Chefs que de Rois à sa suite,
Et ce Héros vainqueur des Medes, des Perſans,	Et ce Héros vainqueur des Mèdes, des Persans,
Ne nommoit plus de Roys que par ſes Lieutenans.	Ne nommait plus de Rois que par ses Lieutenants.
Je n’ay donc point voulu me parer d’un vain Titre,	Je n’ai donc point voulu me parer d’un vain Titre,
De tous ſes Succeſſeurs je veux eſtre l’Arbitre,	De tous ses successeurs je veux être l’Arbitre,
J’en ay fait nommer un pour le faire haïr,	J’en ai fait nommer un pour le faire haïr,
Et n’ay choiſy qu’un Roy qui me ſçeut obeïr.	Et n’ai choisis qu’un Roi qui me sut obéir.
Ce n’eſt donc point ce nom ou mon cœur doit prétendre,	Ce n’est donc point ce nom où mon cœur doit prétendre,
Seigneur, nous adorons les Veuves d’Aléxandre,	Seigneur, nous adorons les Veuves d’Alexandre,
Pourquoy le taire encor? pourquoy diſſmuler?	Pourquoi le taire encore? pourquoi dissimuler?
