SEigneur, en attendant que Scipion vous voye,	SEigneur, en attendant que Scipion vous voit,
Je me tiens honoré de l’ordre qu'il m’envoye,	Je me tiens honoré de l’ordre qu’il m’envoie,
De vous entretenir pendant quelques momens,	De vous entretenir pendant quelques moments,
Nous ſçaurons d’Annibal les ſecrets ſentimens,	Nous saurons d’Hannibal les secrets sentiments,
C'eſt vous qui dans ce Camp annoncez ſa venuë.	C’est vous qui dans ce Camp annoncez sa venue.
Oüy, Seigneur, Annibai ſouhaite une entreveuë,	Oui, Seigneur, Hannibal souhaite une entrevue,
Je viens la demander, c’eſt ſon intention	Je viens la demander, c’est son intention
Que de voir aujourd'hui le fameux Scipion;	Que de voir aujourd’hui le fameux Scipion;
Aux plaines de Zama nous ſommes l'un & l’autre,	Aux plaines de Zama nous sommes l’un et l’autre,
Nôtre Armée eſt campée aſſez prés de la vôtre;	Notre Armée est campée assez près de la vôtre;
Mais Annibal prétend avec luy conferer,	Mais Hannibal prétend avec lui conférer,
Et je viens en ce Camp pour en déliberer,	Et je viens en ce Camp pour en délibérer,
Avant que de rien faire & de rien entreprendre.	Avant que de rien faire et de rien entreprendre.
Sans doute qu'on ne peut refuſer de l'entendre;	Sans doute qu’on ne peut refuser de l’entendre;
Nous verrons aujourd'hui ces deux grands Citoyens,	Nous verrons aujourd’hui ces deux grands Citoyens,
Tous deux de leur païs la gloire & les ſoûtiens,	Tous deux de leur pays la gloire et les soutiens,
Donner ce peu de tréve à cette longue guerre,	Donner ce peu de trêve à cette longue guerre,
Pour décider entre-eux du deſtin de la terre,	Pour décider entre eux du destin de la terre,
Et de leur conference on attend deſormais	Et de leur conférence on attend désormais
Le jour de la bataille, ou celuy de la paix.	Le jour de la bataille, ou celui de la paix.
Je ne m'explique point des deſſeins de mon Maître,	Je ne m’explique point des desseins de mon Maître,
Il paroîtra luy-même, & les fera connoître,	Il paraîtra lui-même, et les fera connaître,
Il marche ſur mes pas: mais que d’heureux ſuccés,	Il marche sur mes pas: mais que d’heureux succès,
Seigneur, de Scipion ont remply les projets?	Seigneur, de Scipion ont rempli les projets?
La vicoire en tous lieux à ſon bras enchaînée	La victoire en tous lieux à son bras enchaînée
Semble de l’Univers faire la deſtinée;	Semble de l’Univers faire la destinée;
Jeune encor, on a vû ſes grandes actions	Jeune encore, on a vu ses grandes actions
Suivre, & même paſſer celles des Scipions,	Suivre, et même passer celles des Scipions,
Et digne rejeton de cette illuſtre race,	Et digne rejeton de cette illustre race,
A vingt ans on l'a vû commander en leur place;	À vingt ans on l’a vu commander en leur place;
Il nous chaſſa d’Eſpagne aprés quatre combats,	Il nous chassa d’Espagne après quatre combats,
Où Rome triompha par l’effort de ſon bras,	Où Rome triompha par l’effort de son bras,
Le voicy dans l'Affrique étonnée, affoiblie,	Le voici dans l’Afrique étonnée, affaiblie,
Il arrache Annibal du ſein de l'Italie.	Il arrache Hannibal du sein de l’Italie.
Et contraint ce Heros de voler en ces lieux,	Et contraint ce Héros de voler en ces lieux,
Pour défendre à ſon tour ſa patrie & ſes Dieux.	Pour défendre à son tour sa patrie et ses Dieux.
S’il acheve, Seigneur, cette heureuſe campagne,	S’il achève, Seigneur, cette heureuse campagne,
Dans l'Affrique il fera ce qu'il fit en Eſpagne:	Dans l’Afrique il fera ce qu’il fit en Espagne:
Un des plus puiſſans Rois qui fut dans l’Univers,	Un des plus puissants Rois qui fût dans l’Univers,
L’infidelle Syphax a pery dans ſes fers,	L’infidèle Syphax a péri dans ses fers,
Aſdrubal & Xantus ont perdu trois batailles,	Asdrubal et Xantus ont perdu trois batailles,
Cartage va nous voir au pied de ſes murailles,	Carthage va nous voir au pied de ses murailles,
Cette ſuperbe ville eſt contrainte aujourd'hui	Cette superbe ville est contrainte aujourd’hui
D’appeller Annibal pour luy ſervir d’appuy,	D’appeler Hannibal pour lui servir d’appui,
Scipion la menace, & l’on voit ce grand homme	Scipion la menace, et l’on voit ce grand homme
Luy rendre tout l’effroy qu’Annibal fit à Rome.	Lui rendre tout l’effroi qu’Hannibal fit à Rome.
Il vient de ſes ſuccés interrompre le cours,	Il vient de ses succès interrompre le cours,
Et promet à l’Affrique un fidele ſecours.	Et promet à l’Afrique un fidèle secours.
Son nom ſeul raffermit nos Provinces craintives;	Son nom seul raffermit nos Provinces craintives;
Mais puis-je m’informer des illuſtres captives	Mais puis-je m’informer des illustres captives
Que Zama pris d’aſſaut vit tomber dans vos fers;	Que Zama pris d’assaut vit tomber dans vos fers;
La Niéce d’Annibal les a-t-elle ſouffers?	La Nièce d’Hannibal les a-t-elle soufferts?
Et la Fille d’Hannon, la ſuperbe Erixene,	Et la Fille d’Hannon, la superbe Erixène,
S'eſt-elle accoûtumée à porter une chaîne?	S’est-elle accoutumée à porter une chaîne?
Que leur chaîne, Seigneur, eſt facile à porter?	Que leur chaîne, Seigneur, est facile à porter?
Elles ont des vertus qui les font reſpecter,	Elles ont des vertus qui les font respecter,
Au Camp de Scipion elles ſont ſouveraines,	Au Camp de Scipion elles sont souveraines,
Il les traite bien moins en eſclaves qu’en Reines,	Il les traite bien moins en esclaves qu’en Reines,
Il n’a plus de fierté ſi-tôt qu’il eſt vainqueur,	Il n’a plus de fierté sitôt qu’il est vainqueur,
Sa bonté, ſa clemence égalent ſa valeur;	Sa bonté, sa clémence égalent sa valeur;
Oüy, ſon bras aux vaincus ne fut jamais funeſte,	Oui, son bras aux vaincus ne fut jamais funeste,
La victoire ne ſert qu'à le rendre modeſte,	La victoire ne sert qu’à le rendre modeste,
Egal dans la fortune & dans l’adverſité,	Égal dans la fortune et dans l’adversité,
Il n’eſt jamais ſuperbe en la proſperité.	Il n’est jamais superbe en la prospérité.
La Niéce d’Annibal, l’adorable Iſperie,	La Nièce d’Hannibal, l’adorable Ispérie,
Fit briller tant d’éclat & tant de modeſtie	Fit briller tant d’éclat et tant de modestie
Qu'il en fut ébloüy: mais enfin ſa beauté	Qu’il en fut ébloui: mais enfin sa beauté
Porte un charme ſecret dont on eſt enchanté.	Porte un charme secret dont on est enchanté.
Au Prince Lucejus elle ſe vit promiſe,	Au Prince Lucejus elle se vit promise,
Il devoit l’épouſer quand Zama fut ſurpriſe;	Il devait l’épouser quand Zama fut surprise;
Ce jour infortuné ſi funeſte pour eux	Ce jour infortuné si funeste pour eux
Sépara ces Amans ſur le point d’eſtre heureux:	Sépara ces Amants sur le point d’être heureux:
Elle ignore où ce Prince a ſçû porter ſes armes,	Elle ignore où ce Prince a su porter ses armes,
Et ſouvent ſes beaux yeux pour luy verſent des larmes:	Et souvent ses beaux yeux pour lui versent des larmes:
Mais, Seigneur, Erixene en ce lieu doit venir,	Mais, Seigneur, Erixène en ce lieu doit venir,
Scipion luy permet de vous entretenir,	Scipion lui permet de vous entretenir,
Je vois qu’elle s’avance, & vous laiſſe avecque elle.	Je vois qu’elle s’avance, et vous laisse avec elle.
ON nous vient d’annoncer une grande nouvelle,	ON nous vient d’annoncer une grande nouvelle,
Annibal en Affrique eſt enfin de retour.	Hannibal en Afrique est enfin de retour.
Vous le verrez, Madame, avant la fin du jour.	Vous le verrez, Madame, avant la fin du jour.
Je ſçay que dans l'état où l’Affrique eſt reduite,	Je sais que dans l’état où l’Afrique est réduite,
Elle n’eſpere plus qu’en ſa ſeule conduite;	Elle n’espère plus qu’en sa seule conduite;
Ne me deguiſez rien ſur ſes nouveaux projets,	Ne me déguisez rien sur ses nouveaux projets,
Je prévois, Aurilcar, qu’ils tendent a la paix.	Je prévois, Aurilcar, qu’ils tendent à la paix.
Vous avez penetré ce que veut ſa prudence,	Vous avez pénétré ce que veut sa prudence,
Une paix de Cartage eſt l'unique eſperance;	Une paix de Carthage est l’unique espérance;
Mais, Madame, que dit, & que fait Scipion?	Mais, Madame, que dit, et que fait Scipion?
Son jeune cœur n'a-t-il que de l'ambition?	Son jeune cœur n’a-t-il que de l’ambition?
Les charmes d'Erixene, ou les yeux d’Iſperie	Les charmes d’Erixène, ou les yeux d’Ispérie
N'ont-ils pû rendre encor ſa grande ame attendrie?	N’ont-ils pu rendre encor sa grande âme attendrie?
Pardonnez...	Pardonnez…
Apprenez un ſecret important,	Apprenez un secret important,
Sans doute Scipion n’eſt plus indifferent.	Sans doute Scipion n’est plus indifférent.
Depuis peu dans ſon Camp ſa flâme eſt allumée.	Depuis peu dans son Camp sa flamme est allumée,
Bien que ſa paſſion dans ſon cœur renfermée	Bien que sa passion dans son cœur renfermée
Prenne ſoin à nos yeux toujours de ſe cacher,	Prenne soin à nos yeux toujours de se cacher,
Qu’il faſſe des efforts en vain pour l’arracher,	Qu’il fasse des efforts en vain pour l’arracher,
J’ay connu cependant, même par ſa contrainte,	J’ai connu cependant, même par sa contrainte,
Que d’un feu violent ſon ame étoit atteinte.	Que d’un feu violent son âme était atteinte.
Il faut d'un tel ſecret qu'Annibal ſoit inſtruit,	Il faut d’un tel secret qu’Hannibal soit instruit,
Sa prudence pouroit en tirer quelque fruit;	Sa prudence pourrait en tirer quelque fruit;
Car ſi de Scipion on fléchit le courage,	Car si de Scipion on fléchit le courage,
