OVY, puis que ie retrouue vn Amy ſi fidelle,	Oui, puisque je retrouve un Ami si fidèle,
Ma Fortune va prendre vne face nouuelle;	Ma Fortune va prendre une face nouvelle;
Et déja ſon courroux ſemble s'eſtre adouci,	Et déjà son courroux semble s’être adouci,
Depuis qu'elle a pris ſoin de nous rejoindre ici.	Depuis qu’elle a pris soin de nous rejoindre ici.
Qui m'euſt dit, qu'vn riuage à mes vœux si funeſte,	Qui m’eût dit, qu’un rivage à mes vœux si funeste,
Préſenteroit d'abord Pylade aux yeux d'Oreſte,	Présenterait d’abord Pylade aux yeux d’Oreste,
Qu'apres plus de ſix mois que ie t'auois perdu,	Qu’après plus de six mois que je t’avais perdu,
A la Cour de Pyrrhus tu me ſerois rendu!	À la Cour de Pyrrhus tu me serais rendu!
I'en rends graces au Ciel, qui m'arreſtant ſans ceſſe,	J’en rends grâces au Ciel, qui m’arrêtant sans cesse,
Sembloit m'auoir fermé le chemin de la Gréce,	Semblait m’avoir fermé le chemin de la Grèce,
Depuis le jour fatal que la fureur des Eaux,	Depuis le jour fatal que la fureur des Eaux,
Preſque aux yeux de Mycéne, écarta nos Vaiſſeaux.	Presque aux yeux de Mycène, écarta nos Vaisseaux.
Combien dans cét exil ay-je ſouffert d'allarmes?	Combien dans cet exil ai-je souffert d’alarmes?
Combien à vos malheurs ay-je donné de larmes?	Combien à vos malheurs ai-je donné de larmes?
Craignant toûjours pour vous quelque nouueau danger	Craignant toujours pour vous quelque nouveau danger,
Que ma triste Amitié ne pouuoit partager.	Que ma triste Amitié ne pouvait partager.
Sur tout ie redoutois cette Mélancolie	Surtout je redoutais cette mélancolie
Où j'ay veu ſi long-temps voſtre Ame enſeuelie.	Où j’ai vu si longtemps votre Âme ensevelie.
Ie craignois que le Ciel, par vn cruel ſecours,	Je craignais que le Ciel, par un cruel secours,
Ne vous offrît la mort, que vous cherchiez toûjours.	Ne vous offrît la mort, que vous cherchiez toujours.
Mais ie vous voy, Seigneur, & ſi j'oſe le dire,	Mais je vous vois, Seigneur, et si j’ose le dire,
Vn Deſtin plus heureux vous conduit en Epire.	Un Destin plus heureux vous conduit en Épire.
Le pompeux Appareil qui ſuit icy vos pas,	Le pompeux Appareil qui suit ici vos pas,
N'eſt point d'vn Malheureux qui cherche le trépas.	N’est point d’un Malheureux qui cherche le trépas.
Helas! qui peut ſçavoir le Deſtin qui m'ameine?	Hélas! qui peut savoir le Destin qui m’amène?
L'Amour me fait icy chercher vne Inhumaine.	L’Amour me fait ici chercher une Inhumaine.
Mais qui ſçait ce qu'il doit ordonner de mon Sort,	Mais qui sait ce qu’il doit ordonner de mon Sort,
Et ſi ie viens chercher, ou la vie, ou la mort?	Et si je viens chercher, ou la vie, ou la mort?
Quoy! voſtre Ame à l'Amour, en Eſclaue aſſeruie,	Quoi! votre Âme à l’Amour, en Esclave asservie,
Se repose ſur luy du ſoin de voſtre vie?	Se repose sur lui du soin de votre vie?
Par quels charmes, apres tant de tourmens soufferts	Par quels charmes, après tant de tourments soufferts
Peut-il vous inuiter à rentrer dans ſes fers?	Peut-il vous inviter à rentrer dans ses fers?
Penſez-vous qu'Hermionne, à Sparte inéxorable,	Pensez-vous qu’Hermione, à Sparte inexorable,
Vous prépare en Epire vn Sort plus fauorable?	Vous prépare en Épire un Sort plus favorable?
Honteux d'auoir pouſsé tant de vœux ſuperflus,	Honteux d’avoir poussé tant de vœux superflus,
Vous l'abhorriez. Enfin, vous ne m'en parliez plus.	Vous l’abhorriez. Enfin, vous ne m’en parliez plus.
Vous me trompiez, Seigneur.	Vous me trompiez, Seigneur.
Ie me trompois moy-méme.	Je me trompais moi-même.
Amy, n'inſulte point vn Malheureux qui t'aime.	Ami, n’insulte point un Malheureux qui t’aime.
T'ay-je iamais caché mon cœur & mes deſirs?	T’ai-je jamais caché mon cœur et mes désirs?
Tu vis naiſtre ma flâme & mes premiers ſoûpirs.	Tu vis naître ma flamme et mes premiers soupirs.
Enfin, quand Menelas diſpoſa de ſa Fille	Enfin, quand Ménélas disposa de sa Fille
En faueur de Pyrrhus, vangeur de ſa Famille;	En faveur de Pyrrhus, vengeur de sa Famille;
Tu vis mon deſeſpoir, & tu m’as veu depuis	Tu vis mon désespoir, et tu m’as vu depuis
Traîner de Mers en Mers ma chaîne & mes ennuis.	Traîner de Mers en Mers ma chaîne et mes ennuis.
Ie te vis à regret, en cét eſtat funeſte,	Je te vis à regret, en cet état funeste,
Preſt à ſuiure par tout le déplorable Oreſte,	Prêt à suivre partout le déplorable Oreste,
Toûjours de ma fureur interrompre le cours,	Toujours de ma fureur interrompre le cours,
Et de moy-meſme enfin me ſauuer tous les jours.	Et de moi-même enfin me sauver tous les jours.
Mais quand ie me ſouuins, que parmy tant d’allarmes	Mais quand je me souvins, que parmi tant d’alarmes
Hermionne à Pyrrhus prodiguoit tous ſes charmes,	Hermione à Pyrrhus prodiguait tous ses charmes,
Tu ſçais de quel courroux mon cœur alors épris	Tu sais de quel courroux mon cœur alors épris
Voulut, en l’oubliant, vanger tous ſes mépris.	Voulut, en l’oubliant, venger tous ses mépris .
Ie fis croire, & ie crûs ma victoire certaine.	Je fis croire, et je crus ma victoire certaine.
Ie pris tous mes tranſports pour des tranſports de haine;	Je pris tous mes transports pour des transports de haine;
Déteſtant ſes rigueurs, rabaiſſant ſes attraits,	Détestant ses rigueurs, rabaissant ses attraits,
Ie défiois ſes yeux de me troubler iamais.	Je défiais ses yeux de me troubler jamais.
Voila comme ie crûs étouffer ma tendreſſe.	Voilà comme je crus étouffer ma tendresse.
Dans ce calme trompeur j’arriuay dans la Gréce;	Dans ce calme trompeur j’arrivai dans la Grèce;
Et ie trouuay d’abord ſes Princes raſſemblez,	Et je trouvai d’abord ses Princes rassemblés,
Qu’vn péril aſſez grand ſembloit auoir troublez.	Qu’un péril assez grand semblait avoir troublés.
I’y courus. Ie penſay que la Guerre, & la Gloire,	J’y courus. Je pensai que la Guerre, et la Gloire,
De ſoins plus importans rempliroient ma memoire;	De soins plus importants rempliraient ma mémoire;
Que mes ſens reprenant leur premiere vigueur,	Que mes sens reprenant leur première vigueur,
L’Amour acheueroit de ſortir de mon Cœur.	L’Amour achèverait de sortir de mon Cœur.
Mais admire auec moy le Sort, dont la pourſuite	Mais admire avec moi le Sort, dont la poursuite
Me fait courir moy-meſme au piege que j’éuite.	Me fait courir moi-même au piège que j’évite.
I’entens de tous coſtez qu’on menace Pyrrhus.	J’entends de tous côtés qu’on menace Pyrrhus.
Toute la Gréce éclate en murmures confus.	Toute la Grèce éclate en murmures confus.
On ſe plaint, qu’oubliant ſon Sang, & ſa promeſſe,	On se plaint, qu’oubliant son Sang, et sa promesse,
Il éleue en ſa Cour l’Ennemy de la Gréce,	Il élève en sa Cour l’Ennemi de la Grèce,
Aſtyanax, d'Hector jeune & malheureux Fils,	Astyanax, d’Hector jeune et malheureux Fils,
Reſte de tant de Roys ſous Troye enſeuelis.	Reste de tant de Rois sous Troie ensevelis.
I’apprens, que pour rauir ſon enfance au Suplice,	J’apprends, que pour ravir son enfance au Supplice,
Andromaque trompa l’ingénieux Vlyſſe,	Andromaque trompa l’ingénieux Ulysse,
Tandis qu’vn autre Enfant arraché de ſes bras,	Tandis qu’un autre Enfant arraché de ses bras,
Sous le nom de ſon Fils, futconduit au trépas.	Sous le nom de son Fils, fut conduit au trépas.
On dit, que peu ſenſible aux charmes d’Hermionne,	On dit, que peu sensible aux charmes d’Hermione,
Mon Riual porte ailleurs ſon Cœur & ſa Couronne;	Mon Rival porte ailleurs son Cœur et sa Couronne;
Ménelas, ſans le croire, en paroiſt affligé,	Ménélas, sans le croire, en paraît affligé,
