ARRESTONS un moment. La pompe de ces Lieux,	ARRÊTONS un moment. La pompe de ces lieux,
Je le voy bien, Arſace, eſt nouvelle à tes yeux.	Je le vois bien, Arsace, est nouvelle à tes yeux.
Souvent ce Cabinet ſuperbe & ſolitaire,	Souvent ce Cabinet superbe et solitaire,
Des ſecrets de Titus eſt le dépoſitaire.	Des secrets de Titus est le dépositaire.
C’eſt icy quelquefois qu’il ſe cache à ſa Cour,	C’est ici quelquefois qu’il se cache à sa Cour,
Lors qu’il vient à la Reyne expliquer ſon amour.	Lorsqu’il vient à la Reine expliquer son amour.
De ſon Apartement cette porte eſt prochaine,	De son Appartement cette porte est prochaine,
Et cette autre conduit dans celuy de la Reyne,	Et cette autre conduit dans celui de la Reine,
Va chez elle. Dy-luy qu’importun à regret,	Va chez elle. Dis-lui qu’importun à regret,
J’oſe luy demander un entretien ſecret.	J’ose lui demander un entretien secret.
Vous, Seigneur, importun? Vous, cet Amy fidelle:	Vous, Seigneur, importun? Vous cet Ami fidèle:
Qu'un ſoin ſi genereux intereſſe pour elle?	Qu’un soin si généreux intéresse pour elle?
Vous, cet Antiochus, ſon Amant autrefois;	Vous, cet Antiochus, son Amant autrefois;
Vous, que l’Orient conte entre ſes plus grands Rois?	Vous, que l’Orient compte entre ses plus grands Rois?
Quoy déja de Titus l'Epouſe en eſperance,	Quoi déjà de Titus l'Épouse en espérance,
Ce rang entre elle & vous met-il tant de diſtance.	Ce rang entre elle et vous met-il tant de distance.
Va, dis-je, & ſans vouloir te charger d’autres ſoins;	Va, dis-je, et sans vouloir te charger d’autres soins;
Voy ſi je puis bientoſt luy parler ſans témoins.	Vois si je puis bientôt lui parler sans témoins.
HE' bien, Antiochus, es-tu toujours le meſme?	HÉ bien, Antiochus, es-tu toujours le même?
Pourray-je ſans trembler luy dire, Je vous aime?	Pourrai je sans trembler lui dire, je vous aime?
Mais quoy? Déjà je tremble, & mon cœur agité	Mais quoi? Déjà je tremble, et mon cœur agité
Craint autant ce moment que je l’ay ſouhaité.	Craint autant ce moment que je l’ai souhaité.
Berenice autrefois m’oſta toute eſperance.	Bérénice autrefois m’ôta toute espérance.
Elle m'impoſa meſme un eternel ſilence.	Elle m’imposa même un éternel silence.
Je me ſuis tû cinq ans. Et juſques à ce jour	Je me suis tu cinq ans. Et jusques à ce jour
D'un voile d'amitié j'ay couvert mon amour.	D’un voile d’amitié j’ai couvert mon amour.
Dois-je croire qu’au rang, ou Titus la deſtine,	Dois-je croire qu’au rang, où Titus la destine,
Elle m’écoute mieux que dans la Paleſtine?	Elle m’écoute mieux que dans la Palestine?
Il l'épouſe. Ay-je donc attendu ce moment	Il l’épouse. Ai-je donc attendu ce moment
Pour me venir encor declarer ſon Amant?	Pour me venir encor déclarer son Amant?
Ah! puis qu’il faut partir, partons ſans luy déplaire.	Ah! Puisqu’il faut partir, partons sans lui déplaire.
Je me ſuis tu long-temps, je puis encore me taire.	Je me suis tu longtemps, je puis encore me taire.
Retirons nous, ſortons, & ſans nous découvrir,	Retirons-nous, sortons, et sans nous découvrir,
Allons loin de ſes yeux l’oublier, ou mourir.	Allons loin de ses yeux l’oublier, ou mourir.
Hé quoy? ſouffrir toûjours un tourment qu'elle ignore?	Hé quoi? souffrir toujours un tourment qu’elle ignore?
Toûjours verſer des pleurs qu'il faut que je devore?	Toujours verser des pleurs qu’il faut que je dévore?
Quoy meſme en la perdant redouter ſon courroux?	Quoi même en la perdant redouter son courroux?
Belle Reyne; & pourquoy vous offenſeriez-vous?	Belle Reine; et pourquoi vous offenseriez-vous?
Viens-je vous demander que vous quittiez l’Empire,	Viens-je vous demander que vous quittiez l’Empire,
