OUY, puis que je retrouve un Amy ſi fidelle,	Oui, puisque je retrouve un Ami si fidèle,
Ma Fortune va prendre une face nouvelle;	Ma Fortune va prendre une face nouvelle;
Et déja ſon courroux ſemble s’eſtre adouci,	Et déjà son courroux semble s’être adouci,
Depuis qu’elle a pris ſoin de nous rejoindre ici.	Depuis qu’elle a pris soin de nous rejoindre ici.
Qui m’euſt dit, qu’un rivage à mes vœux ſi funeſte,	Qui m’eût dit, qu’un rivage à mes vœux si funeste,
Préſenteroit d’abord Pylade aux yeux d’Oreſte;	Présenterait d’abord Pylade aux yeux d’Oreste;
Qu'apres plus de ſix mois que je t’avois perdu,	Qu’après plus de six mois que je t’avais perdu,
A la Cour de Pyrrhus, tu me ſerois rendu!	À la Cour de Pyrrhus tu me serais rendu!
J’en rends graces au Ciel, qui m’arreſtant ſans ceſſe,	J’en rends grâces au Ciel, qui m’arrêtant sans cesse,
Sembloit m’avoir fermé le chemin de la Grece,	Semblait m’avoir fermé le chemin de la Grèce,
Depuis le jour fatal que la fureur des Eaux,	Depuis le jour fatal que la fureur des Eaux,
Preſque aux yeux de l’Epire, écarta nos Vaiſſeaux.	Presque aux yeux de l’Épire, écarta nos Vaisseaux.
Combien dans cét exil ay-je ſouffert d’allarmes?	Combien dans cet exil ai-je souffert d’alarmes?
Combien à vos mal-heurs ay-je donné de larmes?	Combien à vos malheurs ai-je donné de larmes?
Craignant toûjours pour vous quelque nouveau danger	Craignant toujours pour vous quelque nouveau danger
Que ma triſte amitié ne pouvoit partager.	Que ma triste amitié ne pouvait partager.
Sur tout je redoutois cette Mélancolie	Surtout je redoutais cette Mélancolie
Où j'ay vû ſi long-temps voſtre ame enſevelie.	Où j’ai vu si longtemps votre Âme ensevelie.
Je craignois que le Ciel, par un cruel ſecours,	Je craignais que le Ciel, par un cruel secours,
Ne vous offriſt la mort, que vous cherchiez toujours.	Ne vous offrît la mort, que vous cherchiez toujours.
Mais je vous voy, Seigneur, & ſi j’oſe le dire,	Mais je vous vois, Seigneur, et si j’ose le dire,
Un Deſtin plus heureux vous conduit en Epire.	Un Destin plus heureux vous conduit en Épire.
Le pompeux appareil qui ſuit ici vos pas,	Le pompeux appareil qui suit ici vos pas,
N’eſt point d’un Mal-heureux qui cherche le trépas.	N’est point d’un Malheureux qui cherche le trépas.
Helas! qui peut ſçavoir le Deſtin qui m’ameine?	Hélas! qui peut savoir le Destin qui m’amène?
L’Amour me fait icy chercher une Inhumaine.	L’Amour me fait ici chercher une Inhumaine.
Mais qui ſçait ce qu’il doit ordonner de mon Sort,	Mais qui sait ce qu’il doit ordonner de mon Sort,
Et ſi je viens chercher, ou la vie, ou la mort?	Et si je viens chercher, ou la vie, ou la mort?
Quoy! voſtre ame à l’Amour, en Eſclave aſſervie,	Quoi! votre Âme à l’Amour, en Esclave asservie,
