LA FOIRE S. 	LA FOIRE S.
GERMAIN, COMEDIE. 	GERMAIN, COMÉDIE.
ACTE PREMIER. 	ACTE PREMIER.
SCENE PREMIERE. 	SCÈNE PREMIÈRE.
COLOMBINE. 	COLOMBINE.
ARLEQUIN. 	ARLEQUIN.
ARLEQUIN à part. 	ARLEQUIN à part.
E ſeroit-ce point là quelque avanturiere foraine à Colombine. 	E serait-ce point là quelque aventurière foraine à Colombine.
N'étes-vous point, Mademoiſelle, de ces Chauves ſouris apprivoiſées qui gracieuſent le Bourgeois, & luy propoſent la collation COLOMBINE. 	N'éN tes-vous point, Mademoiselle, de ces Chauves souris apprivoisées qui gracieusent le Bourgeois, et lui proposent la collation COLOMBINE.
Et vous ne ſeriez-vous point par avanture de ces Chevaliers desheritez par la fortune qui retrouvent leur patrimoine dans la bourſe des paſſans. 	Et vous ne seriez-vous point par aventure de ces Chevaliers déshérités par la fortune qui retrouvent leur patrimoine dans la bourse des passants.
ARLEQUIN. 	ARLEQUIN.
Oh!	Oh!
oh!	oh!
vous mettez ma pudeur hors des gonds. 	vous mettez ma pudeur hors des gonds.
Je ſuis un Gentilhomme qui ay quitté le ſervice pour venir prendre de l’employ à la foire. 	Je suis un Gentilhomme qui ai quitté le service pour venir prendre de l'emploi à la foire.
COLOMBINE. 	COLOMBINE.
Peut-on vous demander où vous avez ſervy, en Flandres ou en Allemagne. 	Peut-on vous demander où vous avez servi, en Flandres ou en Allemagne.
A Paris. 	À Paris.
ARLEQUIN. 	ARLEQUIN.
A Paris. 	À Paris.
COLOMBINE. 	COLOMBINE.
ARLEQUIN. 	ARLEQUIN.
Oüy, j’ay eſté trois ans Cuiraſſier dans le Guet, aprés avoir ſervy volontaire dans le Regiment de l’Arc-en-ciel. 	Oui, j'ai été trois ans Cuirassier dans le Guet, après avoir servi volontaire dans le Régiment de l'Arc-en-ciel.
COLOMBINE. 	COLOMBINE.
Je n'ay pas oüy parler de ce Regiment-là. 	Je n'ai pas oui parler de ce Régiment-là.
ARLEQUIN. 	ARLEQUIN.
Diable c’eſt un des plus beaux Regimens de France, les ſoldats y ſont tantoſt fantaſſins, tantoſt carroſſiers, & ſont habillez de verd, de jaune ou de rouge ſuivant la fantaiſie des Capitaines. 	Diable c'est un des plus beaux Régiments de France, les soldats y sont tantôt fantassins, tantôt carrossiers, et sont habillés de vert, de jaune ou de rouge suivant la fantaisie des Capitaines.
Comedie. 5 COLOMBINE. 	Comédie. 5 COLOMBINE.
Je commence à avoir quelque teinture de voſtre Regiment. 	Je commence à avoir quelque teinture de votre Régiment.
ARLEQUIN. 	ARLEQUIN.
C'eſt le corps le plus neceſſaire à l'Eſtat;	C'est le corps le plus nécessaire à l'État;
& où on fait le plus viſte ſon chemin, on tire de là des gens pour remplir le emplois les plus lucratifs;	et où on fait le plus vite son chemin, on tire de là des gens pour remplir le emplois les plus lucratifs;
& je connois vingt Commis en chef qui n’ont jamais fait ailleurs leurs exercices. 	et je connais vingt Commis en chef qui n'ont jamais fait ailleurs leurs exercices.
COLOMBINE. 	COLOMBINE.
Je ſuis ravy Monſieur, de connoiſtre un Gentilhomme qui a eſtudié dans une Academie ſi fleuriſſante, apparamment vous ſçavez faire l exercice du flambeau. 	Je suis ravi Monsieur, de connaître un Gentilhomme qui a étudié dans une Académie si fleurissante, apparemment vous savez faire l’exercice du flambeau.
ARLEQUIN. 	ARLEQUIN.
Oüy, j’ay eu l’honneur d’éclairer (chemin faiſant) une femme de Robbe une femme Gardenotte, & la Concierge d’un Abbé. 	Oui, j'ai eu l'honneur d'éclairer (chemin faisant) une femme de Robe une femme Gardenotte, et la Concierge d'un Abbé.
COLOMBINE. 	COLOMBINE.
La Concierge d’un Abbé, voilà un plaiſant employ. 	La Concierge d'un Abbé, voilà un plaisant emploi.
ARLEQUIN. 	ARLEQUIN.
Elle prenoit ſoin des meubles de Monſieur, broyoit ſon rouge, baſſinoit ſon lit,  & le friſoit tous les ſoirs. 	Elle prenait soin des meubles de Monsieur, broyait son rouge, bassinait son lit, et le frisait tous les soirs.
A iij 6 La foire S. 	A iij 6 La foire S.
Germain, COLOMBINE. 	Germain, COLOMBINE.
Il n’y a pas grand ouvrage à friſer des cheveux en abregé comme ceux là. 	Il n'y a pas grand ouvrage à friser des cheveux en abrégé comme ceux-là.
Oh!	Oh!
malepeſte ne vous y trompez pas, ARLEQUIN. j’aimerois mieux friſer trois teſtes de femmes en boucles, que de mettre une ſeule tête d’Abbé en marons. 	malepeste ne vous y trompez pas, ARLEQUIN. j'aimerais mieux friser trois têtes de femmes en boucles, que de mettre une seule tête d'Abbé en marrons.
COLOMBINE. 	COLOMBINE.
Il y a quelquefois plus d’affaires auprés de ces Meſſieurs là qu’auprés des femmes. 	Il y a quelquefois plus d'affaires auprès de ces Messieurs là qu'auprès des femmes.
ARLEQUIN. 	ARLEQUIN.
On en dit la rage des femmes, mais pour moy je ne les trouve pas ſi dévergondées que les hommes. 	On en dit la rage des femmes, mais pour moi je ne les trouve pas si dévergondées que les hommes.
COLOMBINE. 	COLOMBINE.
Elles ſont pourtant bien expoſées au peril;	Elles sont pourtant bien exposées au péril;
car pour peu qu’une femme ait d’enjoüement, un homme luy donne vivement Ia chaſſe, elle évite un temps l’écüeil dangereux des preſens, elle reſiſte à la tempeſte, mais à la fin il vient une bouraſque de pleurs & de ſoûpirs;	car pour peu qu'une femme ait d'enjouement, un homme lui donne vivement la chasse, elle évite un temps l'écueil dangereux des présents, elle résiste à la tempête, mais à la fin il vient une bourrasque de pleurs et de soupirs;
un amant fait force de voile, il double le cap de bonne eſperance, une femme veut ſe ſauver, elle donne contre un rocher, voilà la barque renverſée, & dans cette extremité-là l’honneur a bien COLOMBINE. de la peine à ſe ſauver à la nage. 	un amant fait force de voile, il double le cap de bonne espérance, une femme veut se sauver, elle donne contre un rocher, voilà la barque renversée, et dans cette extrémité-là l'honneur a bien COLOMBINE. de la peine à se sauver à la nage.
ARLEQUIN. 	ARLEQUIN.
L’honneur d’apreſent eſt pourtant bien mince, & bien leger, il devroit aller ſur l’eau comme du liege. 	L'honneur d’à présent est pourtant bien mince, et bien léger, il devrait aller sur l'eau comme du liège.
COLOMBINE. 	COLOMBINE.
Et cette femme de Robbe, par exemple, que vous avez éclairée, ſon honneur ſçavoit il nager?	Et cette femme de Robe, par exemple, que vous avez éclairée, son honneur savait-il nager?
ARLEQUIN. 	ARLEQUIN.
Oh!	Oh!
pour celui-là il faiſoit quelquefois le plongeon;	pour celui-là il faisait quelquefois le plongeon;
Elle n’avoit jamais étudié, & ſi elle ſçavoit autant de latin que ſon mary, c’étoit elle qui faiſoit l’Extrait de tous les procés dont Monſieur étoit rapporteur. 	Elle n'avait jamais étudié, et si elle savait autant de latin que son mari, c'était elle qui faisait l'Extrait de tous les procès dont Monsieur était rapporteur.
COLOMBINE. 	COLOMBINE.
Eh!	Eh!
cette femme Gardenotte n’a-t’elle ja mais fait de fauſſeté dans ſon miniſtere ?	cette femme Gardenotte n'a-t'elle ja mais fait de fausseté dans son ministère?
ARLEQUIN. 	ARLEQUIN.
Il ne faut jamais dire de mal des gens dont on a mangé le pain;	Il ne faut jamais dire de mal des gens dont on a mangé le pain;
mais ſi on avoit gar dé minutte dans l’Etude de tout ce qui ſe paſſoit dans la Chambre, il auroit fallu plus de vingt Clercs pour en délivrer des expeditions. 	mais si on avait gar dé minute dans l'Étude de tout ce qui se passait dans la Chambre, il aurait fallu plus de vingt Clercs pour en délivrer des expéditions.
C’eſt-à-dire qu’il y avoit quelqu’un dans 8 Da foire S. 	C'est-à-dire qu'il y avait quelqu'un dans 8 Da foire S.
Germain, La maiſon qui ſignoit en ſecond. 	Germain, La maison qui signait en second.
ARLEQUIN. 	ARLEQUIN.
Vous l’avez dit. 	Vous l'avez dit.
COLOMBINE. 	COLOMBINE.
Pour moy tout ce que je voyois m’échauffoit ſi fort le ſang, que je me ſuis faite Limonadiere pour me rafraîchir la conſcience. 	Pour moi tout ce que je voyais m'échauffait si fort le sang, que je me suis faite Limonadière pour me rafraîchir la conscience.
ARLEQUIN. 	ARLEQUIN.
C’eſt-à dire que vous avez preſentement la conſcience à la glace, & moy pour le repos de la mienne j’attrape icy l’argent du paſſant, c’eſt moy qui fais voir la bouche de la verité, la mort de Lucrece, le Quadran du Zodiaque, le Serrail de l Empereur du Cap verd, & autres niaiſeries lucratives de cette nature-là. 	C'est-à dire que vous avez présentement la conscience à la glace, et moi pour le repos de la mienne j'attrape ici l'argent du passant, c'est moi qui fais voir la bouche de la vérité, la mort de Lucrèce, le Quadrant du Zodiaque, le Sérail de l'Empereur du Cap vert, et autres niaiseries lucratives de cette nature-là.
COLOMBINE. 	COLOMBINE.
Quoy c’eſt toy qui..... 	Quoi c'est toi qui.....
ARLEQUIN. 	ARLEQUIN.
C’eſt moy-même. 	C'est moi-même.
COLOMBINE. 	COLOMBINE.
Voilà cinquante Piſtolles qui te vont ſaûter au collet ſi tu veux ayder à deſabuſer un vieux Docteur, & renvoyer un Provincial à Pont-l'Evêque. 	Voilà cinquante Pistoles qui te vont sauter au collet si tu veux aider à désabuser un vieux Docteur, et renvoyer un Provincial à Pont-l'Évêque.
ARLEComedie. 9 ARLEQUIN. 	ARLEComédie. 9 ARLEQUIN.
Je ne ſuis point intereſſé, mais je n’ay mais rien refuſé pour cinquante Piſtolles. 	Je ne suis point intéressé, mais je n'ai mais rien refusé pour cinquante Pistoles.
SCENE II. 	SCÈNE II.
ARLEQUIN, LA BOUCHE DE LA VERITE, LE DOCTEUR. 	ARLEQUIN, LA BOUCHE DE LA VÉRITÉ, LE DOCTEUR.
ARLEQUIN. 	ARLEQUIN.
Oicy le Rendez-vous de tous les Curieux. 	Oici le Rendez-vous de tous les Curieux.
C’eſt ici qu’on voit tout pourvû qu’on ait des yeux. 	C'est ici qu'on voit tout pourvu qu'on ait des yeux.
Ici l'on entend tout quand on a des oreilles, 	Ici l'on entend tout quand on a des oreilles, 
Et de l’argent, s’entend. 	Et de l'argent, s'entend.
O Bouche ſans pareille !	Ô Bouche sans pareille!
Vous effort de mon art, miracle de ma main, Vous ne ceſſerez pas d’eſtre mon Gâgnespain, Tant que la ville En Badaux ſera fertile. 	Vous effort de mon art, miracle de ma main, Vous ne cesserez pas d'être mon Gagne-pain, Tant que la ville En Badauds sera fertile.
Vous eſtes, il eſt vray, de bois & de carton Vuide de ſens commun, ſans eſprit, ſans raiſon ;	Vous êtes, il est vrai, de bois et de carton Vide de sens commun, sans esprit, sans raison;
10 La Foire S. 	10 La Foire S.
Germain. 	Germain.
Cependant vous allez prononcer des Oracles. 	Cependant vous allez prononcer des Oracles.
Mais on voit tous les jours de ſemblables En effet combien voyons-nous miracles ;	Mais on voit tous les jours de semblables En effet combien voyons-nous miracles;
De ces teſtes tant conſultées, Decider de nos Deſtinées, Qui n’ont pas plus d’eſprit & de raiſon que vous. 	De ces têtes tant consultées, Décider de nos Destinées, Qui n'ont pas plus d'esprit et de raison que vous.
LA CHANTEUSE, chante. 	LA CHANTEUSE, chante.
Venez à nous, accourez tous, Rien n’eſt ſi doux Que d’apprendre ſa Deſtinée;	Venez à nous, accourez tous, Rien n'est si doux Que d'apprendre sa Destinée;
Mais dans l’Himenée L’ignorance eſt d'un grand ſecours ;	Mais dans l'Hyménée L'ignorance est d'un grand secours;
Epoux ignorez toûjours. 	Époux ignorez toujours.
LE DOCTEUR. 	LE DOCTEUR.
Monſieur, une certaine Fille nommée Colombine, m’a dit que je pourrois avoir chez vous des nouvelles d’une Fille que je cherche, & que j’ay fait afficher. 	Monsieur, une certaine Fille nommée Colombine, m'a dit que je pourrais avoir chez vous des nouvelles d'une Fille que je cherche, et que j'ai fait afficher.
ARLEQUIN. 	ARLEQUIN.
Voilà noſtre homme.. 	Voilà notre homme..
Et ſi vous l’aviez trouvée qu’en feriez-vous ?	Et si vous l'aviez trouvée qu'en feriez-vous?
LE DOCTEUR, Ce que j’en ferois, je l’épouſerois. 	LE DOCTEUR, Ce que j'en ferais, je l'épouserais.
ARLEQUIN. 	ARLEQUIN.
Eh !	Eh!
Monſieur l’Epouſeur, de quelle qualité eſtes-vous ?	Monsieur l'Épouseur, de quelle qualité êtes-vous?
Comedie. 11 LE DOCTEUR. 	Comédie. 11 LE DOCTEUR.
Je ſuis Docteur. 	Je suis Docteur.
ARLEQUIN. 	ARLEQUIN.
Bene, bene. 	Bene, bene.
Ah que voilà une qualité d’une grande reſource pour une femme. 	Ah que voilà une qualité d'une grande ressource pour une femme.
Eh quel âge avez-vous?	Eh quel âge avez-vous?
LE DOCTEUR. 	LE DOCTEUR.
Soixante & dix ans. 	Soixante-et-dix ans.
ARLEQUIN. 	ARLEQUIN.
Optime, Optime :	Optime, Optime:
Voilà un âge bien gliſſant;	Voilà un âge bien glissant;
vous courez riſque de vous y caſſer le col. 	vous courez risque de vous y casser le col.
Et la Fille quel âge a-t-elle?	Et la Fille quel âge a-t-elle?
LE DOCTEUR. 	LE DOCTEUR.
Vingt ans. 	Vingt ans.
ARLEQUIN. 	ARLEQUIN.
Ah!	Ah!
Que c’eſt bien fait. 	Que c'est bien fait.
Quand on n’a plus de dents on ne ſçauroit prendre de la viande trop tendre. 	Quand on n'a plus de dents on ne saurait prendre de la viande trop tendre.
Vous voulez ſans doute ſçavoir ſi elle vous enrôllera dans le grand Catalogue ou Vulcain eſt à la teſte. 	Vous voulez sans doute savoir si elle vous enrôlera dans le grand Catalogue ou Vulcain est à la tête.
LE DOCTEUR. 	LE DOCTEUR.
Juſtement. 	Justement.
ARLEQUIN. 	ARLEQUIN.
Je m’en vais vous eſſayer le Bonnet de la verité. 	Je m'en vais vous essayer le Bonnet de la vérité.
La Foire S. 	La Foire S.
Germain. 12 Il luy met le Bonnet de la verité, qui prend ſur ſa teſte la figure d’un Croiſſant. 	Germain. 12 Il lui met le Bonnet de la vérité, qui prend sur sa tête la figure d'un Croissant.
