PVISSANT Roy des François, Aſtre viuant de Mars,	Puissant roi des français, Astre vivant de Mars,
Dont le iuſte labeur ſurmontant les hazards,	Dont le juste labeur surmontant les hasards,
Fait voir par ſa vertu que la grandeur de France,	fait voir par sa vertu que la grandeur de France
 pouuoit ſuccomber ſouz vne autre vaillance:	pouvait succomber sous une autre vaillance:
Vray fils de la valeur de tes peres qui ſont,	Vrai fils de la valeur de tes pères qui sont,
Ombragez des Lauriers qui couronnent leur front,	Ombragez des lauriers qui couronnent leur front,
Et qui depuis mille ans, indomtables en guerre	Et qui depuis mille ans, indomptables en guerre
Furent tranſmis du Ciel pour gouuerner la terre,	Furent transmis du Ciel pour gouverner la terre,
Attendant qu’à ton rang ton courage t'euſt mis,	Attendant qu'à ton rang ton courage t'eût mis,
En leur Troſne eſleué deſſus tes ennemis.	En leur trone élevé dessus tes ennemis.
Iamais autre que toy n'euſt auecque prudence	Jamais autre que toi n'eût avec prudence
Vaincu de ton ſuiect l’ingrate outrecuidance	Vaincu de ton sujet l'ingrate outrecuidance
Et ne l'euſt comme toy du danger preſerué:	Et ne l'eût comme toi du danger préservé:
Car eſtant ce miracle à toy ſeul reſerué,	Car étant ce miracle à toi seul réservé,
Comme au Dieu du pays, en ſes deſſeins pariures	Comme au dieu du pays, en ses desseins parjures
Tu faits que tes bontez excedent ſes iniures.	Tu fais que tes bontés excèdent ses injures.
Or apres tant d’exploicts finis heureuſement,	Or après tant d'exploits finis heureusement,
Laiſſant aux cœurs des tiens, comme vn vif monument	Laissant aux cœurs des tiens, comme un vif monument
Auecques ta valeur ta clemence viuante,	Avecques ta valeur ta clémence vivante,
Dedans l’Eternité de la race ſuiuante,	Dans l'Éternité de la race suivante,
Puiſſe tu comme Auguſte admirable en tes faits	Puisses-tu comme Auguste admirable en tes faits
Rouller tes iours heureux en vne heureuſe paix,	Rouler tes jours heureux en une heureuse paix
Ores que la Iuſtice icy bas deſcendue	Or que la Justice ici-bas descendue
Aux petits, comme aux grands, par tes mains eſt renduë	Aux petits, comme aux grands, par tes mains est rendue
Que ſans peur du larron, trafique le Marchand,	Que sans peur du larron, trafique le marchand,
Que l’innocent ne tombe aux aguets du meſchant,	Que l'innocent ne tombe aux aguets du méchant,
