AUX LIBERTINS. 	AUX LIBERTINS. 
VOLUPTUEUX de tous les âges et de tous les sexes, c’est à vous seuls que j’offre cet ouvrage;	VOLUPTUEUX de tous les âges et de tous les sexes, c'est à vous seuls que j'offre cet ouvrage;
nourrissez-vous de ses principes, ils favorisent vos passions, et ces passions, dont de froids et plats moralistes vous effrayent, ne sont que les moyens que la nature emploie pour faire parvenir l’homme aux vues qu’elle a sur lui ;	nourrissez-vous de ses principes, ils favorisent vos passions, et ces passions, dont de froids et plats moralistes vous effrayent, ne sont que les moyens que la nature emploie pour faire parvenir l'homme aux vues qu'elle a sur lui ;
n’écoutez que ces passions délicieuses, leur organe est le seul qui doive vous conduire au bonheur. 	n'écoutez que ces passions délicieuses, leur organe est le seul qui doive vous conduire au bonheur. 
Femmes lubriques, que la voluptueuse Saint-Ange soit votre modèle;	Femmes lubriques, que la voluptueuse Saint-Ange soit votre modèle;
méprisez, à son exemple, tout ce qui contrarie les loix divines du plaisir qui l’enchaînèrent toute sa vie. 	méprisez, à son exemple, tout ce qui contrarie les lois divines du plaisir qui l'enchaînèrent toute sa vie. 
Jeunes filles trop long-temps contenues dans les liens absurdes et dangereux d’une vertu fantastique et d’une religion dégoutante, imitez l’ardente Eugénie, détruisez, foulez aux pieds, avec autant de rapidité qu’elle, tous les préceptes ridicules, inculqués par d’imbécilles parens. 	Jeunes filles trop longtemps contenues dans les liens absurdes et dangereux d'une vertu fantastique et d'une religion dégoutante, imitez l'ardente Eugénie, détruisez, foulez aux pieds, avec autant de rapidité qu'elle, tous les préceptes ridicules, inculqués par d'imbéciles parents. 
Et vous, aimables débauchés, vous qui, depuis votre jeunesse, n’avez plus d’autres freins que vos desirs, et d’autres loix que vos caprices, que le cinique Dolmancé vous serve d’exemple ;	Et vous, aimables débauchés, vous qui, depuis votre jeunesse, n'avez plus d'autres freins que vos désirs, et d'autres lois que vos caprices, que le cinique Dolmancé vous serve d'exemple ;
allez aussi loin que lui, si, comme lui, vous voulez parcourir toutes les routes de fleurs que la lubricité vous prépare;	allez aussi loin que lui, si, comme lui, vous voulez parcourir toutes les routes de fleurs que la lubricité vous prépare;
convainquez-vous à son école que ce n’est qu’en étendant la sphère de ses goûts et de ses fantaisies, que ce n’est qu’en sacrifiant tout à la volupté, que le malheureux individu connu Sous le nom d’homme;	convainquez-vous à son école que ce n'est qu'en étendant la sphère de ses goûts et de ses fantaisies, que ce n'est qu'en sacrifiant tout à la volupté, que le malheureux individu connu Sous le nom d'homme;
et jeté malgré lui sur ce triste univers, peut réussir à semer quelques roses sur les épines de la vie. 	et jeté malgré lui sur ce triste univers, peut réussir à semer quelques roses sur les épines de la vie. 
LA PHILOSOPHIE DANS LE BOUDOIR, LES INSTITUTEURS IMMORAUX, OU DIALOGUES Destinés à l’éducation des jeunes Demoiselles. 	LA PHILOSOPHIE DANS LE BOUDOIR, LES INSTITUTEURS IMMORAUX, OU DIALOGUES Destinés à l'éducation des jeunes Demoiselles. 
PREMIER DIALOGUE. 	PREMIER DIALOGUE. 
Madame DE SAINT-ANGE, le Chevalier DE MIRVEL. 	Madame DE SAINT-ANGE, le Chevalier DE MIRVEL. 
Madame DE SAINT-ANGE. onjour mon frere, eh bien, M. 	Madame DE SAINT-ANGE. onjour mon frère, eh bien, M. 
Dolmancé ?	Dolmancé ?
LE CHEVALIER. 	LE CHEVALIER. 
Il arrivera à quatre heures précises, nous ne dînons qu’à sept, nous aurons, comme tu vois, tout le temps de jaser. 	Il arrivera à quatre heures précises, nous ne dînons qu'à sept, nous aurons, comme tu vois, tout le temps de jaser. 
Madame DE SAINT-ANGE. 	Madame DE SAINT-ANGE. 
Sais-tu, mon frère, que je me repents un peu, et de ma curiosité, et de tous les projets obscènes formés pour aujourd’hui;	Sais-tu, mon frère, que je me repens un peu, et de ma curiosité, et de tous les projets obscènes formés pour aujourd'hui;
en verité, mon ami, tu es trop indulgent, plus je devrais être raisonnable, plus ma maudite tête s’irrite et devient libertine :	en verité, mon ami, tu es trop indulgent, plus je devrais être raisonnable, plus ma maudite tête s'irrite et devient libertine :
tu me passes tout, cela ne sert qu’a me gâter..... 	tu me passes tout, cela ne sert qu'a me gâter..... 
A vingt-six ans, je devrais être dejà dévote, et je ne suis encore que la plus débordée des femmes..... 	A vingt-six ans, je devrais être dejà dévote, et je ne suis encore que la plus débordée des femmes..... 
On n’a pas d’idée de ce que je conçois, mon ami, de ce que je voudrais faire. 	On n'a pas d'idée de ce que je conçois, mon ami, de ce que je voudrais faire. 
J’imaginais qu’en m’en tenant aux femmes, cela me rendrait sage;	J'imaginais qu'en m'en tenant aux femmes, cela me rendrait sage;
.... que mes desirs concentrés dans mon sexe, ne s’exhaleraient plus vers le vôtre;	.... que mes désirs concentrés dans mon sexe, ne s'exhaleraient plus vers le vôtre;
projets chimeriques, mon ami, les plaisirs dont je voulais me priver, ne sont venus s’offrir qu’avec plus d’ardeur à mon esprit, et j’ai vu que quand on était, comme moi, née pour le libertinage, il devenait inutile de songer à s’imposer des freins, de fongueux desirs les brisent bientôt. 	projets chimériques, mon ami, les plaisirs dont je voulais me priver, ne sont venus s'offrir qu'avec plus d'ardeur à mon esprit, et j'ai vu que quand on était, comme moi, née pour le libertinage, il devenait inutile de songer à s'imposer des freins, de fongueux désirs les brisent bientôt. 
Enfin, mon cher, je suis un animal amphibie, j’aime tout, je m’amuse de tout, je veux reunir tous les genres;	Enfin, mon cher, je suis un animal amphibie, j'aime tout, je m'amuse de tout, je veux réunir tous les genres;
mais, avoue-le, mon frère, n’est-ce pas une extravagance complette à moi, que de vouloir connaître ce singulier Dolmancé qui de ses jours, dis-tu, n’a pu voir une femme comme l’usage le prescrit, qui, sodomite par principe, nonseulement est idolâtre de son sexe, mais ne cède même au nôtre, que sous la clause spéciale de lui livrer les attraits chéris dont il est accoutumé de se servir chez les hommes. 	mais, avoue-le, mon frère, n'est-ce pas une extravagance complète à moi, que de vouloir connaître ce singulier Dolmancé qui de ses jours, dis-tu, n'a pu voir une femme comme l'usage le prescrit, qui, sodomite par principe, nonseulement est idolâtre de son sexe, mais ne cède même au nôtre, que sous la clause spéciale de lui livrer les attraits chéris dont il est accoutumé de se servir chez les hommes. 
Vois, mon frère, quelle est ma bizarre fantaisie !	Vois, mon frère, quelle est ma bizarre fantaisie !
je veux être le Ganimède de ce nouveau Jupiter, je veux jouir de ses goûts, de ses débauches, je veux être la victime de ses erreurs :	je veux être le Ganimède de ce nouveau Jupiter, je veux jouir de ses goûts, de ses débauches, je veux être la victime de ses erreurs :
jusqu’à présent tu le sais, mon cher, je ne me suis livrée ainsi, qu’à toi, par complaisance, ou qu’à quelqu’un de mes gens qui, payé pour me traiter de cette façon, ne s’y prêtait que par intérêt;	jusqu'à présent tu le sais, mon cher, je ne me suis livrée ainsi, qu'à toi, par complaisance, ou qu'à quelqu'un de mes gens qui, payé pour me traiter de cette façon, ne s'y prêtait que par intérêt;
aujourd’hui ce n’est plus ni la complaisance, ni le caprice, c’est le goût seul qui me détermine..... 	aujourd'hui ce n'est plus ni la complaisance, ni le caprice, c'est le goût seul qui me détermine..... 
Je crois, entre les procédés qui m’ont asservie, et ceux qui vont m’asservir à cette manie bizarre, une inconcevable difference, et je veux la connaître. 	Je crois, entre les procédés qui m'ont asservie, et ceux qui vont m'asservir à cette manie bizarre, une inconcevable différence, et je veux la connaître. 
Peins-moi ton Dolmancé, je t’en conjure, afin que je l’aye bien dans la tête avant que de le voir arriver;	Peins-moi ton Dolmancé, je t'en conjure, afin que je l'aie bien dans la tête avant que de le voir arriver;
car tu sais que je ne le connais que pour l’avoir rencontré l’autre jour dans une maison où je ne fus que quelques minutes avec lui. 	car tu sais que je ne le connais que pour l'avoir rencontré l'autre jour dans une maison où je ne fus que quelques minutes avec lui. 
LE CHEVALIER. 	LE CHEVALIER. 
Dolmancé, ma sœur, vient d’atteindre sa trente-sixième année, il est grand, d’une fort belle figure, des yeux très-vifs et très-spirituels, mais quelque chose d’un peu dur et d’un peu méchant se peint malgré lui dans ses traits;	Dolmancé, ma sœur, vient d'atteindre sa trente-sixième année, il est grand, d'une fort belle figure, des yeux très-vifs et très-spirituels, mais quelque chose d'un peu dur et d'un peu méchant se peint malgré lui dans ses traits;
il a les plus belles dents du monde, un peu de mollesse dans la taille et dans la tournure, par l’habitude, sans doute, qu’il a de prendre si souvent des airs feminins;	il a les plus belles dents du monde, un peu de mollesse dans la taille et dans la tournure, par l'habitude, sans doute, qu'il a de prendre si souvent des airs feminins;
il est d’une élégance extrême, une jolie voix, des talens, et principalement beaucoup de philosophie dans l’esprit. 	il est d'une élégance extrême, une jolie voix, des talents, et principalement beaucoup de philosophie dans l'esprit. 
Madame DE SAINT-ANGE. 	Madame DE SAINT-ANGE. 
Il ne croit pas en Dieu, j’espère?	Il ne croit pas en Dieu, j'espère?
