ARTICLE PREMIER	ARTICLE PREMIER
Les Ministres n’ont Mission ni du peuple ni des princes séculiers	Les Ministres n’ont Mission ni du peuple ni des princes séculiers
Premierement, Messieurs, vos devanciers et vous aussy aves faict une faute inexcusable, quand vous prestates l’oreille a ceux qui s’estoyent separés de l’Eglise, car ce n’estoyent des personnes qualifiëes comm’il falloit pour praecher.	Premièrement, Messieurs, vos devanciers et vous aussi avez fait une faute inexcusable, quand vous prêtâtes l’oreille à ceux qui s'étaient séparés de l’Église, car ce n’étaient des personnes qualifiées comme il fallait pour prêcher.
Ilz portoyent parole, a ce qu’ilz disoyent, de la part de Dieu, contre l’Eglise ;	Ils portaient parole, à ce qu’ils disaient, de la part de Dieu, contre l’Église;
ilz se vantoyent de porter le libelle de divorce de la part du Filz de Dieu a l’Eglise son Espouse ancienne, pour se marier a cette jeune assemblee refaitte et reformée.	ils se vantaient de porter le libelle de divorce de la part du Fils de Dieu à l’Église son Épouse ancienne, pour se marier à cette jeune assemblée refaite et reformée.
Mays comme pouvies vous croire ces nouvelles si tost, que sans leur faire monstrer leur charge et commission bien authentiquëe, vous commençates de premier abord a ne reconnoistre plus ceste Reyne pour vostre princesse, et a crier par tout que c’estoit un’adultere ?	Mais comme pouviez vous croire ces nouvelles si tôt, que sans leur faire montrer leur charge et commission bien authentiquée, vous commençâtes de premier abord à ne reconnaître plus cette Reine pour votre princesse, et à crier par tout que c’était un adultère?
Ilz couroyent ça et la semer ces nouvelles, mays qui les en avoit chargés ?	Ils couraient ça et là semer ces nouvelles, mais qui les en avait chargés?
On ne se peut enrooler sous aucun capitaine sans l’adveü du prince chez lequel on demeure :	On ne se peut enrôler sous aucun capitaine sans l’aveu du prince chez lequel on demeure:
et comment fustes vous si promps a vous enrooler sous ces premiers ministres, sans sçavoir si vos pasteurs qui estoyent en estre l’advoüeroient ?	et comment fûtes vous si prompts à vous enrôler sous ces premiers ministres, sans savoir si vos pasteurs qui étaient en être l’avoueraient?
mesme que vous sçavies bien qu’il vous sortoit hors de l’estat dans lequel vous esties nés et nourry.	même que vous saviez bien qu’il vous sortait hors de l’état dans lequel vous étiez nés et nourris.
Eux, donques, sont inexcusables de ce que sans l’authorité du magistrat spirituel ilz ont faicte ceste levëe de bouclier, et vous, de les avoir suyvis.	Eux, donc, sont inexcusables de ce que sans l’autorité du magistrat spirituel ils ont faite cette levée de bouclier, et vous, de les avoir suivis.
Vous voyes bien ou jvays battre ;	Vous voyez bien où je vais battre;
c’est sur la faute de mission et de vocation que Luther, Zuingle, Calvin et les autres avoyeny :	c’est sur la faute de mission et de vocation que Luther, Zwingli, Calvin et les autres avaient:
car c’est une chose certayne que quicomque veut enseigner et tenir rang de pasteur en l’Eglise, il doit estr’envoÿé.	car c’est une chose certaine que quiconque veut enseigner et tenir rang de pasteur en l’Église, il doit être envoyé.
Saint Pol :	Saint Paul:
Quomodo praedicabunt, nisi mittanbur ?	Quomodo praedicabunt, nisi mittanbur?
Comme praecheront ilz, s’ilz ne sont envoyés ?	Comme prêcheront-ils, s’ils ne sont envoyés?
Et Hieremie :	Et Jérémie:
Les prophetes prophetisent a faux, je ne les ay pas envoÿé ;	Les prophètes prophétisent à faux, je ne les ai pas envoyé;
et ailleurs :	et ailleurs:
Non mitebam prophetas et ipsi currebant :	Non mitebam prophetas et ipsi currebant:
Je ne les envoyois point, et ils couroyent.	Je ne les envoyais point, et ils couraient.
La mission est donques necessaire ;	La mission est donc nécessaire;
vous ne le nieres pas, si vous ne sçaves quelque chose plus que vos maistres.	vous ne le nierez pas, si vous ne savez quelque chose plus que vos maîtres.
Mays je vous vois venir en trois esquadrons :	Mais je vous vois venir en trois esquadrons:
car, les uns d’entre vous diront quilz ont eü vocation et mission du peuple et magistrat seculier et temporel ;	car, les uns d’entre vous diront qu'ils ont eu vocation et mission du peuple et magistrat séculier et temporel;
les autres de l’Eglise ;	les autres de l’Église;
comment cela ?	comment cela?
parce, disent ilz, que Luther, OEcolampade, Bucer, Zuingle et autres estoyent prestres de l’Eglise comme les autres ;	parce, disent ils, que Luther, Œcolampade, Bucer, Zwingli et autres étaient prêtres de l’Église comme les autres;
les autres, enfin, qui sont les plus habiles, disent quilz ont estés envoyés de Dieu mays extraordinayrement.	les autres, enfin, qui sont les plus habiles, disent qu'ils ont étés envoyés de Dieu mais extraordinairement.
Voyons que c’est du premier.	Voyons que c’est du premier.
Comme croyrons nous que le peuple, et les princes seculiers, aÿe appellés Calvin, Brence, Luther, pour enseigner la doctrine que jamais il n’avoyt ouÿe ?	Comme croirons nous que le peuple, et les princes séculiers, aient appelés Calvin, Brence, Luther, pour enseigner la doctrine que jamais il n’avait ouïe?
et devant, quand ilz commencerent a prescher et semer ceste doctrine, qui les avoist chargés de ce faire ?	et devant, quand ils commencèrent à prêcher et semer cette doctrine, qui les avait chargés de ce faire?
Vous dites que le peuple devot vous a appellés, mays quel peuple ?	Vous dites que le peuple dévot vous a appelés, mais quel peuple?
Car, ou il estoit Catholique, ou il ne l’estoit pas :	Car, ou il était Catholique, ou il ne l’était pas :
s’il estoit catholique, comme vous eut il appelé et envoÿé praecher ce quil ne croyoit pas ?	s’il était catholique, comme vous eut il appelé et envoyé prêcher ce qu'il ne croyait pas?
et ceste vocation de quelque bien petite partie du peuple lhors Catholique, comme pouvoit elle contrevenir a tout le reste qui sy opposa ?	et cette vocation de quelque bien petite partie du peuple hors Catholique, comme pouvait-elle contrevenir à tout le reste qui si opposa?
et comme vous pouvoit une partie du peuple donner authorité sur l’autre partie, affin que vous pouvies les ames de l’ancienne obeissance ?	et comme vous pouvait une partie du peuple donner autorité sur l’autre partie, afin que vous pouviez les âmes de l’ancienne obéissance?
car un peuple ne peut donner l’authorité que sur soymesme.	car un peuple ne peut donner l’autorité que sur soi-même.
Il eut donc fallu ne point prescher sinon la ou vous esties appellés du peuple, ce que si vous eussies faict, vous n’eussies pas eu tant de suite.	Il eut donc fallu ne point prêcher sinon là où vous étiez appelés du peuple, ce que si vous eussiez fait, vous n’eussiez pas eu tant de suite.
Mays disons voir, quand Luther commença, qui l’appela ?	Mais disons voir, quand Luther commença, qui l’appela?
il n’y avoit encor point de peuple qui pensast aux opinions quil a soustenües, comment donques l’eut il appelé pour les prescher ?	il n’i avait encor point de peuple qui pensât aux opinions qu'il a soutenues, comment donc l’eut il appelé pour les prêcher?
Sil n’estoit pas Catholique, qu’estoit il donq ?	s’est il ingéré et poussé de lui même à cet honneur?
Lutherien ?	Luthérien?
nompas, car je parle de la premiere fois ;	Non pas, car je parle de la première fois;
quoy donq ?	quoi donc?
Qu’on responde donq, si l’on peut.	Qu’on réponde donc, si l’on peut.
Qui a donné l’authorité aux premiers d’assembler les peuples, dresser des compagnies et bandes a part ?	Qui a donné l’autorité aux premiers d’assembler les peuples, dresser des compagnies et bandes à part?
Ce n’est pas le peuple, car ilz n’estoyent pas encor assemblés.	Ce n’est pas le peuple, car ils n’étaient pas encor assemblés.
Mays, ne seroit ce pas tout brouiller, de permettr’a chacun de dire ce que bon luy sembleroit ?	Mais, ne serait ce pas tout brouiller, de permettre à chacun de dire ce que bon lui semblerait?
a ce conte chacun seroit envoÿé ;	à ce conte chacun serait envoyé;
car il ni a si fol qui ne trouve des compaignons, tesmoins les Tritheites, Anabaptistes, Libertins, Adamites.	car il n’y à si fol qui ne trouve des compagnons, témoins les Trithéites, Anabaptistes, Libertins, Adamites.
Il se faut renger a l’Escriture, en laquelle on ne trouvera jamais que les peuples ayent pouvoir de se donner des pasteurs et praedicateurs.	Il se faut ranger à l’Écriture, en laquelle on ne trouvera jamais que les peuples aient pouvoir de se donner des pasteurs et prédicateurs.
112	112
ARTICLE II	ARTICLE II
Les Ministres n’ont pas reçu Mission des Evêques Catholiques	Les Ministres n’ont pas reçu Mission des Evêques Catholiques
Plusieurs, donques de nostre aage, voyans leur chemin couppé de costé la, ilz se sont jettés d’autre de l’autre, et disnet que les premiers maistres reformateurs, Luther, bucer, OEcolampade, ont estés envoyés par les Evesques qui les firent prestres, puys ceux cy ont envoyéspar les Evesques qui les firent prestres, puys ceux cy ont envoyés las autres suyvans, et vont ainsy enchainant leur mission a celle des Apostres.	Plusieurs, donc de notre âge, voyant leur chemin coupé de côté-la, ils se sont jetés d’autre de l’autre, et disent que les premiers maîtres réformateurs, Luther, Bucer, Œcolampade, ont étés envoyés par les Évêques qui les firent prêtres, puis ceux-ci ont envoyés par les Évêques qui les firent prêtres, puis ceux-ci ont envoyés las autres suivants, et vont ainsi enchaînant leur mission à celle des Apôtres.
Veritablement c’est parler françois et realement, que de confesser que leur mission ne peut estre coulëe des Apostres a leurs ministres, que par la succession de nos Evesques et par l’imposition de leurs mains :	Véritablement c’est parler français et réalement, que de confesser que leur mission ne peut être coulée des Apôtres à leurs ministres, que par la succession de nos Évêques et par l’imposition de leurs mains:
la chose est telle sans doute.	la chose est telle sans doute.
