LES	LES
FEMMES FORTES	FEMMES FORTES
ACTE PREMIER.	ACTE PREMIER.
Un salon. — Trois portes au fond.	Un salon. — Trois portes au fond.
— À gauche, un bureau.	— À gauche, un bureau.
— Au-dessus, deux vases.	— Au-dessus, deux vases.
— Une fenêtre.	— Une fenêtre.
— À droite, une cheminée avec deux vases, pendule.	— À droite, une cheminée avec deux vases, pendule.
— Un guéridon, chaises, etc.	— Un guéridon, chaises, etc.
Scène PREMIÈRE.	Scène PREMIÈRE.
GABRIELLE, JENNY.	GABRIELLE, JENNY.
Gabrielle regarde par la fenêtre ; Jenny assise, lit un roman.	Gabrielle regarde par la fenêtre; Jenny assise, lit un roman.
GABRIELLE.	GABRIELLE.
Ah ! que ce n’est pas beau, les hauteurs de Chaillot, quand on les admire tous les jours depuis l’âge de raison !…	Ah! que ce n'est pas beau, les hauteurs de Chaillot, quand on les admire tous les jours depuis l'âge de raison!…
Je ne vois que le Champ de Mars qui poudroie, la Seine qui verdoie, et personne qui se noie ! Jenny !	Je ne vois que le Champ de Mars qui poudroie, la Seine qui verdoie, et personne qui se noie! Jenny!
JENNY.	JENNY.
Quoi ?	Quoi?
GABRIELLE, descendant en scène.	GABRIELLE, descendant en scène.
Tu t’ennuies, n’est-ce pas ?	Tu t'ennuies, n'est-ce pas?
JENNY, jetant le livre.	JENNY, jetant le livre.
Oh ! oui !…	Oh! oui!…
La jolie existence que nous menons depuis que papa est parti pour New-York !	La jolie existence que nous menons depuis que papa est parti pour New-York!
Père dénaturé, qui n’a pas voulu nous emmener !…	Père dénaturé, qui n'a pas voulu nous emmener!…
GABRIELLE.	GABRIELLE.
Ah ! Dieu !… voyager !…	Ah! Dieu!… voyager!…
Changer de place, être secouée, ballottée	Changer de place, être secouée, ballottée
2	2
LES FEMMES FORTES.	LES FEMMES FORTES.
 et faire naufrage, quel bonheur !…	 et faire naufrage, quel bonheur!…
 Au moins cela changerait l’heure des repas !	 Au moins cela changerait l'heure des repas!
JENNY, soupirant.	JENNY, soupirant.
Si seulement on avait le droit de rêver à son aise !	Si seulement on avait le droit de rêver à son aise!
GABRIELLE.	GABRIELLE.
Oui, c’est bon pour toi, qui passes ta journée à lire des romans. Mais moi, il faut que je m’agite, que je me déplace, que je coure…	Oui, c'est bon pour toi, qui passes ta journée à lire des romans. Mais moi, il faut que je m'agite, que je me déplace, que je coure…
