L’embrazement de la ville de Sinope eſtoit ſi grand, que tout le Ciel;	L’embrasement de la ville de Sinope était si grand, que tout le Ciel;
toute la Mer;	toute la Mer;
toute la Plaine;	toute la Plaine;
& le haut de toutes les Montagnes les plus reculées, en receuoient vne impreſſion de lumiere, qui malgré l’obſcurité de la nuit, permettoit de diſtinguer toutes choſes.	et le haut de toutes les Montagnes les plus reculées, en recevaient une impression de lumière, qui malgré l’obscurité de la nuit, permettait de distinguer toutes choses.
Iamais obiet ne fut ſi terrible que celuy-là:	Jamais objet ne fut si terrible que celui-là:
l’on voyoit tout à la fois vingt Galeres qui bruſloient dans le Port;	l’on voyait tout à la fois vingt Galères qui brûlaient dans le Port;
& qui au milieu de l’eau dont elles eſtoient ſi proches, ne laiſſoient pas de pouſſer des flames ondoyantes iuſques aux nuës.	et qui au milieu de l’eau dont elles étaient si proches, ne laissaient pas de pousser des flammes ondoyantes jusqu’aux nues.
Ces flames eſtant agitées par vn vent aſſez impetueux, ſe courboient quelquefois vers la plus grande partie de la Ville, qu’elles avoient deſja toute embrazée;	Ces flammes étant agitées par un vent assez impétueux, se courbaient quelquefois vers la plus grande partie de la Ville, qu’elles avaient déjà toute embrasée;
& de laquelle elles n’avoient preſque plus fait qu’un grand bûcher.	et de laquelle elles n’avaient presque plus fait qu’un grand bûcher.
L’on les voyoit paſſer d’un lieu à l’autre en un moment;	L’on les voyait passer d’un lieu à l’autre en un moment;
& par une funeſte communication, il n’y avoit quaſi pas un endroit en toute cette déplorable Ville, qui n’eſprouvast leur fureur.	et par une funeste communication, il n’y avait quasi pas un endroit en toute cette déplorable Ville, qui n’éprouvât leur fureur.
Tous les cordages,	Tous les cordages,
& toutes les voilles, des Vaiſſeaux	et toutes les voiles, des Vaisseaux
& des Galeres, ſe deſtachans toutes embrazées, s’eſlevoient affreuſement en l’air,	et des Galères, se détachant toutes embrasées, s’élevaient affreusement en l’air,
& retomboient en eſtincelles, ſur toutes les maiſons voiſines.	et retombaient en étincelles, sur toutes les maisons voisines.
Quelques unes de ces maiſons eſtant deſja conſumées, cedoient à la violence de cét impitoyable vainqueur;	Quelques-unes de ces maisons étant déjà consumées, cédaient à la violence de cet impitoyable vainqueur;
& tomboient en un inſtant, dans les ruës	et tombaient en un instant, dans les rues
& dans les Places, dont elles avoient eſté l’ornement.	et dans les Places, dont elles avaient été l’ornement.
Cette effroyable multitude de flames, qui s’élevoient de tant de divers endroits;	Cette effroyable multitude de flammes, qui s’élevaient de tant de divers endroits;
& qui avoient plus ou moins de force, ſelon la matiere qui les entretenoit, ſembloient faire un combat entr’elles, à cauſe du vent qui les agitoit;	et qui avaient plus ou moins de force, selon la matière qui les entretenait, semblaient faire un combat entre elles, à cause du vent qui les agitait;
& qui quelques-fois les confondant	et qui quelquefois les confondant
& les ſeparant, ſembloit faire voir en effet, qu’elles ſe diſputoient la gloire de deſtruire cette belle Ville.	et les séparant, semblait faire voir en effet, qu’elles se disputaient la gloire de détruire cette belle Ville.
Parmy ces flames eſclattantes, l’on voyoit encore des tourbillons de fumée, qui par leur ſombre couleur adjouſtoient quelque choſe de plus terrible, à un ſi eſpouvantable objet:	Parmi ces flammes éclatantes, l’on voyait encore des tourbillons de fumée, qui par leur sombre couleur ajoutaient quelque chose de plus terrible, à un si épouvantable objet:
& l’abondance des eſtincelles, dont nous avons deſja parlé, retombant à l’entour de cette Ville, comme une greſle enflamée, faiſoit ſans doute que l’abord en eſtoit affreux.	et l’abondance des étincelles, dont nous avons déjà parlé, retombant à l’entour de cette Ville, comme une grêle enflammée, faisait sans doute que l’abord en était affreux.
Au milieu de ce grand deſordre,	Au milieu de ce grand désordre,
& tout au plus bas de la Ville, il y avoit un Chaſteau, baſty ſur la cime d’un grand Rocher qui s’avançoit dans la Mer, que ces flames n’avoient encore pû devorer:	et tout au plus bas de la Ville, il y avait un Château, bâti sur la cime d’un grand Rocher qui s’avançait dans la Mer, que ces flammes n’avaient encore pu dévorer:
& vers lequel toutefois, elles ſembloient s’eſlancer à chaque moment, parce que le vent les y pouſſoit avec violence.	et vers lequel toutefois, elles semblaient s’élancer à chaque moment, parce que le vent les y poussait avec violence.
Il paroiſſoit que l’embrazement devoit avoir commencé par le Port;	Il paraissait que l’embrasement devait avoir commencé par le Port;
puis que toutes les maiſons qui le bordoient, eſtoient les plus allumées,	puisque toutes les maisons qui le bordaient, étaient les plus allumées,
& les plus proches de leur entiere ruine, ſi toutefois il eſtoit permis de mettre quelque difference, en un lieu où l’on voyoit eſclater par tout, le feu	et les plus proches de leur entière ruine, si toutefois il était permis de mettre quelque différence, en un lieu où l’on voyait éclater par tout, le feu
& la flame.	et la flamme.
Parmy ces feux	Parmi ces feux
& parmy ces flames, l’on voyoit pourtant encore quelques Temples	et parmi ces flammes, l’on voyait pourtant encore quelques Temples
& quelques maiſons, qui faiſoient un peu plus de reſistance que les autres;	et quelques maisons, qui faisaient un peu plus de résistance que les autres;
& qui laiſſoient encore aſſez voir de la beauté de leur ſtructure, pour donner de la compaſſion, de leur inevitable ruine.	et qui laissaient encore assez voir de la beauté de leur structure, pour donner de la compassion, de leur inévitable ruine.
Enfin ce terrible Element détruiſoit toutes choſes;	Enfin ce terrible Élément détruisait toutes choses;
ou faiſoit voir ce qu’il n’avoit pas encore détruit, ſi proche de l’eſtre;	ou faisait voir ce qu’il n’avait pas encore détruit, si proche de l’être;
qu’il eſtoit difficile de n’eſtre pas ſaisi d’horreur	qu’il était difficile de n’être pas saisi d’horreur
& de pitié, par une veuë ſi extraordinaire	et de pitié, par une vue si extraordinaire
& ſi funeſte.	et si funeste.
Ce fut par cét eſpouvantable objet, que l’amoureux Artamene (apres eſtre ſorty d’un valon, tournoyant	Ce fut par cet épouvantable objet, que l’amoureux Artamène (après être sorti d’un vallon, tournoyant
& couvert de bois, à la teſte de quatre mille hommes) fut eſtrangement ſurpris.	et couvert de bois, à la tête de quatre mille hommes) fut étrangement surpris.
Auſſi en parut-il ſi eſtonné, qu’il s’arreſta tout d’un coup:	Aussi en parut-il si étonné, qu’il s’arrêta tout d’un coup:
& ſans sçavoir ſi ce qu’il voyoit eſtoit veritable;	et sans savoir si ce qu’il voyait était véritable;
& ſans pouvoir meſme exprimer ſon eſtonnement, par ſes paroles;	et sans pouvoir même exprimer son étonnement, par ses paroles;
il regarda cette Ville;	il regarda cette Ville;
il regarda le Port;	il regarda le Port;
il jetta les yeux ſur cette Mer, qui paroiſſoit toute embrazée, par la reflexion qu’elle recevoit des Nuës, que ce feu avoit toutes illuminées;	il jeta les yeux sur cette Mer, qui paraissait toute embrasée, par la réflexion qu’elle recevait des Nues, que ce feu avait toutes illuminées;
il regarda la Plaine	il regarda la Plaine
& les Montagnes;	et les Montagnes;
il tourna ſes yeux vers le Ciel;	il tourna ses yeux vers le Ciel;
& ſans pouvoir ny parler, ny marcher, il ſembloit demander à toutes ces choſes, ſi ce qu’il voyoit eſtoit effectif, ou ſi ce n’eſtoit point une illuſion.	et sans pouvoir ni parler, ni marcher, il semblait demander à toutes ces choses, si ce qu’il voyait était effectif, ou si ce n’était point une illusion.
Hidaſpe, Chriſante, Aglatidas, Araſpe,	Hidaspe, Chrysante, Aglatidas, Araspe,
& Feraulas, qui eſtoient les plus proches de luy, regardoient cét embrazement,	et Phéraulas, qui étaient les plus proches de lui, regardaient cet embrasement,
& n’oſoient regarder Artamene;	et n’osaient regarder Artamène;
qui pouſſant enfin ſon cheval ſur une petite eminence, où ils le ſuivirent;	qui poussant enfin son cheval sur une petite éminence, où ils le suivirent;
vit	vit
& connut ſi diſtinctement, que cette Ville qui bruſloit, eſtoit celle-là meſme qu’il penſoit venir ſurprendre cette nuit, par une intelligence qu’il y avoit, afin d’en tirer ſa Princeſſe, que le Roy d’Aſſirie y tenoit captive;	et connut si distinctement, que cette Ville qui brûlait, était celle-là même qu’il pensait venir surprendre cette nuit, par une intelligence qu’il y avait, afin d’en tirer sa Princesse, que le Roi d’Assyrie y tenait captive;
que tout d’un coup s’emportant avec une violence extréme;	que tout d’un coup s’emportant avec une violence extrême;
Quoy injuſtes Dieux, s’écria t’il, il eſt donc bien vray que vous avez conſenti à la perte de la plus belle Princeſſe qui fut jamais?	Quoi injustes Dieux, s’écria t-il, il est donc bien vrai que vous avez consenti à la perte de la plus belle Princesse qui fut jamais?
& que dans le meſme temps que je croyois ſa liberté infaillible, vous me faites voir ſa perte indubitable?	et que dans le même temps que je croyais sa liberté infaillible, vous me faites voir sa perte indubitable?
En diſant cela il s’avança encore un peu davantage:	En disant cela il s’avança encore un peu davantage:
& n’eſtant ſuivi que de Chriſante	et n’étant suivi que de Chrysante
& de Feraulas, Helas mes Amis (leur dit il en commençant de galoper,	et de Phéraulas, Hélas mes Amis (leur dit il en commençant de galoper,
& commandant que tout le ſuivist) quel pitoyable deſtin eſt le mien,	et commandant que tout le suivît) quel pitoyable destin est le mien,
& à quel effroyable ſpectacle m’a t’on amené?	et à quel effroyable spectacle m’a-t-on amené?
Allons du moins, allons mourir dans les meſmes flames, qui ont fait perir noſtre illuſtre Princeſſe.	Allons du moins, allons mourir dans les mêmes flammes, qui ont fait périr notre illustre Princesse.
Peut-eſtre (pourſuivoit il en luy meſme) que ces flames que je voy, viennent d’achever de reduire en cendre, mon adorable Mandane.	Peut-être (poursuivait-il en lui même) que ces flammes que je vois, viennent d’achever de réduire en cendre, mon adorable Mandane.
Mais que dis-je, peut-eſtre?	Mais que dis-je, peut-être?
Non, non, ne mettons point noſtre malheur en doute, il eſt deſja arrivé;	Non, non, ne mettons point notre malheur en doute, il est déjà arrivé;
& les Dieux n’ont pas permis un ſi grand embrazement pour la ſauver.	et les Dieux n’ont pas permis un si grand embrasement pour la sauver.
S’ils euſſent voulu ne la perdre pas, ils auroient ſouslevé les vagues de la Mer, pour eſteindre ces cruelles flames,	S’ils eussent voulu ne la perdre pas, ils auraient soulevé les vagues de la Mer, pour éteindre ces cruelles flammes,
& ne l’auroient pas miſe en un ſi grand danger.	et ne l’auraient pas mise en un si grand danger.
Mais helas!	Mais hélas!
s’écrioit il, injuſte Rival, n’as tu point ſongé à ta conſervation pluſtost qu’à la ſienne,	s’écriait-il, injuste Rival, n’as tu point songé à ta conservation plutôt qu’à la sienne,
& n’as tu point cauſé ſa perte par ta laſcheté?	et n’as tu point causé sa perte par ta lâcheté?
Si je voyois ma Princeſſe (adjouſtoit il en ſe tournant vers Chriſante) entre les mains d’un Prince, à la teſte de cent mille hommes,	Si je voyais ma Princesse (ajoutait-il en se tournant vers Chrysante) entre les mains d’un Prince, à la tête de cent mille hommes,
& que ce Prince la vouluſt ſacrifier à mes yeux, je ne ſerois pas ſi deſesperé, j’aurois un ennemy que je pourrois du moins attaquer, ſi je ne le pouvois vaincre:	et que ce Prince la voulût sacrifier à mes yeux, je ne serais pas si désespéré, j’aurais un ennemi que je pourrais du moins attaquer, si je ne le pouvais vaincre:
Mais icy, je n’ay rien à faire, qu’à m’aller jetter dans ces meſmes flames, qui ont deſja conſumé ma Princeſſe.	Mais ici, je n’ai rien à faire, qu’à m’aller jeter dans ces mêmes flammes, qui ont déjà consumé ma Princesse.
En diſant cela, il s’avançoit encore davantage:	En disant cela, il s’avançait encore davantage:
& apres avoir eſté quelque temps ſans parler;	et après avoir été quelque temps sans parler;
Ha Ciel!	Ha Ciel!
(s’ecrioit il tout d’un coup, voyant qu’il n’y avoit que Chriſante qui le peuſt entendre) ne ſeroit-je point la cauſe de la mort de ma Princeſſe?	(s’écriait-il tout d’un coup, voyant qu’il n’y avait que Chrysante qui le pût entendre) ne serait-je point la cause de la mort de ma Princesse?
n’eſt-ce point pour l’amour de moy qu’elle a elle meſme embrazé cette Ville, pluſtost que de manquer de fidelité, au malheureux Artamene?	n’est-ce point pour l’amour de moi qu’elle a elle-même embrasé cette Ville, plutôt que de manquer de fidélité, au malheureux Artamène?
Ha Dieu!	Ha Dieu!
s’il eſt ainſi, je ſuis digne de mon infortune;	s’il est ainsi, je suis digne de mon infortune;
& je merite tous les maux que je reſſens.	et je mérite tous les maux que je ressens.
Chriſante voyant qu’il avoit ceſſé de parler, s’approcha de luy, pour taſcher de luy donner quelque legere conſolation:	Chrysante voyant qu’il avait cessé de parler, s’approcha de lui, pour tâcher de lui donner quelque légère consolation:
mais Artamene marchant touſjours;	mais Artamène marchant toujours;
& le regardant d’une maniere capable de donner de la compaſſion aux perſonnes les plus inſensibles;	et le regardant d’une manière capable de donner de la compassion aux personnes les plus insensibles;
