AV LECTEVR. ,AU LECTEVR.,,,,,,,,,,,,
P VIS que ma conuerſation eſt publique, & que mon nom ne ſe peut cacher;,P UIS que ma conversation est publique, et que mon nom ne se peut cacher;,,,,,,,,,,
ie ſuis bien aiſe de faire publier ſes eſcrits, qui ſe trouueront aſſez conformes à ma vie, & tres-eſloignez du bruit qu’on a faict courir de moy:,je suis bien aise de faire publier ses écrits, qui se trouveront assez conformes à ma vie, et très-éloignés du bruit qu'on a fait courir de moi:,,,,,,,,
Ie ſçay bien que dans l'aueugle confuſion d’vne reputation ignorante, on a parlé de moy comme d’vn homme à perir pour exemple, ſans que iamais l’Egliſe, ny le Palais, ayent reprins, ny mon diſcours, ny mes actions. ,Je sais bien que dans l'aveugle confusion d'une réputation ignorante, on a parlé de moi comme d'un homme à périr pour exemple, sans que jamais l'Église, ni le Palais, ayant repris, ni mon discours, ni mes actions.
Et depuis qu’il me ſouuient d’auoir veſcu parmy les hommes,Et depuis qu'il me souvient d'avoir vécu parmi les hommes,,,,,,,,,,,,
l’eloquence na plus de grace qu’à perſuader la liberté, & les mauuaiſes mœurs:,l'éloquence na plus de grâce qu'à persuader la liberté, et les mauvaises mœurs:,,,,,,,,,,
la pointe & la facilité de l’eſprit ne paroiſt plus qu’à meſdire;,la pointe et la facilité de l'esprit ne paraît plus qu'à médire;,,,,,,,,,,,,
habile, c’eſt bien trahir:,habile, c'est bien trahir:,,,,,,,,,,
la raiſon eſt incognuë, la Religion encores plus:,la raison est inconnue, la Religion encores plus:,,,,,,,,,,
le Roy ne void que des reuoltes:,le Roi ne voit que des révoltes:,,,,,,,,,,,,
Dieu n’entend que des impietéz, tant le ſiecle eſt maudit du Ciel & de la terre:,Dieu n'entend que des impiétés, tant le siècle est maudit du Ciel et de la terre:,,,,,,,,,,
les gens de lettres ne ſçauent rien:,les gens de lettres ne savent rien:,,,,,,,,,,,,
la pluſpart des Iuges ſont criminels, paſſer pour honneſte homme, c’eſt ne l’eſtre point. ,la plupart des Juges sont criminels, passer pour honnête homme, c'est ne l'être point.,,,,,,,,
Dans ce rebours de toutes choſes, i’ay de l’obligation à mes infamies, qui au vray ſens ſe doiuent expliquer des faueurs de la renomme. ,Dans ce rebours de toutes choses, j'ai de l'obligation à mes infamies, qui au vrai sens se doivent expliquer des faveurs de la renomme.,,,,,,,,
Sur ceſte foy ie ne changeray, ny mon nom, ny mes penſees;,Sur cette foi je ne changerai, ni mon nom, ni mes pensées;,,,,,,,,
& veux ſortir ſans maſque deuant les plus cenſeurs des écoles les plus Chreſtiennes. ,et veux sortir sans masque devant les plus censeurs des écoles les plus Chrétiennes.,,,,,,,,,,,,
Ie ne ſçache, ny Latin, ny Francois, ny Vers, ny Proſe, qui redoute la preſſe, ny la lecture des plus delicats. ,Je ne sache, ni Latin, ni Français, ni Vers, ni Prose, qui redoute la presse, ni la lecture des plus délicats.
Ie parle pour la conſcience, car du ſtile & de l’imagination, ie ne ſuis, ny fort, ny preſomptueux:,Je parle pour la conscience, car du style et de l'imagination, je ne suis, ni fort, ni présomptueux:,,,,
& ceſte publication eſt pluſtoſt de l’humilité de mon ame, que de la vanité de mon eſprit. ,et cette publication est plutôt de l'humilité de mon âme, que de la vanité de mon esprit.,,,,,,,,,,
SVR LE TRAICTÉ DE l’Immortalité de l’ame de Monſieur Theophile de Viau. ,SUR LE TRAITÉ DE l’Immortalité de l'âme de Monsieur Théophile de Viau.,,,,,,,,,,,,
E Sprit, qui cherchez curieux Comment ſe meuuent tous les Cieux, ,E Sprit, qui cherchez curieux Comment se meuvent tous les Cieux, ,,,,,,,,
Et qui meſurez les Planettes:,Et qui mesurez les Planètes:,,,,,,,,,,,,
Hommes debiles de pouuoir, Qui dans le ſoin de tout ſçauoir Encore ignorez qui vous eſtes. ,Hommes débiles de pouvoir, Qui dans le soin de tout savoir Encore ignorez qui vous êtes.,,,,,,,,,,
Ne portez plus vos yeux ſi haut, Conſiderez en leur défaut Vos curioſitez extremes, Quittez le ſoin que vous prenez, ,Ne portez plus vos yeux si haut, Considérez en leur défaut Vos curiosités extrêmes, Quittez le soin que vous prenez, ,,,,,,
Et dans ce diſcours apprenez, A vous bien cognoiſtre vous-meſmes. ,Et dans ce discours apprenez, A vous bien connaître vous-mêmes.,,,,,,,,,,
S'eſt en vain que vous recherchez Les ſecrets qui vous ſont cachez:,S'est en vain que vous recherchez Les secrets qui vous sont cachez:,,,,,,,,,,,,
Si par cét air meſlé de flame, ,Si par cet air mêlé de flamme, ,,,,,,,,,,
Et par ces eternels reſſorts, Qui ſont mouuoir tout vostre corps, Vous ne recognoiſſez voſtre ame. ,Et par ces éternels ressorts, Qui sont mouvoir tout votre corps, Vous ne reconnaissez votre âme.,,,,,,,,
C’eſt par elle que nous viuons, C’eſt par elle que nous ſçauons Nostre bien & noſtre dommage:,C'est par elle que nous vivons, C'est par elle que nous savons Notre bien et notre dommage:,,,,,,,,,,
C’eſt elle qui dans ce bas lieu S’oſe dire ſemblable à Dieu, Comme eſtant ſa viuante image. ,C'est elle qui dans ce bas lieu S'ose dire semblable à Dieu, Comme étant sa vivante image.,,,,,,,,,,
Bien qu’elle ſoit ſans liberté Dans ce pauure corps agité Qu'elle ſouſtient, & qui la porte, Elle ayme ſi fort ſa priſon, Qu'elle défend à ſa raiſon De iamais en ouurir la porte. ,Bien qu'elle soit sans liberté Dans ce pauvre corps agité Qu'elle soutient, et qui la porte, Elle aime si fort sa prison, Qu'elle défend à sa raison De jamais en ouvrir la porte.,,,,,,
C’eſt ce que vous en pouuez voir:,C'est ce que vous en pouvez voir:,,,,,,,,,,,,
Mais ſi vous deſirez ſçauoir, Comme hors de ſon domicile Elle vit eternellement A la gloire, ou dans le tourment, Apprenez le de THEOPHILE. ,Mais si vous désirez savoir, Comme hors de son domicile Elle vit éternellement A la gloire, ou dans le tourment, Apprenez le de THÉOPHILE.,,,,,,
Ce diſcours qu’il en a tracé, Si docte, & ſi bien agencé, Montre qu’il ſçait bien ſon eſſence, Sa gloire, & ſon eternité, ,Ce discours qu'il en a tracé, Si docte, et si bien agencé, Montre qu'il sait bien son essence, Sa gloire, et son éternité, 
Et cét adueu de verité Fait enrager la mediſance. ,Et cet aveu de vérité Fait enrager la médisance.,,,,,,,,,,,,
A MONSIEVR THEOPHILE DE VIAV. ,À MONSIEUR THÉOPHILE DE VIAU.,,,,,,,,,,,,
E Sprits du feu, ſçauans Genies, Qui charmez de vos harmonies Tout ce qui vous peut écouter, ,E Sprits du feu, savants Génies, Qui charmez de vos harmonies Tout ce qui vous peut écouter, ,,,,,,
Et qui pouuez faire reſoudre L’ire meſme de Iupiter A n’vſer iamais de la foudre. ,Et qui pouvez faire résoudre L'ire même de Jupiter À n'user jamais de la foudre.,,,,,,,,,,,,
Poëtes qui nous enchantez par les doux airs que vous chantez Quand Amour en fait les paroles, Qui ne viuez que de plaiſirs, ,Poètes qui nous enchantez par les doux airs que vous chantez Quand Amour en fait les paroles, Qui ne vivez que de plaisirs, ,,,,,,,,
Et n’adorez que les Idoles. ,Et n'adorez que les Idoles.,,,,,,,,,,,,
De vos agreables deſirs. ,De vos agréables désirs.,,,,,,,,,,,,
Vous qui d’vne façon hardie Faites marcher la tragedie En ſa ponpeuſe grauité, ,Vous qui d'une façon hardie Faites marcher la tragédie En sa pompeuse gravité, ,,,,,,,,,,
Et qui d’vn los tout magnifique Conſacrez à l’eternité La grandeur d’vn acte heroïque. ,Et qui d'un los tout magnifique Consacrez à l'éternité La grandeur d'un acte héroïque.,,,,,,,,,,,,
Peintres dont les pinceaux parlans Auecques des traicts excellens Tirent choſes inuiſibles, Le bruict, les penſers, les accords, Les vents courroucez, ou paiſibles, ,Peintres dont les pinceaux parlants Avecques des traits excellents Tirent choses invisibles, Le bruit, les pensers, les accords, Les vents courroucés, ou paisibles, 
Et l’Ame au trauers de ſon corps. ,Et l'Âme au travers de son corps.,,,,,,,,,,,,
Vous qui dedans la ſolitude D’vn bois, d’vn antre, ou d’vn eſtude, Imaginez vos beaux eſcrits, Lors que la ſaincte Poëſie Vous anime, & vous rend épris De ſa plus douce freneſie. ,Vous qui dedans la solitude D'un bois, d'un antre, ou d'un étude, Imaginez vos beaux écrits, Lors que la sainte Poésie Vous anime, et vous rend épris De sa plus douce frénésie.,,
Venez rendre hommage en ce lieu A cét eſprit que voſtre Dieu Recognoit meſme pour ſon maiſtre:,Venez rendre hommage en ce lieu A cet esprit que votre Dieu Reconnaît même pour son maître:,,,,,,,,,,,,
Ployez tous icy les genoux, Vous deuez bien le recognoiſtre, Puis qu'vn Dieu l’a faict deuant vous. ,Ployez tous ici les genoux, Vous devez bien le reconnaître, Puis qu'un Dieu l'a fait devant vous.,,,,,,,,
Tirez à ce coup des merueilles De vos laborieuſes veilles, Pour honorer d’vn iuſte los Ce grand, & ce diuin Oracle, Où vont les plus hautes penſees, Demander audiance aux Dieux Pour en eſtre recompenſees. ,Tirez à ce coup des merveilles De vos laborieuses veilles, Pour honorer d'un juste los Ce grand, et ce divin Oracle, Où vont les plus hautes pensées, Demander audience aux Dieux Pour en être récompensées .,,,,
Que le Ciel ne m’a-t’il doüé D’vn eſprit qui fut aduoüé Du iugement le plus ſeuere, I’ecrirois les perfections De vostre Autheur que ie reuere, Sans me ſeruir de fictions. ,Que le Ciel ne m'a-t'il doué D'un esprit qui fut avoué Du jugement le plus sévère, J'écrirais les perfections De votre Auteur que je révère, Sans me servir de fictions.,,,,,,,,
Muſe, aurois-tu bien le courage D’entreprendre vn ſi grand ouurage?,Muse, aurais-tu bien le courage D'entreprendre un si grand ouvrage?,,,,,,,,,,
Sonde ta force, éprouue toy, Où l’on diroit voyant mon ſtile, Que pour faire parler de moy, Ie parlerois de THEOPHILE. ,Sonde ta force, éprouve toi, Où l'on dirait voyant mon style, Que pour faire parler de moi, Je parlerais de THÉOPHILE.,,,,
Arrestons nous doncques icy, ,Arrêtons nous doncques ici, ,,,,,,,,,,
Et ne ſoyons plus en ſoucy Comme i’accorderay ma Lire, Puis qu'à ce coup ſans en parler, Ie diray ce qu’on ne peut dire, ,Et ne soyons plus en souci Comme j'accorderai ma Lire, Puis qu'à ce coup sans en parler, Je dirai ce qu'on ne peut dire, ,,,,,,
Et que l’on ne doit pas celer. ,Et que l'on ne doit pas celer.,,,,,,,,,,,,
A MONSIEVR THEOPHILE DE VIAV. ,À MONSIEUR THÉOPHILE DE VIAU.,,,,,,,,,,,,
T Oy qui te ſens louër, qui reçois de la vie Ceſte ſeule faueur, qui vient apres la mort, THEOPHILE, iouy librement de ce ſort, Qui te met au deſſus du pair & de l’enuie. ,T Oi qui te sens louer, qui reçois de la vie Cette seule faveur, qui vient après la mort, THEOPHILE, jouis librement de ce sort, Qui te met au dessus du pair et de l'envie.,,
Quand ton ame ſera de la Parque rauie, Dés qu'elle aura franchy ce naturel effort, Vn ſoucy plus diuin la ſaiſira d’abord, ,Quand ton âme sera de la Parque ravie, Dés qu'elle aura franchi ce naturel effort, Un souci plus divin la saisira d'abord, ,,,,,,
Et ta ioye en ſera pleinement aſſouuie. ,Et ta joie en sera pleinement assouvie.,,,,,,,,,,,,
Tu foleras aux pieds les feux & les deſtins, Tous les Dieux à l’envy te feront des feſtins:,Tu fouleras aux pieds les feux et les destins, Tous les Dieux à l'envi te feront des festins:,,,,,,,,,,
Mais ſi la ſoif te prẽd, ſi ta bouche s’allume, Quel breuage aſſez doux fera rire tes yeux, Puis qu'estant icy bas, tu fais boire à ta plume Ce qui ſe boit au Ciel de plus delicieux?,Mais si la soif te prend, si ta bouche s'allume, Quel breuvage assez doux fera rire tes yeux, Puis qu'étant ici-bas, tu fais boire à ta plume Ce qui se boit au Ciel de plus délicieux?,,,,
A MONSIEVR THEOPHILE DE VIAV, Sur ſa Paraphraſe de la mort de Socrate, ou de l'Immortalité de l'Ame. ,À MONSIEUR THÉOPHILE DE VIAU, Sur sa Paraphrase de la mort de Socrate, ou de l'Immortalité de l'Âme.,,,,,,,,
ODE. ,ODE.,,,,,,,,,,,,
T OY qui leuant le cœur aux Cieux, Iadis remercias les Dieux, D’estre HOMME, d'eſtre GREC, & SAGE:,T OI qui levant le cœur aux Cieux, Jadis remercias les Dieux, D'être HOMME, d'être GREC, et SAGE:,,,,
