PHylis tout eſt ... outu, ie meurs de la verolle,	PHylis tout est ...outu, je meurs de la vérole,		
Elle exerce ſur moy ſa derniere rigueur.	Elle excerce sur moi la dernière rigueur.		
Mon V. baiſſe la teſte & n'a point de vigueur	Mon V. baisse la tête et n'a point de vigueur		
Vn vlcere puant a gaſté ma parole.	Un ulcère puant a gâté ma parole.		
I'ay ſué trente iours, i'ay vomy de la colle	J'ai sué trente jours, j'ai vomi de la colle		
Iamais de ſi grands maux n'eurent tant de longueur	Jamais de si grands maux n'eurent tant de longueur		
L'eſprit le plus conſtant fut mort à ma langueur,	L'esprit le plus constant fut mort à ma langueur,		
Et mon affliction n'a rien qui la conſole,	Et mon affliction n'a rien qui la console,		
Mes amis plus ſecrets ne m'oſent approcher,	Mes amis plus secrets ne m'osent approcher,		
Moy-meſme en ceſt eſtat ie ne m'oſe toucher,	Moi-même en cet état je ne m'ose toucher,		
Philis le mal me vient de vous auoir ...tuë.	Philis le mal me vient de vous avoir ...tue.		
Mon Dieu ie me repens d'auoir ſi mal veſcu:	Mon Dieu je me repens d'avoir si mal vécu:		
Et ſi voſtre courroux à ce coup ne me tuë	Et si votre courroux à ce coup ne me tue,		
Je fais veu deſormais de ne ...tre qu'en cu.	Je fais vœu désormais de ne ...tre qu'en cu.		
Vous qui cenſurez la Satyre,	Vous qui censurez la Satyre,		
Bien que pour vous la faire lire	Bien que pour vous la faire lire		
On a tant de difficulté,	On a tant de difficulté,		
Ne donnez vous pas vn indice	Ne donnez vous pas un indice		
En fuyant le blaſme du vice,	En fuyant le blâme du vice,		
Que vous aymez l'impieté.	Que vous aimez l'impiété.		
Nos vers ſont plains d'inſtruction	Nos vers sont pleins d'instruction		
Blaſmans la ſalle affection,	Blâmant la sale affection		
Mais ne les liſez pas mes Dames,	Mais ne les lisez pas mesdames,		
Pour attiſer dedans vos cœurs	Pour attiser dedans vos cœurs		
Ces trop illegitimes flames,	Ces trop illégitimes flammes,		
Argumens de nos vers mocqueurs,	Arguments de nos vers moqueurs,		
Autrement vos intemperances	Autrement vos intempérances		
Vous faiſant iuſtement mocquer,	Vous faisant justement moquer,		
Viendroient contre vous prouoquer	Viendraient contre vous provoquer		   
Nos plus gaillardes mediſances.	Nos plus gaillardes médisances.		
PVis que voſtre Ame fut d'eſpouuante ſuiuie,	PUisque votre Âme fut d'épouvante suivie,		
Belles de qui les yeux nous tiennent aſſeruis,	Belles de qui les yeux nous tiennent asservis,		
A preſent que l'Amour nous redonne la vie,	À présent que l'amour nous redonne la vie		
Approchez prés de nous, afin que l'on publie,	Approchez près de nous, afin que l'on publie,		
Si vous fuyez les morts que vous cherchez les vis.	Si vous fuyez les morts que vous cherchez les vis.		
QVelle fieure auez-vous Paſquette	QUelle fièvre avez-vous Pasquette		
Qui vous rend le teint ſi deffait.	Qui vous rend le teint si défait.		
C'eſt le deſir d'vne brayette,	C'est le désir d'une brayette,		
Dont ie ne puis auoir l'effet.	Dont je ne puis avoir l'effet.		
