FABLES, OV HISTOIRES ALLEGORIQVES.	FABLES, OU HISTOIRES ALLÉGORIQUES.
FABLE PREMIERE.	FABLE PREMIÈRE.
La Tourterelle, & le Ramier.	La Tourterelle, et le Ramier.
QU’on ne me parle plus d’Amour, ny de Plaiſirs,	Qu’on ne me parle plus d’Amour, ni de Plaisirs,
Diſoit un jour la triſte Tourterelle,	Disait un jour la triste Tourterelle,
Conſacrez-vous mon Ame, à d’eternels ſoûpirs :	Consacrez-vous mon Âme, à d’éternels soupirs:
J’ay perdu mon Amant fidelle.	J’ai perdu mon Amant fidèle.
Arbres, Ruiſſeaux, Gazons delicieux,	Arbres, Ruisseaux, Gazons délicieux,
Vous n’avez plus de charmes pour mes yeux,	Vous n’avez plus de charmes pour mes yeux,
Mon Amant a ceſsé de vivre.	Mon Amant a cessé de vivre.
Qu’attendons-nous mon cœur ? Hâtons-nous de le ſuivre.	Qu’attendons-nous mon cœur? Hâtons-nous de le suivre.
Comme on l’euſt dit, autresfois on l’euſt fait.	Comme on l’eût dit, autrefois on l’eût fait.
Quand nos Peres vouloient peindre un Amour parfait,	Quand nos Pères voulaient peindre un Amour parfait,
La Tourterelle en eſtoit le ſymbole,	La Tourterelle en était le symbole,
Elle ſuivoit toûjours ſon Amant au trépas,	Elle suivait toujours son Amant au trépas,
Mais la mode change icy-bas,	Mais la mode change ici-bas,
De cette conſtance frivole.	De cette constance frivole.
Le Deſeſpoir a perdu ſon credit,	Le Désespoir a perdu son crédit,
Et Tourterelle ſe conſole,	Et Tourterelle se console,
S’il faut tenir pour vray, ce que ma Fable en dit.	S’il faut tenir pour vrai, ce que ma Fable en dit.
Elle pretend, que cette Deſolée,	Elle prétend, que cette Désolée,
A ſa juſte douleur, voulant eſtre immolée,	À sa juste douleur, voulant être immolée,
Choiſit un vieux Palais, vray ſejour de Hiboux ;	Choisit un vieux Palais, vrai séjour de Hiboux;
Où ſans chercher aucune nourriture,	Où sans chercher aucune nourriture,
Un prompt trépas eſtoit, ſon eſpoir le plus doux ;	Un prompt trépas était, son espoir le plus doux;
Mais qui ne ſçait, qu’en toute conjoncture,	Mais qui ne sait, qu’en toute conjoncture,
La Providence eſt plus ſage que nous ?	La Providence est plus sage que nous?
Dans cette demeure ſauvage,	Dans cette demeure sauvage,
Habitoit un jeune Ramier,	Habitait un jeune Ramier,
Houpé, patu, de beau plumage,	Houpé, pattu, de beau plumage,
Et quoy que jeune, vieux Routier	Et quoi que jeune, vieux Routier
Dans l’Art de ſoulager, les douleurs du veuvage.	Dans l’Art de soulager, les douleurs du veuvage.
Pour noſtre Tourterelle, il mit courtoiſement,	Pour notre Tourterelle, il mit courtoisement,
Ses plus beaux ſecrets en uſage.	Ses plus beaux secrets en usage.
La Pauvrette au commencement,	La Pauvrette au commencement,
Loin de preſter l’oreille à ſon langage,	Loin de prêter l’oreille à son langage,
Ne vouloit pas, ſe montrer ſeulement :	Ne voulait pas, se montrer seulement:
Mais le Ramier, parlant de deffunt ſon Amant,	Mais le Ramier, parlant de défunt son Amant,
Inſenſiblement il l’engage,	Insensiblement il l’engage,
A recevoir ſon compliment.	À recevoir son compliment.
Ce compliment fut d’une grande force,	Ce compliment fut d’une grande force,
Il diſoit du deffunt, toute ſorte de bien,	Il disait du défunt, toute sorte de bien,
Ne blâmoit la Veuve de rien ;	Ne blâmait la Veuve de rien;
Bref, c’eſtoit une douce amorce,	Bref, c’était une douce amorce,
Pour attirer un plus long entretien.	Pour attirer un plus long entretien.
Voilà donc la belle Affligée,	Voilà donc la belle Affligée,
En tendres propos engagée :	En tendres propos engagée:
Elle tombe ſur le diſcours,	Elle tombe sur le discours,
De l’hiſtoire de ſes Amours :	De l’histoire de ses Amours:
Dépeint, non ſans cris, & ſans larmes,	Dépeint, non sans cris, et sans larmes,
Du pauvre Trépaſsé, les vertus & les charmes :	Du pauvre Trépassé, les vertus et les charmes:
Et ne croyant par là, que flater ſa douleur,	Et ne croyant par là, que flatter sa douleur,
Elle apprit au Ramier, le chemin de ſon cœur.	Elle apprit au Ramier, le chemin de son cœur.
Par ce que le Deffunt avoit fait pour luy plaire,	Par ce que le Défunt avait fait pour lui plaire,
Il comprit ce qu’il faloit faire.	Il comprit ce qu’il fallait faire.
Il estoit copiſte entendu,	Il était copiste entendu,
Il ſçeut ſi dextrement, imiter ſon modelle,	Il sut si dextrement, imiter son modèle,
Que dans peu noſtre Tourterelle,	Que dans peu notre Tourterelle,
Crût retrouver en luy, ce qu’elle avoit perdu.	Crut retrouver en lui, ce qu’elle avait perdu.
FABLE II.	FABLE II.
Le Singe Cupidon.	Le Singe Cupidon.
UN vieux Singe des plus adrois,	Un vieux Singe des plus adroits,
