TO THE QUEEN. 	TO THE QUEEN.
MADAM, T is the Fate of Henry the Fourth to to be protected by QUEENS of England. 	MADAM, T is the Fate of Henry the Fourth to to be protected by QUEENS of England.
He was aſſiſted by that famous Elizabeth, who was in her Age the Glory of her Sex, and the Pattern of Sovereigns. 	He was assisted by that famous Elizabeth, who was in her Age the Glory of her Sex, and the Pattern of Sovereigns.
By whom can his Memory be ſo well protected, as by her in whom Elizabeth revives ?	By whom can his Memory be so well protected, as by her in whom Elizabeth revives?
YOUR MAJESTY will find in this Book, bold impartial Truths;	YOUR MAJESTY will find in this Book, bold impartial Truths;
Morality unſtained with Superſtition;	Morality unstained with Superstition;
a Spirit of Liberty, equally abhorrent of Rebellion, and of Tyranny;	a Spirit of Liberty, equally abhorrent of Rebellion, and of Tyranny;
the Rights of Kings always aſſerted, and thoſe of Mankind never laid aſide. 	the Rights of Kings always asserted, and those of Mankind never laid aside.
The ſame Spirit in which it is written, gave me the Confidence to offer it to the virtuous Conſort of a King, who among ſo many crowned Heads, enjoys, almoſt alone, the ineſtimable Honour of ruling a Free Nation, a King who makes his Power conſiſt in being beloved, and his Glory in being juſt. 	The same Spirit in which it is written, gave me the Confidence to offer it to the virtuous Consort of a King, who among so many crowned Heads, enjoys, almost alone, the inestimable Honour of ruling a Free Nation, a King who makes his Power consist in being beloved, and his Glory in being just.
Our Deſcartes, who was the greateſt Philoſopher in Europe, before Sir Iſaac Newton appeared, dedicated his Principles to the celebrated Princeſs Palatine Elizabeth;	Our Descartes, who was the greatest Philosopher in Europe, before Sir Isaac Newton appeared, dedicated his Principles to the celebrated Princess Palatine Elizabeth;
not, ſaid he, becauſe ſhe was a Princeſs, for true Philoſophers reſpect Princes, and never flatter them;	not, said he, because she was a Princess, for true Philosophers respect Princes, and never flatter them;
but becauſe, of all his Readers ſhe underſtood him the beſt, and loved Truth the moſt. 	but because, of all his Readers she understood him the best, and loved Truth the most.
I beg Leave, MADAM, ( without comparing my ſelf to Deſcartes) to dedicate the HENRIADE to YOUR MAJESTY, in ſome meaſure, upon the like Account;	I beg Leave, MADAM, (without comparing my self to Descartes) to dedicate the HENRIADE to YOUR MAJESTY, in some measure, upon the like Account;
not only as the Protectreſs of all Arts and Sciences, but as the beſt Judge of them. 	not only as the Protectress of all Arts and Sciences, but as the best Judge of them.
I am with that ſincere Veneration, which is due to the higheſt Virtue, as well as to the higheſt Rank, May it pleaſe YOUR MAJESTY, YOUR MAJESTY's moſt humble, moſt dutiful, moſt obliged Servant, VOLTAIRE. 	I am with that sincere Veneration, which is due to the highest Virtue, as well as to the highest Rank, May it please YOUR MAJESTY, YOUR MAJESTY's most humble, most dutiful, most obliged Servant, VOLTAIRE.
LA HENRIADE. 	LA HENRIADE.
CHANT PREMIER. 	CHANT PREMIER.
J E chante, ce Héros, qui règna dans la France, 	JE chante, ce Héros, qui régna dans la France, 
Et par droit de conquête, & par droit de naiſſance, Qui par de longs travaux apprit à gouverner, Qui formidable & doux, ſut vaincre & pardonner, Confondit & Mayenne, & la Ligue, & l’Ibere, 	Et par droit de conquête, et par droit de naissance, Qui par de longs travaux apprit à gouverner, Qui formidable et doux, sut vaincre et pardonner, Confondit et Mayenne, et la Ligue, et l'Ibère, 
Et fut de ſes ſujets le vainqueur & le pere. 	Et fut de ses sujets le vainqueur et le père.
B Je t’implore aujourd’huy ſévère vérité. 	B Je t'implore aujourd'hui sévère vérité.
Répans ſur mes écrits ta force & ta clarté. 	Répands sur mes écrits ta force et ta clarté.
Que l’oreille des Rois s’accoutume à t’entendre. 	Que l'oreille des Rois s'accoutume à t'entendre.
C’eſt à toi d’annoncer ce qu’ils doivent apprendre. 	C'est à toi d'annoncer ce qu'ils doivent apprendre.
C’eſt à toy de montrer aux yeux des nations, Les coupables effets de leurs diviſions. 	C'est à toi de montrer aux yeux des nations, Les coupables effets de leurs divisions.
Dis comment la diſcorde a troublé nos Provinces;	Dis comment la discorde a troublé nos Provinces;
Dis les malheurs du peuple, & les fautes des Princes. 	Dis les malheurs du peuple, et les fautes des Princes.
Viens, parle;	Viens, parle;
& s'il eſt vray que la fable autrefois Sut à tes fiers accents mêler ſa douce voix, Si ſa main délicate orna ta tête altiere, Si ſon ombre embellit les traits de ta lumiere;	et s'il est vrai que la fable autrefois Sut à tes fiers accents mêler sa douce voix, Si sa main délicate orna ta tête altière, Si son ombre embellit les traits de ta lumière;
Avec moi ſur tes pas permets lui de marcher, Pour orner tes attraits, & non pour les cacher. 	Avec moi sur tes pas permets lui de marcher, Pour orner tes attraits, et non pour les cacher.
V ALOIS règnoit encore, & ſes mains incertaines, De l'Etat ébranlé laiſſoient flotter les rênes. 	V ALOIS régnait encore, et ses mains incertaines, De l'État ébranlé laissaient flotter les rênes.
Ses eſprits languiſſoient par la crainte abatus. 	Ses esprits languissaient par la crainte abattus.
Ou plutôt en effet Valois ne règnoit plus. 	Ou plutôt en effet Valois ne régnait plus.
Ce n’étoit plus ce Prince environné de gloire, Aux combats dès l’enfance inſtruit par la victoire, Dont l’Europe en tremblant regardoit les progrès, 	Ce n'était plus ce Prince environné de gloire, Aux combats dès l'enfance instruit par la victoire, Dont l'Europe en tremblant regardait les progrès, 
