OUY, Sunnon, je le veux, je l’attens de ton zele,	Oui, Sunnon, je le veux, je l’attends de ton zèle,
Parle, trace à mes yeux la peinture fidelle	Parle, trace à mes yeux la peinture fidèle
Des ſentimens divers du Peuple & des Soldats.	Des sentiments divers du Peuple et des Soldats.
Seigneur.....	Seigneur…
Parle te dis-je, & ne me flatte pas.	Parle te dis-je, et ne me flatte pas.
Je ſçay que le traité que je viens de conclure	Je sais que le traité que je viens de conclure
De la plûpart des miens excite le murmure,	De la plupart des miens excite le murmure,
Que ne penêtrant point dans mes juſtes deſſeins	Que ne pénétrant point dans mes justes desseins,
On me voit à regret dans le Camp des Romains,	On me voit à regret dans le Camp des Romains,
Je le ſçay, dy le reſte, il ne me faut rien taire.	Je le sais, dis le reste, il ne me faut rien taire.
Puiſque vous m’ordonnez, Seigneur, d’eſtre ſincere,	Puisque vous m’ordonnez, Seigneur, d’être sincère,
Je ne vous cele point que de ce changement	Je ne vous cèle point que de ce changement
Les Peuples étonnez cherchent le fondement;	Les Peuples étonnés cherchent le fondement;
Quoy Segeſte, dit-on, par qui la Germanie	Quoi Ségeste, dit-on, par qui la Germanie
Juſqu’icy des Romains brava la tyrannie,	Jusqu’ici des Romains brava la tyrannie,
Qui de flots de leur ſang couvrit nos Champs vingt fois,	Qui de flots de leur sang couvrit nos Champs vingt fois,
Qui fit trembler le Tybre au bruit de ſes exploits,	Qui fit trembler le Tibre au bruit de ses exploits,
Ce Segeſte aujourd’huy peut étouffer ſa haine?	Ce Ségeste aujourd’hui peut étouffer sa haine?
Et mêler ſes Drapeaux avec l’Aigle Romaine?	Et mêler ses drapeaux avec l’Aigle Romaine?
Je fais plus. Du Senat je brigue la faveur,	Je fais plus. Du Sénat je brigue la faveur,
Son eſtime eſt pour moy le comble du bon-heur,	Son estime est pour moi le comble du bonheur,
Et c’eſt avec plaiſir que j’entens qu’il me nomme	Et c’est avec plaisir que j’entends qu’il me nomme
Allié de l’Empire, & Citoyen de Rome,	Allié de l’Empire, et Citoyen de Rome,
Je regarde ces noms comme un illuſtre prix:	Je regarde ces noms comme un illustre prix:
Toy même à ce diſcours tu me parois ſurpris!	Toi-même à ce discours tu me parais surpris!
Mais aprens les raiſons de ce qu’on m’a vû faire,	Mais apprends les raisons de ce qu’on m’a vu faire,
Et ne condamne plus une paix neceſſaire.	Et ne condamne plus une paix nécessaire.
Les Dieux me ſont témoins que dans tous mes deſſeins,	Les Dieux me sont témoins que dans tous mes desseins,
Me propoſant pour bût le ſalut des Germains	Me proposant pour but le salut des Germains
Sans regarder jamais ma grandeur ny ma gloire,	Sans regarder jamais ma grandeur ni ma gloire
J'ay combatu pour eux & cherché la victoire;	J’ai combattu pour eux et cherché la victoire;
Pendant plus de vingt ans par un heureux effort	Pendant plus de vingt ans par un heureux effort
Entre l’Empire & moy j'ay ſuſpendu le ſort;	Entre l’Empire et moi j’ai suspendu le sort;
Mais dans ce même temps Rome eſtoit occupée	Mais dans ce même temps Rome était occupée
A la perte d’Antoine ou du jeune Pompée,	À la perte d’Antoine et du jeune Pompée,
Et ſes Chefs diviſez par leurs propres fureurs	Et les Chefs divisés par leurs propres fureurs
Nous laiſſoient aiſément reculer nos mal-heurs,	Nous laissaient aisément reculer nos malheurs,
Maintenant que par tout regne une paix profonde	Maintenant que partout règne une paix profonde
Qu'Auguſte ſous ſes loix fait trembler tout le monde,	Qu’Auguste sous ses lois fait trembler tout le monde,
Devois-je attendre icy qu’il raſſemblât ſur nous	Devais-je attendre ici qu’il rassemblât sur nous
Tout l’effort, tous les traits de ſon vaſte courroux?	Tout l’effort, tous les traits de son vaste courroux?
J’ay cru devoir ceder, puiſqu’un leger hommage	J’ai cru devoir céder, puisqu’un léger hommage
M'aſſuroit le repos & détournoit l’orage,	M’assurait le repos et détournait l’orage,
Ce n’eſt pas que ſouvent un reſte de fierté	Ce n’est pas que souvent un reste de fierté
Ne m’ait preſque contraint de rompre le traité,	Ne m’ait presque contraint de rompre le traité,
Mais de mille Heros la perte encore éclate;	Mais de mille Héros la perte encore éclate;
Et qu’ont fait contre Rome Annibal, Mithridate,	Et qu’ont fait contre Rome, Annibal, Mithridate,
Nicomede, Pirrus, tant d’autres Rois fameux?	Nicomède, Pyrrhus, tant d’autres rois fameux?
Eſtois-je plus puiſſant? eſtois-je plus heureux!	Étais-je plus puissants? étais-je plus heureux!
J'ay ſauvé mes Etats en finiſſant la guerre,	J’ai sauvé mes États en finissant la guerre,
Et quand je me ſoûmets avec toute la terre,	Et quand je me soumets avec toute la terre,
J’obeïs aux decrets des Dieux & du deſtin	J’obéis aux décrets des Dieux et du destin
Qui veulent que tout cede à l’Empire Romain.	Qui veulent que tout cède à l’Empire Romain.
Je croy de cette Paix les cauſes legitimes;	Je crois de cette Paix les causes légitimes;
Des Princes vos voiſins vous ſuivez les maximes;	Des Princes vos voisins vous suivez les maximes;
Cependant ſi je puis en vous obeïſſant	Cependant si je puis en vous obéissant
Vous oppoſer, Seigneur, un interẽt puiſſant,	Vous opposer, Seigneur, un intérêt puissant,
J'oſeray dire encor qu’une immortelle gloire	J’oserai dire encore qu’une immortelle gloire
Auroit à l’avenir tranſmis vôtre memoire,	Aurait à l’avenir transmis votre mémoire,
Si voyant l’Univers par les Romains dompté	Si voyant l’Univers par les Romains dompté
Vous ſeul aviez joüy de vôtre liberté	Vous seul aviez joui de votre liberté
Pour abattre l’orgueil & le pouvoir de Rome,	Pour abattre l’orgueil et le pouvoir de Rome,
