Il eſt icy traité d'aucunes Iuriſdictions royales, & d'autres non royales & ſubalternes.	Il est ici traité d’aucunes Juridictions royales, et d’autres non royales et subalternes.
Pour les royales, il n'eſt parlé que du Bailly & du Viconte qui ſont	Pour les royales, il n’est parlé que du Bailly et du Vicomte qui sont
dits communement les iuges ordinaires.	dits communément les juges ordinaires.
Les Iuriſdictions ſubalternes ſont celles des Seigneurs :	Les Juridictions subalternes sont celles des Seigneurs :
Il y en a de deux eſpeces, la haute & la baſſe Iuſtice.	Il y en a de deux espèces, la haute et la basse Justice.
La haute iuſtice eſt conſideree en deux ſortes.	La haute justice est considérée en deux sortes.
Il y en a dont les appellations reſſortiſſent par deuant les Baillys royaux, autres reſſortiſſent à la Cour.	Il y en a dont les appellations ressortissent par devant les Baillis royaux, autres ressortissent à la Cour.
La baſſe Iuſtice eſt celle qui appartient aux Seigneurs de fief, qui la font exercer par leurs	La basse Justice est celle qui appartient aux Seigneurs de fief, qui la font exercer par leurs
Seneſchaux pour le payement de leurs rentes, & pour les cas portez en l’article 24.	Sénéchaux pour le paiement de leurs rentes, et pour les cas portés en l’article 24.
de ceſte Couſtume & les ſuyuans.	de cette Coutume et les suivants.
ARTICLE I.	ARTICLE I.
Le Bailly ou ſon Lieutenant connoiſt de tous crimes en premiere inſtance.	Le Bailly ou son Lieutenant connaît de tous crimes en première instance.
LE BAILLY.	LE BAILLY.
Bailly eſt vn mot ancien qui vient de bail ou baillie, qu'on dit ſignifier garde & protection, & Bailly gardien, comme Charondas en ſes Pandectes, Bouteiller en ſa Somme Rural, & Guenois en la Conference des Couſtumes generales en traittent l’origine & office plus au long, & ſe liſent au cors du decret canonique pluſieurs chapitres & reſcrits faiſans mention de cet office & de celuy du Viconte.	Bailly est un mot ancien qui vient de bail ou baillie, qu’on dit signifier garde et protection, et Bailly gardien, comme Charondas en ses Pandectes, Bouteiller en sa Somme Rural, et Guenois en la Conférence des Coutumes générales en traitent l’origine et office plus au long, et se lisent au cors du secret canonique plusieurs chapitres et rescrits faisant mention de cet office et de celui du Vicomte.
Matthæus de Afflictis ſur les conſtitutions Neapolitaines, & ceux qui ont traité de Rebus Siculis rapportent que ces Iuriſdictions de Bailly & Viconte ont eſté eſtablies en Italie & Sicile par les Normans.	Matthæus de Afflictis sur les constitutions Napolitaines, et ceux qui ont traité de Rebus Siculis rapportent que ces Juridictions de Bailly et Vicomte ont été établies en Italie et Sicile par les Normands.
Entre les offices & charges d'vne Abbaye le Bailly eſt dit celuy qui a la garde des titres & enſeignemens.	Entre les offices et charges d’une Abbaye le Bailly est dit celui qui a la garde des titres et enseignements.
Bailliſtre dans les Ordonnances & la plus part des Couſtumes des autres prouinces eſt pris pour tuteur ou curateur.	Baillistre dans les Ordonnances et la plus part des Coutumes des autres provinces est pris pour tuteur ou curateur.
Ainſi le Bailly eſt comme le tuteur du peuple & le gardien & conſeruateur des loix auquel les Roys en commettent l'execution, & luy donnent pleine Iuriſdiction.	Ainsi le Bailly est comme le tuteur du peuple et le gardien et conservateur des lois auquel les Rois en commettent l’exécution, et lui donnent pleine Juridiction.
& le plet de l’eſpee,ainſi que portoit le vieil liure appellé Couſtumier, c'eſt à dire en droit ius gladij meri ac mixti Imperij.	et le plaid de l’épée, ainsi que portait le vieil livre appelé Coutumier, c’est à dire en droit ius gladij meri ac mixti Imperij.
Les appellations des Baillys en Normandie reſſortiſſoyent anciennement en	Les appellations des Baillis en Normandie ressortissaient anciennement en
l'Eſchiquier :	l’Échiquier :
mais dautant qu'il ne tenoit pas fouuent, le grand Seneſchal qui alloit par la prouince de trois ans en trois ans, connoiſſoit par forme de reformation & prouiſion, en attendant la tenuë de l'Eſchiquier, des cauſes & matieres iugees par le Bailly & Viconte, comme il ſe void audit ancien Couſtumier & en la gloſe au titre du Seneſchal au Duc.	mais d’autant qu’il ne tenait pas souvent, le grand Sénéchal qui allait par la province de trois ans en trois ans, connaissait par forme de reformation et provision, en attendant la tenue de l’Échiquier, des causes et matières jugées par le Bailly et Vicomte, comme il se void audit ancien Coutumier et en la glose au titre du Sénéchal au Duc.
Auenant vacation de l'eſtat de Bailly de Roüen le Bailliage eſt en la garde du procureur general du Roy, lequel peut tenir la Iuriſdiction du Bailliage, & a partie des gages, penſions & émolumens appartenans au Bailly durāt la vacation.	Avenant vacation de l’état de Bailly de Rouen le Bailliage est en la garde du procureur général du Roi, lequel peut tenir la Juridiction du Bailliage, et a partie des gages, pensions et émoluments appartenants au Bailly durant la vacation.
Ainſi fut pratiqué apres le decez de M. de Villebon Bailly de Roüen par M. Pericard lors procureur general du Roy, lequel nonobſtant le contredit & empeſchement du ſieur de Breuedent lieutenant general du Bailly fut mis en poſſeſſion & exercice dudit Bailliage par le premier huiſſier de la Cour en vertu de l'arreſt du 20. Aouſt 1565.	Ainsi fut pratiqué après le décès de M. de Villebon Bailly de Rouen par M. Péricard lors procureur général du Roy, lequel nonobstant le contredit et empêchement du sieur de Brévedent lieutenant général du Bailly fut mis en possession et exercice dudit Bailliage par le premier huissier de la Cour en vertu de l’arrêt du 20. Août 1565.
