ENFIN bornant le cours de ses galanteries,	ENFIN bornant le cours de ses galanteries,
Alcippe, il eſt donc vray, dans peu tu te maries.	Alcippe, il est donc vrai, dans peu tu te maries.
Ton Beaupere futur vuide ſon coffre fort:	Ton Beau-père futur vide son coffre-fort:
Et déjà le Notaire a, d'un stile energique	Et déjà le Notaire a, d’un style énergique
C'eſt bien fait. Il eſt temps de fixer tes déſirs.	C’est bien fait. Il est temps de fixer tes désirs.
Ainsi que ſes chagrins l'Hymen a ſes plaiſirs.	Ainsi que ses chagrins l’Hymen a ses plaisirs.
Quelle joye en effet; Quelle douceur extrême!	Quelle joie en effet; Quelle douceur extrême!
De ſe voir careſſer d'une Epousequ'on aime:	De se voir caresser d’une Épouse qu’on aime:
De s'entendre appeller petit Cœur, ou mon Bon;	De s’entendre appeller petit Cœur, ou mon Bon;
De voir autour de ſoi croiſtre dans ſa maiſon,	De voir autour de soi croître dans sa maison,
De petits citoyens dont on croit eſtre Pere!	De petits citoyens dont on croit être Père!
Quel charme! au moindre mal qui vient menacer,	Quel charme! au moindre mal qui vient menacer,
S’effrayer d’un peril qui n'a point d’apparence,	S’effrayer d’un péril qui n’a point d’apparence,
Et ſouvent de douleur ſe paſmer par avance.	Et souvent de douleur se pâmer par avance.
Car tu ne ſeras point de ces Jaloux affreux,	Car tu ne seras point de ces Jaloux affreux,
Habiles à ſe rendre inquiets, malheureux,	Habiles à se rendre inquiets, malheureux,
Qui tandis qu'une Epouſe à leurs yeux ſe deſole,	Qui tandis qu’une Épouse à leurs yeux se désole,
Penſent toûjours qu'un autre en ſecret la conſole.	Pensent toujours qu’un autre en secret la console.
Charmé de Juvenal *, & plein de ſon esprit	Charmé de Juvénal *, et plein de son eſprit
Venez-vous, diras-tu, dans une piece outrée,	Venez-vous, diras-tu, dans une pièce outrée,
La Chaſteté déja, la rougeur ſur le front,	La Chasteté déjà, la rougeur sur le front,
Avoit chés les Humains receu plus d’un affront:	Avait chez les Humains reçu plus d’un affront:
Qu'on vid avec le fer naiſtre les Injuſtices,	Qu’on vit avec le fer naître les Injustices,
L'Impieté, l’Orgueil,& tous les autres Vices,	L’Impiété, l’Orgueil, et tous les autres vices,
Mais que la Bonne foy dans l’amour conjugal	Mais que la Bonne foi dans l’amour conjugal
N’alla point juſqu’au temps du troiſiéme Metal?	N’alla point jusqu’au temps du troisième Métal?
Mais je vous diray, moi, ſans alleguer la fable:	Mais je vous dirai, moi, sans alléguer la fable:
Que ſi ſous Adam meſme & loin avant Noë,	Que si sous Adam même et loin avant Noé,
Il demeura pourtant de l’honneur ſur la Terre:	Il demeura pourtant de l’honneur sur la Terre:
Qu'aux temps les plus feconds en Phrynés, en Lays	Qu’aux temps les plus féconds en Phrynés, en Laïs
Plus d’une Penelope honora ſon pays,	Plus d’une Pénélope honora son pays,
Et que meſme aujourd'hui, ſur ces fameux modeles,	Et que même aujourd’hui, sur ces fameux modèles,
On peut trouver encor quelques Femmes fideles.	On peut trouver encor quelques femmes fidèles.
Sans doute, & dans Paris, ſi je ſçay bien compter,	Sans doute, et dans Paris, si je sais bien compter,
Ton Epouſe dans peu ſera la quatriéme.	Ton Épouse dans peu sera la quatrième.
Je le veux croire ainſi: Mais la Chaſteté meſme	Je le veux croire ainsi: Mais la Chasteté même
De retour d’un voiage, en arrivant, croy moy,	De retour d’un voyage, en arrivant, crois-moi,
Fais toûjours du logis avertir la maiſtreſſe.	Fais toujours du logis avertir la maîtresse.
Tel partit tout baigné des pleurs de ſa Lucreſſe,	Tel partit tout baigné des pleurs de sa Lucresse,
Qui faute d’avoir pris ce ſoin judicieux,	Qui faute d’avoir pris ce soin judicieux,
Trouva. Tu ſçais... Je ſçay que d’un conte odieux	Trouva. Tu sais... je sais que d’un conte odieux
Vous avés comme moy ſali voſtre memoire.	Vous avez comme moi sali votre mémoire.
Du projet d’un Hymen déja fort avancé,	Du projet d’un Hymen déjà fort avancé,
Devant vous aujourd'hui criminel denoncé,	Devant vous aujourd’hui criminel denoncé,
Je voy bien tout de bon qu’il faut que je m'explique.	Je vois bien tout de bon qu’il faut que je m’explique.
Jeune autrefois par vous dans le monde conduit	Jeune autrefois par vous dans le monde conduit
J'ay trop bien profité, pour n'eſtre pas inſtruit	J’ai trop bien profité, pour n’être pas instruit
A quels diſcours malins le Mariage expoze.	À quels discours malins le mariage expose.
Je ſçai, que c’eſt un texte où chacun fait ſa gloze:	Je sais, que c’est un texte où chacun fait sa glose:
Que de Maris trompés tont rit dans l'Univers,	Que de Maris trompés tont rit dans l’Univers,
Satire, Comedie, & ſur cette matiere,	Satire, Comédie, et sur cette matière,
J'ay veû tout ce qu’ont fait La Fontaine & Moliere,	J’ai vu tout ce qu’ont fait La Fontaine et Molière,
Arioſte, Marot, Bocace, Rabelais,	Arioste, Marot, Boccace, Rabelais,
Et tous ces vieux Recueils de Satires naives	Et tous ces vieux Recueils de Satires naïves
Des malices du Sexe immortelles archives.	Des malices du Sexe immortelles archives.
Mais, tout bien balancé, j’ay pourtant reconnu,	Mais, tout bien balancé, j’ai pourtant reconnu,
Que de ces contes vains le monde entretenu	Que de ces contes vains le monde entretenu
N'en a pas de l’Hymen moins veû fleurir l’uſage;	N’en a pas de l’Hymen moins vu fleurir l’usage;
Qu'à ce commun filet les Railleurs meſmes pris	Qu’à ce commun filet les Railleurs mêmes pris
Ont eſté tres-ſouvent de commodes Maris,	Ont été très-souvent de commodes Maris,
Tout depend en un mot du bon choix qu’on ſçait faire.	Tout dépend en un mot du bon choix qu’on sait faire.
Enfin, Il faut ici parler de bonne foy,	Enfin, il faut ici parler de bonne foi,
Je vieillis, & ne puis regarder ſans effroy,	Je vieillis, et ne puis regarder sans effroi,
Ces Neveux affamés, dont l’importun viſage	Ces Neveux affamés, dont l’importun visage
De mon bien à mes yeux fait deja le partage.	De mon bien à mes yeux fait déjà le partage.
Je croy déja les voir, au moment annoncé	Je crois déjà les voir, au moment annoncé
Sur quelques pleurs forcés, qu’ils auront ſoin qu'on voye,	Sur quelques pleurs forcés, qu’ils auront soin qu’on voie,
Se faire conſoler du ſujet de leur joye.	Se faire consoler du sujet de leur joie.
De pouvoir, moi vivant, dans peu les deſoler,	De pouvoir, moi vivant, dans peu les désoler,
Et trompant un eſpoir pour eux ſi plein de charmes,	Et trompant un espoir pour eux si plein de charmes,
Arracher de leurs yeux de veritables larmes.	Arracher de leurs yeux de véritables larmes.
