IE chante la PVCELLE, & la ſainte Vaillance,	JE chante la PUCELLE, et la sainte Vaillance,
Qui dans le point fatal, où periſſoit la France,	Qui dans le point fatal, où périssait la France,
Releua ſon Eftat, ſous l’Anglois, abbatu.	Releva son État, sous l’Anglais, abattu.
Le Ciel ſe courrouça, l'Enfer eſmût ſa rage,	Le Ciel se courrouça, l’Enfer émut sa rage,
Par ſa priere ardente, au milieu de ſes fers,	Par sa prière ardente, au milieu de ses fers,
Sceut, & flechir les Cieux, & donter les Enfers.	Sut, et fléchir les Cieux, et dompter les Enfers.
Ames des premiers Corps, Peres de l'Harmonie,	Âmes des premiers Corps, Pères de l’Harmonie,
Meſſagers des Decrets de l'Eſſence infinie,	Messagers des Décrets de l’Essence infinie,
Legions qui ſuyués l'eternel eſtandard,	Légions qui suivez l’éternel étendard,
Et qui, dans ce grand Oeuure, euſtes ſi grande part;	Et qui, dans ce grand Œuvre, eûtes si grande part;
Faites prendre à ma voix l'éclat de la trompette,	Faites prendre à ma voix l’éclat de la trompette,
Eſchaufſés mon eſprit, diſposés mon Projet,	Échauffez mon esprit, disposés mon Projet,
Auguſte Succeſſeur de cet auguſte Prince,	Auguste Successeur de cet auguste Prince,
Par qui s'accrut jadis la Françoiſe Prouince,	Par qui s’accrut jadis la Française Province,
Lors que ſon bras vengeur, par cent heureux combats,	Lorsque son bras vengeur, par cent heureux combats,
Du redoutable Anglois mit la puiſſance à bas;	Du redoutable Anglais mit la puissance à bas;
Magnanime HENRY, glorieux LONGVEVILLE,	Magnanime HENRI, glorieux LONGUEVILLE,
Des errantes Vertus, & le Temple, & l'Aſyle,	Des errantes Vertus, et le Temple, et l’Asile,
Heros, dont les exploits ne craignent point l'Oubly;	Héros, dont les exploits ne craignent point l’Oubli;
Viue Source d'honneur, qui tousjours claire & pleine	Vive Source d’honneur, qui toujours claire et pleine
Et fais couler mes jours, dans l'honneſte loyſir,	Et fais couler mes jours, dans l’honnête loisir,
Qu'enuioit la Fortune à mon noble deſir;	Qu’ennuyait la Fortune à mon noble désir;
Des veritables chants de mon ſacré Parnaſſe,	Des véritables chants de mon sacré Parnasse,
Aprens les hauts deſſeins d'vn Guerrier de ta Race,	Apprends les hauts desseins d’un Guerrier de ta Race,
Et voy, dans leurs ſucces, juſqu'où le cœur humain	Et vois, dans leurs succès, jusqu’où le cœur humain
Peut porter les efforts d'vne mortelle main.	Peut porter les efforts d’une mortelle main.
Reſplendir de ton Sang l’origine Royale,	Resplendir de ton Sang l’origine Royale,
Et contemple eſtonné, par quels brillans eſſais	Et contemple étonné, par quels brillants essais
Vn jour, lors qu'en ſuyuant ce grand Foudre de guerre	Un jour, lorsqu’en suivant ce grand Foudre de guerre
I'auray pris ma volée, aßés loin de la Terre,	J’aurai pris ma volée, assez loin de la Terre,
Et que j'auray le ton deſormais aßés fort	Et que j’aurai le ton désormais assez fort
Pour l'eſleuer à toy, ſans te faire de tort;	Pour l’élever à toi, sans te faire de tort;
Ie veux, par le recit de tes propres merueilles,	Je veux, par le récit de tes propres merveilles,
Des Peuples ſuſpendus enchanter les oreilles,	Des Peuples suspendus enchanter les oreilles,
Cherir de tes Lauriers l'eternelle verdeur.	Chérir de tes Lauriers l’éternelle verdeur.
Ie diray la Conté, par toy, demi-conquiſe,	Je dirai la Comté, par toi, demi-conquise,
Les Lorrains acheués de mettre, ſous nos loix,	Les Lorrains achevés de mettre, sous nos lois,
Et le douteux Briſac enfin rendu François.	Et le douteux Brissac enfin rendu Français.
Ie diray le fameux & terrible paſſage,	Je dirai le fameux et terrible passage,
Qui fit ceder le Rhein au feu de ton courage,	Qui fit céder le Rhin au feu de ton courage,
Et qui, briſant les fers des belliqueux Germains,	Et qui, brisant les fers des belliqueux Germains,
Aſſura la franchiſe au reſte des humains.	Assura la franchise au reste des humains.
Pour abbatre à tes pieds l'orgueilleuſe Tortonne,	Pour abattre à tes pieds l’orgueilleuse Tortonne,
Et de quelle viſteſſe, effrayé par ton bruit,	Et de quelle vitesse, effrayé par ton bruit,
Enfin je publiray tes labeurs heroïques,	Enfin je publierai tes labeurs héroïques,
Pour trouuer le remede aux miſeres publiques,	Pour trouver le remède aux misères publiques,
Pour redonner la regle aux confus Elemens,	Pour redonner la règle aux confus Éléments,
