Contre l’Indifference des Athées	Contre l’Indifférence des Athées
Que ceux qu combattent la Religion apprennent au moins quelle elle eſt avant que de la combattre.	Que ceux qu combattent la Religion apprennent au moins quelle elle est avant que de la combattre.
Mais puis qu’elle dit au contraire que les hommes ſont dans les tenebres, & dans l’éloignement de Dieu, qu’il ſ’eſt caché à leur connoiſſance, & que c’eſt meſme le nom qu’il ſe donne dans les Eſcritures, Deus abſconditus:	Mais puis qu’elle dit au contraire que les hommes sont dans les ténèbres, et dans l’éloignement de Dieu, qu’il s’est caché à leur connaissance, et que c’est même le nom qu’il se donne dans les Écritures, Deus absconditus:
& enfin ſi elle travaille également à établir ces deux choſes;	et enfin si elle travaille également à établir ces deux choses;
& qu’il les a couvertes neanmoins de telle ſorte qu’il ne ſera apperceu que de ceux qui le cherchent de tout leur cœur;	et qu’il les a couvertes néanmoins de telle sorte qu’il ne sera aperçu que de ceux qui le cherchent de tout leur cœur;
quel avantage peuvent-ils tirer, lors que dans la negligence où ils ſont profeſſion d’eſtre de chercher la verité, ils crient que rien ne la leur monſtre;	quel avantage peuvent-ils tirer, lors que dans la négligence où ils sont profession d’être de chercher la vérité, ils crient que rien ne la leur montre;
puiſque cette obſcurité où ils ſont, & qu’ils objectent à l’Egliſe ne fait qu’établir une des choſes qu’elle ſoûtient ſans toucher à l’autre, & confirme ſa doctrine bien loin de la ruiner?	puisque cette obscurité où ils sont, et qu’ils objectent à l’Église ne fait qu’établir une des choses qu’elle soutient sans toucher à l’autre, et confirme sa doctrine bien loin de la ruiner?
Il faudroit pour la combattre qu’ils criaſſent qu’ils ont fait tous leurs efforts pour chercher par tout, & meſme dans ce que l’Eglise propoſe pour s’en instruire, mais ſans aucune ſatisfaction.	Il faudrait pour la combattre qu’ils criassent qu’ils ont fait tous leurs efforts pour chercher par tout, et même dans ce que l’Église propose pour s’en instruire, mais sans aucune satisfaction.
S’ils parloient de la ſorte, ils combattroient à la verité une de ſes prétentions.	S’ils parlaient de la sorte, ils combattraient à la vérité une de ses prétentions.
Mais j’eſpere monſtrer icy qu’il n’y a point de perſonne raiſonnable qui puiſſe parler de la ſorte;	Mais j’espère montrer ici qu’il n’y a point de personne raisonnable qui puisse parler de la sorte;
On ſçait aſſez de quelle maniere agiſſent ceux qui ſont dans cet eſprit.	On sait assez de quelle manière agissent ceux qui sont dans cet esprit.
Ils croyent avoir fait de grands efforts pour s’inſtruire lors qu’ils ont employé quelques heures à la lecture de l’Eſcriture & qu’ils ont interrogé quelqu’Eccleſiaſtiqe ſur les veritez de la foy.	Ils croient avoir fait de grands efforts pour s’instruire lors qu’ils ont employé quelques heures à la lecture de l’ Écriture et qu’ils ont interrogé quelque Ecclésiastique sur les vérités de la foi.
Mais en verité je ne puis m’empeſcher de leur dire ce que j’ay dit ſouvent, que cette negligence n’eſt pas ſupportable.	Mais en vérité je ne puis m’empêcher de leur dire ce que j’ai dit souvent, que cette négligence n’est pas supportable.
Il ne s’agit pas icy de l’intereſt leger de quelque perſonne étrangere:	Il ne s’agit pas ici de l’intérêt léger de quelque personne étrangère:
Il s’agit de nous-meſme & de noſtre tout.	Il s’agit de nous-même et de notre tout.
L’immortalité de l’ame eſt une choſe qui nous importe ſi fort, & qui nous touche ſi profondément, qu’il faut avoir perdu tout ſentiment pour eſtre dans l’indifference de ſçavoir ce qui en eſt.	L’immortalité de l’âme est une chose qui nous importe si fort, et qui nous touche si profondément, qu’il faut avoir perdu tout sentiment pour être dans l’indifférence de savoir ce qui en est.
Toutes nos actions & toutes nos penſées doivent prendre des routes ſi differentes ſelon qu’il y aura des biens eternels à eſperer ou non, qu’il eſt impoſſible de faire une demarche avec ſens & jugement qu’en la reglant par la veuë de ce point qui doit eſtre noſtre dernier objet.	Toutes nos actions et toutes nos pensées doivent prendre des routes si différentes selon qu’il y aura des biens éternels à espérer ou non, qu’il est impossible de faire une démarche avec sens et jugement qu’en la réglant par la vue de ce point qui doit être notre dernier objet.
Ainſi noſtre premier intereſt & noſtre premier devoir eſt de nous éclaircir ſur ce ſujet d’où dépend toute noſtre conduite.	Ainsi notre premier intérêt et notre premier devoir est de nous éclaircir sur ce sujet d’où dépend toute notre conduite.
Je ne puis avoir que de la compaſſion pour ceux qui gémiſſent ſincerement dans ce doute, qui le regardent comme le dernier des malheurs, & qui n’épargnant rien pour en ſortir font de cette recherche leur principale & leur plus ſerieuſe occupation.	Je ne puis avoir que de la compassion pour ceux qui gémissent sincèrement dans ce doute, qui le regardent comme le dernier des malheurs, et qui n’épargnant rien pour en sortir font de cette recherche leur principale et leur plus sérieuse occupation.
Mais pour ceux qui paſſent leur vie ſans penſer à cette derniere fin de la vie, & qui par cette ſeule raiſon, qu’ils ne trouvent pas en eux-meſmes des lumieres qui les perſuadent, negligent d’en chercher ailleurs, & d’examiner à fond ſi cette opinion eſt de celle que le peuple reçoit par une ſimplicité credule, ou de celles qui quoy qu’obſcures d’elles-meſmes ont neanmoins un fondement tres ſolide, je les conſidere d’une maniere toute differente.	Mais pour ceux qui passent leur vie sans penser à cette dernière fin de la vie, et qui par cette seule raison, qu’ils ne trouvent pas en eux-mêmes des lumières qui les persuadent, négligent d’en chercher ailleurs, et d’examiner à fond si cette opinion est de celle que le peuple reçoit par une simplicité crédule, ou de celles qui quoi qu’obscures d’elles-mêmes ont néanmoins un fondement très solide, je les considère d’une manière toute différente.
elle m’étonne & m’épouvante;	elle m’étonne et m’épouvante;
c’eſt un monſtre pour moy.	c’est un monstre pour moi.
Je ne dis pas cecy par le zele pieux d’une devotion ſpirituelle.	Je ne dis pas ceci par le zèle pieux d’une dévotion spirituelle.
Je pretends au contraire que l’amour propre, que l’intereſt humain, que la plus ſimple lumiere de la raiſon nous doit donner ces ſentimens.	Je prétends au contraire que l’amour propre, que l’intérêt humain, que la plus simple lumière de la raison nous doit donner ces sentiments.
Il ne faut voir pour cela que ce que voyent les perſonnes les moins éclairées.	Il ne faut voir pour cela que ce que voient les personnes les moins éclairées.
Il ne faut pas avoir l’ame fort élevée pour comprendre qu’il n’y a point icy de ſatisfaction veritable & ſolide, que tous nos plaiſirs ne ſont que vanité, que nos maux ſont infinis, & qu’enfin la mort qui nous menace à chaque inſtant nous doit mettre dans peu d’années, & peut-eſtre en peu de jours dans un eſtat eternel de bonheur, ou de malheur, ou d’anneantiſſement.	Il ne faut pas avoir l’âme fort élevée pour comprendre qu’il n’y a point ici de satisfaction véritable et solide, que tous nos plaisirs ne sont que vanité, que nos maux sont infinis, et qu’enfin la mort qui nous menace à chaque instant nous doit mettre dans peu d’années, et peut-être en peu de jours dans un état éternel de bonheur, ou de malheur, ou d’anéantissement.
& le ciel n’eſtant pas certainement pour ceux qui doutent ſi leur ame eſt immortelle, ils n’ont à attendre que l’enfer ou le neant.	et le ciel n’étant pas certainement pour ceux qui doutent si leur âme est immortelle, ils n’ont à attendre que l’enfer ou le néant.
Il n’y a rien de plus réel que cela ny de plus terrible.	Il n’y a rien de plus réel que cela ni de plus terrible.
C’eſt envain qu’ils détournent leur penſée de cette eternité qui les attend, comme s’ils la pouvoient anneantir en n’y penſant point.	C’est en vain qu’ils détournent leur pensée de cette éternité qui les attend, comme s’ils la pouvaient anéantir en n’y pensant point.
Elle ſubſiſte malgré eux, elle s’avance, & la mort qui la doit ouvrir les mettra infailliblement dans peu de temps dans l’horrible neceſſité d’eſtre eternellement ou anneantis, ou malheureux.	Elle subsiste malgré eux, elle s’avance, et la mort qui la doit ouvrir les mettra infailliblement dans peu de temps dans l’horrible nécessité d’être éternellement ou anéantis, ou malheureux.
Voila un doute d’une terrible conſequence;	Voila un doute d’une terrible conséquence;
& c’eſt déja aſſurément un tres-grand mal que d’eſtre dans ce doute;	et c’est déjà assurément un très-grand mal que d’être dans ce doute;
mais c’eſt au moins un devoir indiſpenſable de chercher quand on y eſt.	mais c’est au moins un devoir indispensable de chercher quand on y est.
Ainſi celuy qui doute & qui ne cherche pas eſt tout enſemble & bien injuste, & bien malheureux.	Ainsi celui qui doute et qui ne cherche pas est tout ensemble et bien injuste, et bien malheureux.
Où peut-on prendre ces ſentimens?	Où peut-on prendre ces sentiments?
Quel ſujet de joye trouve-t’on à n’attendre plus que des miſeres ſans reſource?	Quel sujet de joie trouve-t-on à n’attendre plus que des misères sans ressource?
Quelle conſolation de n’attendre jamais de conſolateur?	Quelle consolation de n’attendre jamais de consolateur?
Ce repos dans cette ignorance eſt une choſe monſtrueuſe, & dont il faut faire ſentir l’extravagance & la ſtupidité à ceux qui y paſſent leur vie, en leur repreſentant ce qui ſe paſſe en eux-meſmes, pour les confondre par la veuë de leur folie.	Ce repos dans cette ignorance est une chose monstrueuse, et dont il faut faire sentir l’extravagance et la stupidité à ceux qui y passent leur vie, en leur représentant ce qui se passe en eux-mêmes, pour les confondre par la vue de leur folie.
Car voicy comment raiſonnent les hommes quand il choiſiſſent de vivre dans cette ignorance de ce qu’ils font, & ſans en rechercher d’éclairciſſement.	Car voici comment raisonnent les hommes quand il choisissent de vivre dans cette ignorance de ce qu’ils font, et sans en rechercher d’éclaircissement.
Je ne ſçay qui m’a mis au monde, ny ce que c’eſt que le monde, ny que moy-meſme.	Je ne sais qui m’a mis au monde, ni ce que c’est que le monde, ni que moi-même.
Je ſuis dans une ignorance terrible de toutes choſes.	Je suis dans une ignorance terrible de toutes choses.
Je ne ſçay ce que c’eſt que mon corps, que mes ſens, que mon ame;	Je ne sais ce que c’est que mon corps, que mes sens, que mon âme;
Je voy ces effroyables eſpaces de l’Univers qui m’enferment, & je me trouve attaché à un coin de cette vaſte eſtenduë, ſans ſçavoir pourquoy je ſuis plûtoſt placé en ce lieu qu’en un autre, ny pourquoy ce peu de temps qui m’eſt donné à vivre m’eſt aſſigné à ce point plûtoſt qu’à un autre de toute l’eternité qui m’a precedé, & de toute celle qui me ſuit.	Je vois ces effroyables espaces de l’Univers qui m’enferment, et je me trouve attaché à un coin de cette vaste étendue, sans savoir pourquoi je suis plutôt placé en ce lieu qu’en un autre, ni pourquoi ce peu de temps qui m’est donné à vivre m’est assigné à ce point plutôt qu’à un autre de toute l’éternité qui m’a précédé, et de toute celle qui me suit.
Je ne voy que des infinitez de toutes parts qui m’engloutiſſent comme un atome, & comme une ombre qui ne dure qu’un inſtant ſans retour.	Je ne vois que des infinités de toutes parts qui m’engloutissent comme un atome, et comme une ombre qui ne dure qu’un instant sans retour.
mais ce que j’ignore le plus c’eſt cette mort meſme que je ne ſçaurois éviter.	mais ce que j’ignore le plus c’est cette mort même que je ne saurais éviter.
Comme je ne ſçay d’où je viens, auſſi je ne ſçay où je vais;	Comme je ne sais d’où je viens, aussi je ne sais où je vais;
& je ſçay ſeulement qu’en ſortant de ce monde, je tombe pour jamais ou dans le neant, ou dans les mains d’un Dieu irrité, ſans ſçavoir à laquelle de ces deux conditions je dois eſtre eternellement en partage.	et je sais seulement qu’en sortant de ce monde, je tombe pour jamais ou dans le néant, ou dans les mains d’un Dieu irrité, sans savoir à laquelle de ces deux conditions je dois être éternellement en partage.
Voila mon eſtat plein de miſere, de foibleſſe, d’obſcurité.	Voila mon état plein de misère, de faiblesse, d’obscurité.
Et de tout cela je conclus que je dois donc paſſer tous les jours de ma vie ſans ſonger à ce qui me doit arriver, & que je n’ay qu’à ſuivre mes inclinations ſans reflexion & ſans inquietude, en faiſant tout ce qu’il faut pour tomber dans le malheur eternel au cas que ce qu’on en dit ſoit veritable.	Et de tout cela je conclus que je dois donc passer tous les jours de ma vie sans songer à ce qui me doit arriver, et que je n’ai qu’à suivre mes inclinations sans réflexion et sans inquiétude, en faisant tout ce qu’il faut pour tomber dans le malheur éternel au cas que ce qu’on en dit soit véritable.
Peut-eſtre que je pourrois trouver quelqu’éclairciſſement dans mes doutes;	Peut-être que je pourrais trouver quelqu’éclaircissement dans mes doutes;
& en traittant avec mépris ceux qui ſe travailleroient de ce ſoin, je veux aller ſans prévoyance & ſans crainte tenter un ſi grand evenement, & me laiſſer mollement conduire à la mort dans l’incertitude de l’eternité de ma condition future.	et en traitant avec mépris ceux qui se travailleraient de ce soin, je veux aller sans prévoyance et sans crainte tenter un si grand événement, et me laisser mollement conduire à la mort dans l’incertitude de l’éternité de ma condition future.
En verité il eſt glorieux à la Religion d’avoir pour ennemis des hommes ſi déraiſonnables;	En vérité il est glorieux à la Religion d’avoir pour ennemis des hommes si déraisonnables;
Car la foy Chreſtienne ne va principalement qu’à eſtablir ces deux choſes, la corruption de la nature, & la redemption de Jesus-Christ.	Car la foi Chrétienne ne va principalement qu’à établir ces deux choses, la corruption de la nature, et la rédemption de Jésus-Christ.
Or s’ils ne ſervent pas à monſtrer la verité de la redemption par la ſainteté de leurs mœurs, ils ſervent au moins admirablement à monſtrer la corruption de la nature par des ſentiments ſi dénaturez.	Or s’ils ne servent pas à montrer la vérité de la rédemption par la sainteté de leurs mœurs, ils servent au moins admirablement à montrer la corruption de la nature par des sentiments si dénaturez.
Rien n’eſt ſi important à l’homme que ſon eſtat;	Rien n’est si important à l’homme que son état;
rien ne luy eſt ſi redoutable que l’eternité.	rien ne lui est si redoutable que l’éternité.
Et ainſi qu’il ſe trouve des hommes indifferens à la perte de leur eſtre, & au peril d’une eternité de miſere, cela n’eſt point naturel.	Et ainsi qu’il se trouve des hommes indifférents à la perte de leur être, et au péril d’une éternité de misère, cela n’est point naturel.
Ils ſont tous autres à l’égard de toutes les autres choſes:	Ils sont tous autres à l’égard de toutes les autres choses:
& ce meſme homme qui paſſe les jours & les nuits dans la rage & dans le deſeſpoir pour la perte d’une charge, ou pour quelqu’offenſe imaginaire à ſon honneur, eſt celuy là-meſme qui ſçait qu’il va tout perdre par la mort, & qui demeure neanmoins ſans inquietude, ſans trouble, & ſans émotion.	et ce même homme qui passe les jours et les nuits dans la rage et dans le désespoir pour la perte d’une charge, ou pour quelqu’offense imaginaire à son honneur, est celui là-même qui sait qu’il va tout perdre par la mort, et qui demeure néanmoins sans inquiétude, sans trouble, et sans émotion.
Cette étrange inſenſibilité pour les choſes les plus terribles dans un cœur ſi ſenſibles au plus legeres, eſt une choſe monſtrueuſe;	Cette étrange insensibilité pour les choses les plus terribles dans un cœur si sensibles au plus légères, est une chose monstrueuse;
Un homme dans un cachot ne ſçachant ſi ſon arreſt eſt donné, n’ayant plus qu’une heure ſuffiſant, s’il ſçait qu’il eſt donné, pour le faire revoquer, il eſt contre la nature qu’il employe cette heure-là non à s’informer ſi cet arreſt eſt donné, mais à joüer, & à ſe divertir.	Un homme dans un cachot ne sachant si son arrêt est donné, n’ayant plus qu’une heure suffisant, s’il sait qu’il est donné, pour le faire révoquer, il est contre la nature qu’il emploie cette heure-là non à s’informer si cet arrêt est donné, mais à jouer, et à se divertir.
C’eſt l’eſtat où ſe trouuvent ces perſonnes, avec cette difference que les maux dont ils ſont menacez ſont bien autres que la ſimple perte de la vie & un ſupplice paſſager que ce priſonnier apprehenderoit.	C’est l’état où se trouvent ces personnes, avec cette différence que les maux dont ils sont menacés sont bien autres que la simple perte de la vie et un supplice passager que ce prisonnier appréhenderait.
Cependant ils courent ſans ſoucy dans le précipice aprés avoir mis quelque choſe devant leurs yeux pour s’empeſcher de le voir, & ils ſe moquent de ceux qui les en avertiſſent.	Cependant ils courent sans souci dans le précipice après avoir mis quelque chose devant leurs yeux pour s’empêcher de le voir, et ils se moquent de ceux qui les en avertissent.
Ainſi non ſeulement le zele de ceux qui cherchent Dieu prouve la veritable Religion, mais auſſi l’aveuglement de ceux qui ne le cherchent pas, & qui vivent dans cette horrible negligence.	Ainsi non seulement le zèle de ceux qui cherchent Dieu prouve la véritable Religion, mais aussi l’aveuglement de ceux qui ne le cherchent pas, et qui vivent dans cette horrible négligence.
Il faut qu’il y ait un étrange renverſement dans la nature de l’homme pour vivre dans cet eſtat, & encore plus pour en faire vanité.	Il faut qu’il y ait un étrange renversement dans la nature de l’homme pour vivre dans cet état, et encore plus pour en faire vanité.
