Vous a donné du Trône un illuſtre Garant,	Vous a donné du trône un illustre Garant,
Veulent vous élever à l'Empire du Monde;	Veulent vous élever à l’Empire du Monde;
Et ſcelle de ſa main le don qu'il vous en fait.	Et scelle de sa main le don qu’il vous en fait.
Il avoit moins de Chefs que de Roys à ſa ſuite,	Il avait moins de Chefs que de Rois à sa suite,
Caſſander, il eſt temps d'agir & de parler;	Cassandre, il est temps d’agir et de parler;
Il faut nous aſſurer des Veuves d’Aléxandre,	Il faut nous assurer des Veuves d’Alexandre,
Le Fils d’une Perſane eſt Eſclave à demy,	Le fils d’une Persane est esclave à demi,
Mais, Seigneur, il s’agit du cœur des deux Princeſſes,	Mais, Seigneur, il s’agit du cœur des deux Princesses,
Leur a fait rejeter nos ſervices, nos vœux;	Leur a fait rejeter nos services, nos vœux;
Penétrons leurs deſſeins pour prendre nos meſures,	Pénétrons leurs desseins pour prendre nos mesures,
D'envoyer Alcetas ſuivy de deux des miens,	D’envoyer Alcetas suivi de deux des miens,
Vient-il nous propoſer quelque accomodement.	Vient-il nous proposer quelque accommodement.
Mais il faut à ce Fils un Tuteur qui ſoûtienne	Mais il faut à ce fils un Tuteur qui soutienne
Par ces raiſons peut-eſtre ont haſté leur vangeance,	Par ces raisons peut-être ont hâté leur vengeance,
Deſavoüer le ſang dont on l'a veu ſortir?	Désavouer le sang dont on l’a vu sortir?
Sans ceſſe vous tâchez d’obſcurcir ſa mémoire;	Sans cesse vous tâchez d’obscurcir sa mémoire;
Je ne puis m’abaiſſer d’en choiſir parmy vous,	Je ne puis m’abaisser d’en choisir parmi vous,
Vous pourrez donc, Seigneur, en la trouvant ſi belle,	Vous pourriez donc, Seigneur, en la trouvant si belle,
Et peut-eſtre mes vœux ſeroient-ils mieux reçeus,	Et peut-être mes vœux seraient-ils mieux reçus,
Retirez-vous.	Retirez-vous.
Il veut aprofondir le ſecret de mon ame,	Il veut approfondir le secret de mon âme,
