ORAISON   DEDICATOIRE.	ORAISON DÉDICATOIRE.
DOVX IESVS, mon   Seigneur, mon Sauueur,   & mon Dieu, me voicy   proſterné deuant voſtre   Maieſté, vouant & conſacrant cét écrit à voſtre gloire:	DOUX JÉSUS, mon Seigneur, mon Sauveur, et mon Dieu, me voici prosterné devant votre Majesté, vouant et consacrant cet écrit à votre gloire:
ains qu'auec eux ie chante à iamais pour cantique de triomphe, le mot   que de tout mon cœur ie prononce,   en témoignage de fidelité parmy les   hazards de cette vie mortelle VIVE   IESVS, VIVE IESVS.	ains qu’avec eux je chante à jamais pour cantique de triomphe, le mot que de tout mon cœur je prononce, en témoignage de fidélité parmi les hasards de cette vie mortelle VIVE JÉSUS, VIVE JÉSUS.
Ouy, Seigneur   IESVS, viuez & regnez en nos   cœurs es ſiecles des ſiecles.	Oui, Seigneur JÉSUS, vivez et régnez en nos cœurs ès siècles des siècles.
PREMIERE PARTIE   DE L’INTRODVCTION,   CONTENANT LES AVIS ET EXERCICES   requis pour conduire l’Ame dés ſon premier   deſir de la vie deuote, iuſques à vne entiere   reſolution de l’embraſſer.	PREMIÈRE PARTIE DE L’INTRODUCTION, CONTENANT LES AVIS ET EXERCICES requis pour conduire l’Âme dès son premier désir de la vie dévote, jusqu’à une entière résolution de l’embrasser.
Deſcription de la vraye deuotion.	Description de la vraie dévotion.
CHAPITRE I.	CHAPITRE I.
VOVS aſpirez à la deuotion, tres-chere Philothée, parce qu’eſtant Chreſtienne, vous ſçauez que c’eſt vne vertu extremement agreable à la diuine Maieſté.	VOUS aspirez à la dévotion, très chère Philothée, parce qu’étant Chrétienne, vous savez que c’est une vertu extrêmement agréable à la divine Majesté.
Mais dautant que les petites fautes, que l’on commet au commencement de quelque affaire, s’agrandiſſent infiniment au progrez, & ſont preſque irreparables à la fin;	Mais d’autant que les petites fautes, que l’on commet au commencement de quelque affaire, s’agrandissent infiniment au progrès, et sont presque irréparables à la fin;
il faut auant toutes choſes que vous ſçachiez que c’eſt que la vertu de deuotion:	il faut avant toutes choses que vous sachiez que c’est que la vertu de dévotion:
Arelius peignoit toutes les faces des images qu’il faiſoit, à l’air & reſſemblance des femmes qu’il aymoit:	Arélius peignait toutes les faces des images qu’il faisait, à l’air et ressemblance des femmes qu’il aimait:
& chacun peint la deuotion ſelon ſa paſſion & fantaiſie.	et chacun peint la dévotion selon sa passion et fantaisie.
Vn autre s’eſtimera deuot, parce qu’il dit vne grande multitude d’oraiſons tous les iours, quoy qu’apres cela ſa langue ſe fonde en toutes paroles faſcheuſes, arrogantes & iniurieuſes, parmy ſes domeſtiques & voiſins.	Un autre s’estimera dévot, parce qu’il dit une grande multitude d’oraisons tous les jours, quoi qu’après cela sa langue se fonde en toutes paroles fâcheuses, arrogantes et injurieuses, parmi ses domestiques et voisins.
L’autre tire fort volontiers l’aumoſne de ſa bourſe, pour la donner aux pauures:	L’autre tire fort volontiers l’aumône de sa bourse, pour la donner aux pauvres:
mais il ne peut tirer la douceur de ſon cœur, pour pardonner à ſes ennemis:	mais il ne peut tirer la douceur de son cœur, pour pardonner à ses ennemis:
l’autre pardonnera à ſes ennemis, mais tenir raiſon à ſes creanciers, iamais qu’à viue force de iuſtice.	l’autre pardonnera à ses ennemis, mais tenir raison à ses créanciers, jamais qu’à vive force de justice.
Tous ces gens là ſont vulgairement tenus pour deuots, & ne le ſont pourtant nullement.	Tous ces gens là sont vulgairement tenus pour dévots, et ne le sont pourtant nullement.
Les gens de Saul cherchoient Dauid en ſa maiſon: Michol ayant mis vne ſtatuë dedans vn lict, & l’ayant couuerte des habillemens de Dauid, leur fit accroire que c’eſtoit Dauid meſme qui dormoit malade.	Les gens de Saül cherchaient David en sa maison: Michol ayant mis une statue dedans un lit, et l’ayant couverte des habillements de David, leur fit accroire que c’était David même qui dormait malade.
& le monde croit que ce ſoient gens vrayement deuots & ſpirituels:	et le monde croit que ce soient gens vraiment dévots et spirituels:
mais en verité ce ne ſont que des ſtatuës & fantoſmes de deuotion.	mais en vérité ce ne sont que des statues et fantômes de dévotion.
ains elle n’eſt autre choſe qu’vn vray amour de Dieu:	ains elle n’est autre chose qu’un vrai amour de Dieu:
mais non pas toutesfois vn amour tel quel:	mais non pas toutefois un amour tel quel:
car en tant que l’amour diuin embellit noſtre ame, il s’appelle grace, nous rendant agreables à ſa diuine Maieſté;	car en tant que l’amour divin embellit notre âme, il s’appelle grâce, nous rendant agréables à sa divine Majesté;
en tant qu’il nous donne la force de bien faire, il s’appelle charité:	en tant qu’il nous donne la force de bien faire, il s’appelle charité:
mais quand il eſt paruenu iuſques au degré de perfection, auquel il ne nous fait pas ſeulement bien faire, mais nous fait operer ſoigneuſement, frequemment & promptement, alors il s’appelle deuotion.	mais quand il est parvenu jusqu’au degré de perfection, auquel il ne nous fait pas seulement bien faire, mais nous fait opérer soigneusement, fréquemment et promptement, alors il s’appelle dévotion.
Les auſtruches ne volent iamais, les poules volent peſamment, toutesfois baſſement & rarement:	Les autruches ne volent jamais, les poules volent pesamment, toutefois bassement et rarement:
les gens de bien, qui n’ont pas encores atteint la deuotion, volent en Dieu par leurs bonnes actions, mais rarement, lentement & peſamment:	les gens de bien, qui n’ont pas encore atteint la dévotion, volent en Dieu par leurs bonnes actions, mais rarement, lentement et pesamment:
les perſonnes deuotes volent en Dieu, frequemment, promptement & hautement.	les personnes dévotes volent en Dieu, fréquemment, promptement et hautement.
& comme il appartient à la charité de nous faire generalement & vniuerſellement pratiquer tous les commandemens de Dieu, il appartient auſſi à la deuotion de les nous faire promptement & diligemment.	et comme il appartient à la charité de nous faire généralement et universellement pratiquer tous les commandements de Dieu, il appartient aussi à la dévotion de les nous faire promptement et diligemment.
C’eſt pourquoy celuy qui n’obſerue tous les commandemens de Dieu, ne peut eſtre eſtimé ny bon, ny deuot, puis que pour eſtre bon, il faut auoir la charité, & pour eſtre deuot, il faut auoir outre la charité, vne grande viuacité & promptitude aux actions charitables.	C’est pourquoi celui qui n’observe tous les commandements de Dieu, ne peut être estimé ni bon, ni dévot, puisque pour être bon, il faut avoir la charité, et pour être dévot, il faut avoir outre la charité, une grande vivacité et promptitude aux actions charitables.
Et d’autant que la deuotion giſt en certain degré d’excellente charité, non ſeulement elle nous rend prompts, actifs & diligens à l’obſeruation de tous les commandemens de Dieu: mais outre cela, elle nous prouoque à faire promptement & affectionnément le plus de bonnes œuures que nous pouuons, encores qu’elles ne ſoient aucunement commandées, ains ſeulement conſeillées ou inſpirées.	Et d’autant que la dévotion gît en certain degré d’excellente charité, non seulement elle nous rend prompts, actifs et diligents à l’observation de tous les commandements de Dieu: mais outre cela, elle nous provoque à faire promptement et affectionnément le plus de bonnes œuvres que nous pouvons, encore qu’elles ne soient aucunement commandées, ains seulement conseillées ou inspirées.
Car tout ainſi qu’vn homme qui eſt nouuellement guery de quelque maladie, chemine autant qu’il luy eſt neceſſaire, mais lentement & peſamment: de meſme le pecheur eſtant guery de ſon iniquité, il chemine autant que Dieu luy commande, peſamment neantmoins & lentement, iuſques à tant qu’il ayt atteint la deuotion;	Car tout ainsi qu’un homme qui est nouvellement guéri de quelque maladie, chemine autant qu’il lui est nécessaire, mais lentement et pesamment: de même le pécheur étant gueri de son iniquité, il chemine autant que Dieu lui commande, pesamment néanmoins et lentement, jusqu’à tant qu’il ait atteint la dévotion;
car alors comme vn homme bien ſain, non ſeulement il chemine, mais il court & ſaute en la voye des commandemens de Dieu, & de plus il paſſe & court dans les ſentiers des conſeils & inſpirations celeſtes.	car alors comme un homme bien sain, non seulement il chemine, mais il court et saute en la voie des commandements de Dieu, et de plus il passe et court dans les sentiers des conseils et inspirations célestes.
En fin la charité & la deuotion ne ſont non plus differentes l’vne de l’autre, que la flamme l’eſt du feu, d’autant que la charité eſtant vn feu ſpirituel, quand elle eſt fort enflammée, elle ſ’appelle deuotion:	Enfin la charité et la dévotion ne sont non plus différentes l’une de l’autre, que la flamme l’est du feu, d’autant que la charité étant un feu spirituel, quand elle est fort enflammée, elle s’appelle dévotion:
Proprieté & excellence de la deuotion.	Propriété et excellence de la dévotion.
CHAPITRE II.	CHAPITRE II.
Ainſi le monde, ma chere Philothée, diffame tant qu’il peut la ſaincte deuotion, dépeignant les perſonnes deuotes auec vn viſage faſcheux, triſte & chagrin:	Ainsi le monde, ma chère Philothée, diffame tant qu’il peut la sainte dévotion, dépeignant les personnes dévotes avec un visage fâcheux, triste et chagrin:
& publiant que la deuotion donné des humeurs melancholiques & inſupportables.	et publiant que la dévotion donné des humeurs mélancoliques et insupportables.
Mais comme Ioſué & Caleb proteſtoient que non ſeulement la terre promiſe eſtoit bonne & belle, ains auſſi que la poſſeſſion en ſeroit douce & agreable:	Mais comme Josué et Caleb protestaient que non seulement la terre promise était bonne et belle, ains aussi que la possession en serait douce et agréable:
de meſme le ſainct Eſprit par la bouche de tous les Saincts, & noſtre Seigneur par la ſienne meſme, nous aſſeure que la vie deuote eſt vne vie douce, heureuſe & amiable.	de même le saint Esprit par la bouche de tous les Saints, et notre Seigneur par la sienne même, nous assure que la vie dévote est une vie douce, heureuse et amiable.
Le monde voit que les deuots ieuſnent, prient & ſouffrent iniures, ſeruent les malades, donnent aux pauures, veillent, contraignent leur cholere, ſuffoquent & eſtouffent leurs paſſions, ſe priuent des plaiſirs ſenſuels, & font telles & autres ſortes d’actions, leſquelles en elles meſmes, & de leur propre ſubſtance & qualité, ſont aſpres & rigoureuſes.	Le monde voit que les dévots jeûnent, prient et souffrent injures, servent les malades, donnent aux pauvres, veillent, contraignent leur colère, suffoquent et étouffent leurs passions, se privent des plaisirs sensuels, et font telles et autres sortes d’actions, lesquelles en elles-mêmes, et de leur propre substance et qualité, sont âpres et rigoureuses.
Mais le monde ne voit pas la deuotion interieure & cordiale, laquelle rend toutes ces actions agreables, douces & faciles.	Mais le monde ne voit pas la dévotion intérieure et cordiale, laquelle rend toutes ces actions agréables, douces et faciles.
mais en le ſucçant elles le conuertiſſent en miel, parce que telle eſt leur proprieté.	mais en le suçant elles le convertissent en miel, parce que telle est leur propriété.
O mondain! les ames deuotes treuuent beaucoup d’amertumes en leurs exercices de mortification;	Ô mondain! les âmes dévotes trouvent beaucoup d’amertumes en leurs exercices de mortification;
mais en les faiſant elles les conuertiſſent en douceur & ſuauité;	mais en les faisant elles les convertissent en douceur et suavité;
les feux, les flammes, les rouës, les eſpées ſembloient des fleurs & des parfums aux Martyrs, par ce qu’ils eſtoient deuots.	les feux, les flammes, les roues, les épées semblaient des fleurs et des parfums aux Martyrs, par ce qu’ils étaient dévots.
Que ſi la deuotion peut donner de la douceur aux plus cruels tourmens, & à la mort meſme;	Que si la dévotion peut donner de la douceur aux plus cruels tourments, et à la mort même;
qu’eſt-ce qu'elle fera pour les actions de la vertu? Le ſucre adoucit les fruicts mal meurs, & corrige la crudité & nuiſance de ceux qui ſont bien meurs.	qu’est-ce qu’elle fera pour les actions de la vertu? Le sucre adoucit les fruits mal mûrs, et corrige la crudité et nuisance de ceux qui sont bien mûrs.
Or la deuotion eſt le vray ſucre ſpirituel, qui oſte l’amertume aux mortifications, & la nuiſance aux pauures, & l’empreſſement aux riches, la deſolation à l’oppreſſé, & l’inſolence au fauoriſé, la triſteſſe aux ſolitaires, & la diſſolution à celuy qui eſt en compagnie:	Or la dévotion est le vrai sucre spirituel, qui ôte l’amertume aux mortifications, et la nuisance aux pauvres, et l’empressement aux riches, la désolation à l’oppressé, et l’insolence au favorisé, la tristesse aux solitaires, et la dissolution à celui qui est en compagnie:
elle ſert de feu en Hiuer, & de roſée en Eſté:	elle sert de feu en Hiver, et de rosée en Été:
elle reçoit le plaiſir & la douleur auec vn cœur preſque touſiours ſemblable, & nous remplit d’vne ſuauité merueilleuſe.	elle reçoit le plaisir et la douleur avec un cœur presque toujours semblable, et nous remplit d’une suavité merveilleuse.
Contemplez l’eſchelle de Iacob, (car c'eſt le vray portrait de la vie deuote) les deux coſtez entre leſquels on monte, & auſquels les eſchellons ſe tiennent, repreſentent l’oraiſon, qui impetre l’amour de Dieu, & les Sacremens, qui le conferent:	Contemplez l’échelle de Jacob, (car c’est le vrai portrait de la vie dévote) les deux côtés entre lesquels on monte, et auxquels les échelons se tiennent, représentent l’oraison, qui impètre l’amour de Dieu, et les Sacrements, qui le confèrent:
