SONNET.	SONNET.
I.	I.
Comment se soustient-elle encor si fermement ?	Comment se soutient-elle encor si fermement?
Et si c’est sur les vents qu’elle a son fondement	Et si c’est sur les vents qu’elle a son fondement
Ces justes contrepoids qui nous l’ont balancee	Ces justes contrepoids qui nous l’ont balancée
Ne panchent-ils jamais d’un divers branslement ?	Ne penchent-ils jamais d’un divers branlement?
Et qui nous fait solide ainsi cet Element,	Et qui nous fait solide ainsi cet Élément,
Qui trouve autour de luy l’inconstance amassee ?	Qui trouve autour de lui l’inconstance amassée?
Il est ainsi, ce corps se va tout souslevant	Il est ainsi, ce corps se va tout soulevant
Sans jamais s’esbranler parmi l’onde et le vent,	Sans jamais s’ébranler parmi l’onde et le vent,
Voyant ces maux coulans, soufflans de tous costez	Voyant ces maux coulants, soufflants de tous côtés
Ne trouvoit tous les jours par exemple de mesme	Ne trouvait tous les jours par exemple de même
II.	II.
Quand je voy les efforts de ce Grand Alexandre,	Quand je vois les efforts de ce Grand Alexandre,
D’un Cesar dont le sein comblé de passions	D’un César dont le sein comblé de passions
Embraze tout de feu de ces ambitions,	Embrase tout de feu de ces ambitions,
Et n’en laisse apres soy memoire qu’en la cendre.	Et n’en laisse après soi mémoire qu’en la cendre.
Quand je voy que leur gloire est seulement de rendre,	Quand je vois que leur gloire est seulement de rendre,
Calmes dessous leurs loix toutes les nations	Calmes dessous leurs lois toutes les nations
Qui voyent le Soleil et monter et descendre :	Qui voient le Soleil et monter et descendre:
Que mes lauriers ne soyent de leurs lauriers honteux,	Que mes lauriers ne soient de leurs lauriers honteux,
Je les condamne tous & ne les puis deffendre :	Je les condamne tous et ne les puis défendre:
Ma belle c’est vers toy que tournent mes espris,	Ma belle c’est vers toi que tournent mes esprits,
Ces tirans-la faisoyent leur triomphe de prendre,	Ces tyrans-là faisaient leur triomphe de prendre,
Et je triompheroy de ce que tu m’as pris.	Et je triompherai de ce que tu m’as pris.
III.	III.
Sur le large pourpris de ce sec element,	Sur le large pourpris de ce sec élément,
Il ne croiroit de tout, rien qu’un poinct seulement	Il ne croirait de tout, rien qu’un point seulement
Mais s’il contemple apres ceste courtine bluë,	Mais s’il contemple après cette courtine bleue,
Ce cercle de cristal, ce doré firmament,	Ce cercle de cristal, ce doré firmament,
Il juge que son tour est grand infiniment,	Il juge que son tour est grand infiniment,
Et que ceste grandeur nous est toute incognuë.	Et que cette grandeur nous est toute inconnue.
Ainsi de ce grand ciel, où l’amour m’a guidé	Ainsi de ce grand ciel, où l’amour m’a guidé
De ce grand ciel d’Amour où mon œil est bandé	De ce grand ciel d’Amour où mon œil est bandé
Au reste des amours, je vois sous une nuict	Au reste des amours, je vois sous une nuit
Du monde d’Epicure en atomes reduit,	Du monde d’Épicure en atomes réduit,
IIII.	IIII.
En vain mille beautez à mes yeux se presentent,	En vain mille beautés à mes yeux se présentent,
Mes yeux leur sont ouvers et mon courage clos,	Mes yeux leur sont ouverts et mon courage clos,
Une seule beauté s’enflamme dans mes os	Une seule beauté s’enflamme dans mes os
Et mes os de ce feu seulement se contentent :	Et mes os de ce feu seulement se contentent:
Les vigueurs de ma vie et du temps qui m’absentent	Les vigueurs de ma vie et du temps qui m’absentent
Alterent moins mon ame, encor que mon propos	Altèrent moins mon âme, encor que mon propos
Et mes discrets desirs jamais ne se repentent.	Et mes discrets désirs jamais ne se repentent.
