IEVNE & victorieux Monarque	JEUNE et victorieux Monarque
Dõt les exploicts ſi glorieux	Dont les exploits si glorieux
Et de la frayeur à la Parque;	Et de la frayeur à la Parque;
Qu'attendez vous plus des Deſtins?	Qu’attendez-vous plus des Destins?
C'eſt aſſés deſmoli de Villes,	C’est assez démoli de Villes,
Nous ſçauons bien que deſormais	Nous savons bien que désormais
La fureur des guerres ciuiles	La fureur des guerres civiles
Ne nous ſçauroit oſter la paix.	Ne nous saurait ôter la paix.
LaiſſeZ-là ces terres Eſtranges	Laissez-là ces terres Étranges
Où vous faites tant de deſerts,	Où vous faites tant de déserts,
Et moy des vers à vos loüanges:	Et moi des vers à vos louanges:
Paris ne fut iamais ſi beau,	Paris ne fut jamais si beau,
Rompant leurs petits flots de verre	Rompant leurs petits flots de verre
Contre les murs de leur rampars	Contre les murs de leur remparts
Ne murmurent que de la guerre	Ne murmurent que de la guerre
Qui les priue de vos regards.	Qui les prive de vos regards.
Dans les allegreſſes publiques,	Dans les allégresses publiques,
Meſme en celebrant vos vertus	Même en célébrant vos vertus
Et nos ames Melancholiques,	Et nos âmes Mélancoliques,
Vos exploits qu'on nous fait oüir	Vos exploits qu’on nous fait ouïr
Vous donner de la renommée,	Vous donner de la renommée,
Et ne peuuent ſans nous faſcher	Et ne peuvent sans nous fâcher
Expoſer au ſort de l’armée	Exposer au sort de l’armée
Vn Roy que nous auons ſi cher.	Un Roi que nous avons si cher.
Dans ce ſanglant mestier des armes	Dans ce sanglant métier des armes
Où vos bras ſont trop exercez.	Où vos bras sont trop exercés.
Le peuple verſe icy de larmes,	Le peuple verse ici de larmes,
Le Demon ennemy du iour,	Le Démon ennemi du jour,
Dans l'horreur de ſes fleuues ſombres,	Dans l’horreur de ses fleuves sombres,
Partage voſtre Eſtat aux morts,	Partage votre État aux morts,
Baſtit l’Empire de ſes ombres	Bâtit l’Empire de ses ombres
De la ruine de nos corps.	De la ruine de nos corps.
Si les fureurs eſtoient hardies	Si les fureurs étaient hardies
A ce point que leur cruauté	À ce point que leur cruauté
De leurs funeſtes maladies,	De leurs funestes maladies,
Quelle ſi ſecourable main	Quelle si secourable main
Ou quell' aßiſtance diuine,	Ou quelle assistance divine,
Vous pourroit ſi ſoudain guerir,	Vous pourrait si soudain guérir,
Que la peur de noſtre ruine	Que la peur de notre ruine
Ne nous euſt pluſtoſt fait mourir.	Ne nous eût plutôt fait mourir.
ReueneZ au ſein de la France,	Revenez au sein de la France,
C'eſt où les Aſtres les plus doux	C’est où les Astres les plus doux
Adouciront leur influence,	Adouciront leur influence,
Tous les plus gracieux climats,	Tous les plus gracieux climats,
Peuuent accomplir leur année,	Peuvent accomplir leur année,
Dans leur plus fauorable iour,	Dans leur plus favorable jour,
N’ont rien d'eſgal à la iournée	N’ont rien d’égal à la journée
De voſtre bien-heureux retour.	De votre bienheureux retour.
Voſtre Demon tenant la guerre,	Votre Démon tenant la guerre,
Reduite à ſa deuotion,	Réduite à sa dévotion,
Des plus vaillans Roys de la terre,	Des plus vaillants Rois de la terre,
On n'en voit point du temps paſſé,	On n’en voit point du temps passé,
Ne vous rende vn muet hommage,	Ne vous rende un muet hommage,
Et le marbre deuant vos Lys,	Et le marbre devant vos Lys,
Eſt honteux de ſeruir d’Image	Est honteux de servir d’Image
A leurs exploits enſeuelis.	À leurs exploits ensevelis.
SOVVERAIN qui regis l'influence des vers,	SOUVERAIN qui régis l’influence des vers,
Außi bien que tu fais mouuoir tout l'Vniuers,	Aussi bien que tu fais mouvoir tout l’Univers,
Inſpiras vn rayon de ta diuine eſſence.	Inspiras un rayon de ta divine essence.
Pourquoy ne m'as tu fait les ſentimens meilleurs?	Pourquoi ne m’as tu fait les sentiments meilleurs?
Ie voy de toutes parts des eſcriuains ſans nombre,	Je vois de toutes parts des écrivains sans nombre,
Dont la grandeur à mis mon petit nom à l'ombre.	Dont la grandeur à mis mon petit nom à l’ombre.
Ie n'ay qu'vn pauure fonds d'vn mediocre eſprit,	Je n’ai qu’un pauvre fonds d’un médiocre esprit,
Où ie vay cultiuer ce que le Ciel m'apprit,	Où je vais cultiver ce que le Ciel m’apprit,
Des triſtes ſons rimeurs, d'vn ſtyle qui ſe treine,	Des tristes sons rimeurs, d’un style qui se traîne,
Eſpuiſant tous les iours ma languißãte veine,	Épuisant tous les jours ma languissante veine,
Ou l'eſprit de celuy qui força les Deſtins.	Ou l’esprit de celui qui força les Destins.
Qui vit à ces chanſons les Parques deſarmées,	Qui vit à ces chansons les Parques désarmées,
Quand pour l'amour de luy le Prince des Enfers,	Quand pour l’amour de lui le Prince des Enfers,
Laiſſa viure Euridice, & la tira des fers,	Laissa vivre Eurydice, et la tira des fers,
Ou ſi c'eſt trop d'auoir ces merueilleux genies.	Ou si c’est trop d’avoir ces merveilleux génies.
Qu'à noſtre ſiecle infame à bon droit tu dénies.	Qu’à notre siècle infâme à bon droit tu dénies.
Ie me contenterois d'eſgaler en mon art	Je me contenterais d’égaler en mon art
La douceur de Malherbe ou l'ardeur de Ronſart,	La douceur de Malherbe ou l’ardeur de Ronsard,
Et de qui ie ne ſuis que l'õbre & que l'image.	Et de qui je ne suis que l’ombre et que l’image.
Ie donnerois ma plume à ces ſoins violans	Je donnerais ma plume à ces soins violents
Que depuis peu de iours quelque demõ allume	Que depuis peu de jours quelque démon allume
Dans mon sang où l'Amour se plaiſt & me consume.	Dans mon sang où l’Amour se plaît et me consume.
Si mes vers retenoient encore la ferueur	Si mes vers retenaient encore la ferveur
