PHylis tout eſt ... outu, ie meurs de la verolle,	PHylis tout est ...outu, je meurs de la vérole,
Elle exerce ſur moy ſa derniere rigueur.	Elle excerce sur moi la dernière rigueur.
Vn vlcere puant a gaſté ma parole.	Un ulcère puant a gâté ma parole.
I'ay ſué trente iours, i'ay vomy de la colle	J’ai sué trente jours, j’ai vomi de la colle
L'eſprit le plus conſtant fut mort à ma langueur,	L’esprit le plus constant fut mort à ma langueur,
Et mon affliction n'a rien qui la conſole,	Et mon affliction n’a rien qui la console,
Mes amis plus ſecrets ne m'oſent approcher,	Mes amis plus secrets ne m’osent approcher,
Moy-meſme en ceſt eſtat ie ne m'oſe toucher,	Moi-même en cet état je ne m’ose toucher,
Philis le mal me vient de vous auoir ...tuë.	Philis le mal me vient de vous avoir ...tue.
Mon Dieu ie me repens d'auoir ſi mal veſcu:	Mon Dieu je me repens d’avoir si mal vécu:
Je fais veu deſormais de ne ...tre qu'en cu.	Je fais vœu désormais de ne ...tre qu’en cu.
Vous qui cenſurez la Satyre,	Vous qui censurez la Satyre,
On a tant de difficulté,	On a tant de difficulté,
Ne donnez vous pas vn indice	Ne donnez vous pas un indice
En fuyant le blaſme du vice,	En fuyant le blâme du vice,
Que vous aymez l'impieté.	Que vous aimez l’impiété.
Nos vers ſont plains d'inſtruction	Nos vers sont pleins d’instruction
Blaſmans la ſalle affection,	Blâmant la sale affection
Pour attiſer dedans vos cœurs	Pour attiser dedans vos cœurs
Ces trop illegitimes flames,	Ces trop illégitimes flammes,
Autrement vos intemperances	Autrement vos intempérances
Vous faiſant iuſtement mocquer,	Vous faisant justement moquer,
Viendroient contre vous prouoquer	Viendraient contre vous provoquer
Nos plus gaillardes mediſances.	Nos plus gaillardes médisances.
PVis que voſtre Ame fut d'eſpouuante ſuiuie,	PUisque votre Âme fut d’épouvante suivie,
Belles de qui les yeux nous tiennent aſſeruis,	Belles de qui les yeux nous tiennent asservis,
Approchez prés de nous, afin que l'on publie,	Approchez près de nous, afin que l’on publie,
Si vous fuyez les morts que vous cherchez les vis.	Si vous fuyez les morts que vous cherchez les vis.
Qui vous rend le teint ſi deffait.	Qui vous rend le teint si défait.
C'eſt le deſir d'vne brayette,	C’est le désir d’une brayette,
Dont ie ne puis auoir l'effet.	Dont je ne puis avoir l’effet.
Certes vous eſtes maigre & iaune	Certes vous êtes maigre et jaune
Ie ne ſçay pas que demandez.	Je ne sais pas que demandez.
Vn gros V. long comme vn quart d'aune,	Un gros V. long comme un quart d’aune,
Mais quoy vous n'eſtes point honteuſe,	Mais quoi vous n’êtes point honteuse,
De dire ainſi Voſtre apetit,	De dire ainsi Votre appétit,
Ne deſire rien de petit.	Ne désire rien de petit.
Si vous voyez quelque V. mince,	Si vous voyez quelque V. mince,
Voudriez vous bien l'approcher.	Voudriez-vous bien l’approcher.
Quand ce ſeroit celuy d'vn Prince,	Quant ce serait celui d’un Prince,
Ie ne voudrois pas le toucher.	Je ne voudrais pas le toucher.
>De quelque valet l'accointance,	>De quelque valet l’accointance,
